unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,due_date,taxi_pick_up_location,bridge_highway_direction,road_ramp
58897574,2023-09-22T09:52:23.000,2023-09-26T10:30:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10303,23 AMITY PLACE,AMITY PLACE,ADDRESS,STATEN ISLAND,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-26T10:30:00.000,01 STATEN ISLAND,5016900028,STATEN ISLAND,939482,167363,UNKNOWN,Unspecified,STATEN ISLAND,40.625936168861514,-74.16127456930116,"{'latitude': '40.625936168861514', 'longitude': '-74.16127456930116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FOREST AVENUE,WEMPLE STREET,,,,N/A,,,,,,
58894709,2023-09-22T09:51:42.000,2023-09-22T10:12:19.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11223,64 AVENUE X,AVENUE X,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T10:12:22.000,13 BROOKLYN,3071850020,BROOKLYN,989441,153981,ONLINE,Unspecified,BROOKLYN,40.58931691453793,-73.98130993688363,"{'latitude': '40.58931691453793', 'longitude': '-73.98130993688363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   12 STREET,WEST   11 STREET,WEST   12 STREET,WEST   11 STREET,AVENUE X,,,,,,,
58893284,2023-09-22T09:51:39.000,2023-09-22T11:28:04.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11201,25 CHAPEL STREET,CHAPEL STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T11:28:07.000,02 BROOKLYN,3001180006,BROOKLYN,988128,193305,PHONE,Unspecified,BROOKLYN,40.697253492700604,-73.98601475518967,"{'latitude': '40.697253492700604', 'longitude': '-73.98601475518967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAY STREET,BRIDGE STREET,JAY STREET,BRIDGE STREET,CHAPEL STREET,,,,,,,
58901103,2023-09-22T09:51:23.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11222,MCCARREN PARK,MCCARREN PARK,UNRECOGNIZED,BROOKLYN,In Progress,,,01 BROOKLYN,3026960001,BROOKLYN,997610,201904,ONLINE,Unspecified,BROOKLYN,40.72084647199604,-73.95180272776703,"{'latitude': '40.72084647199604', 'longitude': '-73.95180272776703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAYARD STREET,DRIGGS AVENUE,BAYARD STREET,DRIGGS AVENUE,MCCARREN PARK,,,,,,,
58902114,2023-09-22T09:51:19.000,2023-09-25T15:49:09.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10467,3435 OLINVILLE AVENUE,OLINVILLE AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,12 BRONX,2046270029,BRONX,1020724,258615,ONLINE,Unspecified,BRONX,40.876437389391874,-73.86810916351783,"{'latitude': '40.876437389391874', 'longitude': '-73.86810916351783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58897080,2023-09-22T09:51:15.000,2023-09-27T13:47:36.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11204,2383 65 STREET,65 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T10:59:54.000,11 BROOKLYN,3065590043,BROOKLYN,990577,161992,ONLINE,Unspecified,BROOKLYN,40.61130474668603,-73.9772122946469,"{'latitude': '40.61130474668603', 'longitude': '-73.9772122946469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST    3 STREET,24 AVENUE,WEST    3 STREET,24 AVENUE,65 STREET,,,,,,,
58900385,2023-09-22T09:51:14.000,2023-09-22T11:21:49.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11377,41-37 50 STREET,50 STREET,ADDRESS,WOODSIDE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T11:21:47.000,02 QUEENS,4001310006,QUEENS,1007983,211022,PHONE,Unspecified,QUEENS,40.745851381123025,-73.91434915337972,"{'latitude': '40.745851381123025', 'longitude': '-73.91434915337972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,50 STREET,,,,,,,
58901783,2023-09-22T09:50:59.000,2023-09-22T09:50:59.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10314,147 MARGARETTA COURT,MARGARETTA COURT,ADDRESS,STATEN ISLAND,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T00:00:00.000,01 STATEN ISLAND,5003760177,STATEN ISLAND,948040,164326,UNKNOWN,Unspecified,STATEN ISLAND,40.61763936034055,-74.13042854624824,"{'latitude': '40.61763936034055', 'longitude': '-74.13042854624824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58896610,2023-09-22T09:50:55.000,2023-10-03T17:21:34.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10456,530 ST PAULS PLACE,ST PAULS PLACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,03 BRONX,2029260008,BRONX,1011266,243790,PHONE,Unspecified,BRONX,40.83578123847195,-73.90236922709826,"{'latitude': '40.83578123847195', 'longitude': '-73.90236922709826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58896675,2023-09-22T09:50:55.000,2023-10-03T17:21:34.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10456,530 ST PAULS PLACE,ST PAULS PLACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,03 BRONX,2029260008,BRONX,1011266,243790,PHONE,Unspecified,BRONX,40.83578123847195,-73.90236922709826,"{'latitude': '40.83578123847195', 'longitude': '-73.90236922709826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58897883,2023-09-22T09:50:55.000,2023-10-03T17:21:34.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10456,530 ST PAULS PLACE,ST PAULS PLACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,03 BRONX,2029260008,BRONX,1011266,243790,PHONE,Unspecified,BRONX,40.83578123847195,-73.90236922709826,"{'latitude': '40.83578123847195', 'longitude': '-73.90236922709826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58892548,2023-09-22T09:50:54.000,2023-09-25T09:16:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11105,21 AVENUE,21 AVENUE,BLOCKFACE,QUEENS,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-25T09:16:00.000,01 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,43 STREET,45 STREET,,,,N/A,,,,,,
58896782,2023-09-22T09:50:51.000,2023-09-25T09:11:02.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Dust from Construction,3+ Family Apartment Building,10009,414 EAST   11 STREET,EAST   11 STREET,ADDRESS,NEW YORK,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-25T09:11:02.000,03 MANHATTAN,1004380015,MANHATTAN,988837,204919,ONLINE,Unspecified,MANHATTAN,40.7291308139736,-73.98344997288895,"{'latitude': '40.7291308139736', 'longitude': '-73.98344997288895', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,EAST   11 STREET,,,,,,,
58899926,2023-09-22T09:50:45.000,2023-09-22T10:14:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11222,21 COMMERCIAL STREET,COMMERCIAL STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T10:14:31.000,01 BROOKLYN,3024727501,BROOKLYN,995489,207348,ONLINE,Unspecified,BROOKLYN,40.73579187102002,-73.95944531176498,"{'latitude': '40.73579187102002', 'longitude': '-73.95944531176498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DUPONT STREET,BLUE SLIP,DUPONT STREET,BLUE SLIP,COMMERCIAL STREET,,,,,,,
58898852,2023-09-22T09:50:37.000,2023-09-22T10:17:39.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10011,47 WEST   17 STREET,WEST   17 STREET,ADDRESS,NEW YORK,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T10:17:42.000,05 MANHATTAN,1008190010,MANHATTAN,985979,208358,ONLINE,Unspecified,MANHATTAN,40.73857104307662,-73.99376083474803,"{'latitude': '40.73857104307662', 'longitude': '-73.99376083474803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   17 STREET,,,,,,,
58896658,2023-09-22T09:50:33.000,2023-09-26T20:25:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11212,1076 CLARKSON AVENUE,CLARKSON AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-26T00:00:00.000,17 BROOKLYN,3046490001,BROOKLYN,1005784,179608,PHONE,Unspecified,BROOKLYN,40.659632992328255,-73.92238564725226,"{'latitude': '40.659632992328255', 'longitude': '-73.92238564725226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58897893,2023-09-22T09:50:26.000,2023-10-12T06:57:45.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11422,243-11 130 AVENUE,130 AVENUE,ADDRESS,ROSEDALE,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,13 QUEENS,4128890043,QUEENS,1059705,186482,PHONE,Unspecified,QUEENS,40.67820518392484,-73.72796365926914,"{'latitude': '40.67820518392484', 'longitude': '-73.72796365926914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58897909,2023-09-22T09:50:26.000,2023-09-24T11:35:18.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,10466,730 EAST  236 STREET,EAST  236 STREET,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-24T00:00:00.000,12 BRONX,2049990068,BRONX,1024355,265466,PHONE,Unspecified,BRONX,40.89522545852203,-73.85493838071939,"{'latitude': '40.89522545852203', 'longitude': '-73.85493838071939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58902220,2023-09-22T09:50:26.000,2023-10-12T06:57:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11422,243-11 130 AVENUE,130 AVENUE,ADDRESS,ROSEDALE,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,13 QUEENS,4128890043,QUEENS,1059705,186482,PHONE,Unspecified,QUEENS,40.67820518392484,-73.72796365926914,"{'latitude': '40.67820518392484', 'longitude': '-73.72796365926914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58902187,2023-09-22T09:50:26.000,2023-10-20T17:05:35.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10466,730 EAST  236 STREET,EAST  236 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,12 BRONX,2049990068,BRONX,1024355,265466,PHONE,Unspecified,BRONX,40.89522545852203,-73.85493838071939,"{'latitude': '40.89522545852203', 'longitude': '-73.85493838071939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58892526,2023-09-22T09:50:26.000,2023-10-20T17:05:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10466,730 EAST  236 STREET,EAST  236 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-20T00:00:00.000,12 BRONX,2049990068,BRONX,1024355,265466,PHONE,Unspecified,BRONX,40.89522545852203,-73.85493838071939,"{'latitude': '40.89522545852203', 'longitude': '-73.85493838071939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58895144,2023-09-22T09:50:26.000,2023-10-20T17:05:35.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10466,730 EAST  236 STREET,EAST  236 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-20T00:00:00.000,12 BRONX,2049990068,BRONX,1024355,265466,PHONE,Unspecified,BRONX,40.89522545852203,-73.85493838071939,"{'latitude': '40.89522545852203', 'longitude': '-73.85493838071939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58899994,2023-09-22T09:50:17.000,2023-09-25T14:14:07.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,10457,2070 CLINTON AVENUE,CLINTON AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T14:14:10.000,06 BRONX,2030940014,BRONX,1015209,247968,ONLINE,Unspecified,BRONX,40.84723567751741,-73.88810068954382,"{'latitude': '40.84723567751741', 'longitude': '-73.88810068954382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OAKLAND PLACE,EAST  180 STREET,OAKLAND PLACE,EAST  180 STREET,CLINTON AVENUE,,,,,,,
58898339,2023-09-22T09:50:14.000,,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11207,1019 VAN SICLEN AVENUE,VAN SICLEN AVENUE,ADDRESS,BROOKLYN,In Progress,,,05 BROOKLYN,3044157501,BROOKLYN,1016902,177947,PHONE,Unspecified,BROOKLYN,40.65503989714099,-73.88232145462146,"{'latitude': '40.65503989714099', 'longitude': '-73.88232145462146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COZINE AVENUE,FLATLANDS AVENUE,COZINE AVENUE,FLATLANDS AVENUE,VAN SICLEN AVENUE,,,,,,,
58901461,2023-09-22T09:50:00.000,2023-09-28T15:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,11101,47-36 11 STREET,11 STREET,ADDRESS,LONG ISLAND CITY,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T15:00:00.000,02 QUEENS,4000457501,QUEENS,997810,210405,ONLINE,Unspecified,QUEENS,40.74417932138054,-73.95106407926116,"{'latitude': '40.74417932138054', 'longitude': '-73.95106407926116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47 RD,48 AVE,,,,N/A,,,,,,
58900418,2023-09-22T09:50:00.000,2023-09-29T09:35:00.000,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,10465,BRONX RVR PKWY,BRONX RVR PKWY,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T09:35:00.000,12 BRONX,,BRONX,1020184,259289,UNKNOWN,Unspecified,BRONX,40.878289523978026,-73.87005819791149,"{'latitude': '40.878289523978026', 'longitude': '-73.87005819791149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX RVR PKWY,OLINVILLE AVE,EAST GUN HILL ROAD,BRONX RIVER PARKWAY,,,,,,,,
58891780,2023-09-22T09:50:00.000,2023-09-28T14:35:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10022,35 SUTTON PLACE,SUTTON PLACE,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-28T14:35:00.000,06 MANHATTAN,1013720073,MANHATTAN,995347,215564,PHONE,Unspecified,MANHATTAN,40.75834290421832,-73.95994414642774,"{'latitude': '40.75834290421832', 'longitude': '-73.95994414642774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E 58 ST,E 59 ST,,,,,,,,,,
58896778,2023-09-22T09:49:52.000,2023-09-22T10:40:43.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10014,679 GREENWICH STREET,GREENWICH STREET,ADDRESS,NEW YORK,Closed,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,2023-09-22T10:40:43.000,02 MANHATTAN,1006300030,MANHATTAN,982173,206303,ONLINE,Unspecified,MANHATTAN,40.732930500380185,-74.00749430265357,"{'latitude': '40.732930500380185', 'longitude': '-74.00749430265357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHRISTOPHER STREET,GREENWICH MEWS,CHRISTOPHER STREET,GREENWICH MEWS,GREENWICH STREET,,,,,,,
