unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location
58931664,2023-09-26T07:16:00.000,2023-09-27T10:55:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10310,441 DELAFIELD AVENUE,DELAFIELD AVENUE,SHEFFIELD STREET,NORTH BURGHER AVENUE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-27T10:55:00.000,01 STATEN ISLAND,5001650148,STATEN ISLAND,952848,169251,PHONE,Unspecified,STATEN ISLAND,40.63117578771988,-74.1131330454865,"{'latitude': '40.63117578771988', 'longitude': '-74.1131330454865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927844,2023-09-26T07:15:48.000,2023-09-28T09:57:27.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Street,11432,159-23 89 AVENUE,89 AVENUE,PARSONS BOULEVARD,161 STREET,PARSONS BOULEVARD,161 STREET,ADDRESS,JAMAICA,89 AVENUE,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-28T09:57:32.000,12 QUEENS,4097640001,QUEENS,1039317,196507,MOBILE,Unspecified,QUEENS,40.70587173137441,-73.80138584405944,"{'latitude': '40.70587173137441', 'longitude': '-73.80138584405944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935000,2023-09-26T07:15:42.000,2023-09-28T14:53:31.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11208,2305 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-28T00:00:00.000,05 BROOKLYN,3043380001,BROOKLYN,1018063,181202,ONLINE,Unspecified,BROOKLYN,40.66396978995318,-73.87812086756571,"{'latitude': '40.66396978995318', 'longitude': '-73.87812086756571', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930726,2023-09-26T07:15:33.000,2023-09-26T08:12:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11101,2-39 54 AVENUE,54 AVENUE,2 STREET,VERNON BOULEVARD,2 STREET,VERNON BOULEVARD,ADDRESS,LONG ISLAND CITY,54 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T08:12:43.000,02 QUEENS,4000130160,QUEENS,995754,209113,MOBILE,Unspecified,QUEENS,40.74063601750577,-73.95848607042694,"{'latitude': '40.74063601750577', 'longitude': '-73.95848607042694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927144,2023-09-26T07:15:27.000,2023-09-26T07:45:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,203 MARLBOROUGH ROAD,MARLBOROUGH ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,MARLBOROUGH ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T07:45:54.000,14 BROOKLYN,3051190053,BROOKLYN,993917,174334,MOBILE,Unspecified,BROOKLYN,40.64517792057056,-73.96516507278527,"{'latitude': '40.64517792057056', 'longitude': '-73.96516507278527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935521,2023-09-26T07:15:25.000,2023-09-27T08:00:33.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11435,93-08 150 STREET,150 STREET,ARCHER AVENUE,ARCHER AVENUE,ARCHER AVENUE,ARCHER AVENUE,ADDRESS,JAMAICA,150 STREET,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-26T10:03:43.000,12 QUEENS,4099980127,QUEENS,1038568,194861,ONLINE,Unspecified,QUEENS,40.7013584889947,-73.80410058450732,"{'latitude': '40.7013584889947', 'longitude': '-73.80410058450732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927809,2023-09-26T07:15:25.000,2023-09-26T08:58:26.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11435,93-08 150 STREET,150 STREET,ARCHER AVENUE,ARCHER AVENUE,ARCHER AVENUE,ARCHER AVENUE,ADDRESS,JAMAICA,150 STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-26T08:58:32.000,12 QUEENS,4099980127,QUEENS,1038568,194861,ONLINE,Unspecified,QUEENS,40.7013584889947,-73.80410058450732,"{'latitude': '40.7013584889947', 'longitude': '-73.80410058450732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933080,2023-09-26T07:15:15.000,2023-09-28T13:22:02.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,11225,40 LINCOLN ROAD,LINCOLN ROAD,BRIGHTON LINE,FLATBUSH AVENUE,BRIGHTON LINE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,LINCOLN ROAD,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-28T13:05:26.000,09 BROOKLYN,3050260056,BROOKLYN,994972,180023,ONLINE,Unspecified,BROOKLYN,40.66079176919809,-73.96135434827934,"{'latitude': '40.66079176919809', 'longitude': '-73.96135434827934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932098,2023-09-26T07:15:13.000,2023-09-26T08:02:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11215,648 PRESIDENT STREET,PRESIDENT STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,PRESIDENT STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T08:02:51.000,06 BROOKLYN,3009580041,BROOKLYN,989381,185564,MOBILE,Unspecified,BROOKLYN,40.67600558349092,-73.98150195222456,"{'latitude': '40.67600558349092', 'longitude': '-73.98150195222456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929488,2023-09-26T07:15:11.000,2023-09-26T10:16:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11373,46-16 76 STREET,76 STREET,46 AVENUE,47 AVENUE,46 AVENUE,47 AVENUE,ADDRESS,ELMHURST,76 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T10:16:42.000,04 QUEENS,4015290073,QUEENS,1015220,208926,MOBILE,Unspecified,QUEENS,40.74007600524696,-73.88824096895387,"{'latitude': '40.74007600524696', 'longitude': '-73.88824096895387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931434,2023-09-26T07:15:10.000,2023-09-26T07:25:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11418,100-03 90 AVENUE,90 AVENUE,DEAD END,102 STREET,DEAD END,102 STREET,ADDRESS,RICHMOND HILL,90 AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T07:25:10.000,09 QUEENS,4092910032,QUEENS,1027185,191478,MOBILE,Unspecified,QUEENS,40.69213550614426,-73.84517516625583,"{'latitude': '40.69213550614426', 'longitude': '-73.84517516625583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935311,2023-09-26T07:14:47.000,2023-10-19T15:06:03.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11231,118 UNION STREET,UNION STREET,COLUMBIA STREET,HICKS STREET,COLUMBIA STREET,HICKS STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,2023-10-19T15:06:09.000,06 BROOKLYN,3003427501,BROOKLYN,983526,188574,MOBILE,Unspecified,BROOKLYN,40.684268808090735,-74.00261045528342,"{'latitude': '40.684268808090735', 'longitude': '-74.00261045528342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929045,2023-09-26T07:14:35.000,2023-10-19T11:56:47.000,DOT,Department of Transportation,Bike Rack Condition,Bike Rack Repair,Sidewalk,11201,100 WILLOUGHBY STREET,WILLOUGHBY STREET,BRIDGE STREET,DUFFIELD STREET,BRIDGE STREET,DUFFIELD STREET,ADDRESS,BROOKLYN,WILLOUGHBY STREET,Closed,The Department of Transportation has repaired the bike rack.,2023-10-19T11:56:51.000,02 BROOKLYN,3001457502,BROOKLYN,988493,191437,ONLINE,Unspecified,BROOKLYN,40.692126098332906,-73.9846996311122,"{'latitude': '40.692126098332906', 'longitude': '-73.9846996311122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930898,2023-09-26T07:14:19.000,2023-09-26T08:17:36.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11432,82-26 164 PLACE,164 PLACE,GOETHALS AVENUE,82 ROAD,GOETHALS AVENUE,82 ROAD,ADDRESS,JAMAICA,164 PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T08:17:42.000,08 QUEENS,4070380054,QUEENS,1038994,201196,PHONE,Unspecified,QUEENS,40.71874389158847,-73.80251269943656,"{'latitude': '40.71874389158847', 'longitude': '-73.80251269943656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929022,2023-09-26T07:14:05.000,,DOE,Department of Education,School Maintenance,Rodents/Mice,School,11236,1001 EAST  100 STREET,EAST  100 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST  100 STREET,In Progress,,,18 BROOKLYN,3082270001,BROOKLYN,1013053,173657,PHONE,Unspecified,BROOKLYN,40.643278141813894,-73.89621164273694,"{'latitude': '40.643278141813894', 'longitude': '-73.89621164273694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930621,2023-09-26T07:14:00.000,2023-09-26T12:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Traffic Camera,,11229,,,,,AVENUE R,EAST 12 STREET,INTERSECTION,BROOKLYN,,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-26T12:10:00.000,15 BROOKLYN,,BROOKLYN,995154,159868,UNKNOWN,Unspecified,BROOKLYN,40.6054703522568,-73.96073092613477,"{'latitude': '40.6054703522568', 'longitude': '-73.96073092613477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58930695,2023-09-26T07:13:56.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11208,722 FORBELL STREET,FORBELL STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-02T00:00:00.000,05 BROOKLYN,3045140124,BROOKLYN,1022745,182307,UNKNOWN,Unspecified,BROOKLYN,40.666983647490376,-73.86123829161345,"{'latitude': '40.666983647490376', 'longitude': '-73.86123829161345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58929400,2023-09-26T07:13:42.000,2023-09-26T11:50:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,274 BAY   41 STREET,BAY   41 STREET,HARWAY AVENUE,CROPSEY AVENUE,HARWAY AVENUE,CROPSEY AVENUE,ADDRESS,BROOKLYN,BAY   41 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T11:50:38.000,11 BROOKLYN,3069080026,BROOKLYN,986618,154791,MOBILE,Unspecified,BROOKLYN,40.5915414061745,-73.99147379242356,"{'latitude': '40.5915414061745', 'longitude': '-73.99147379242356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934331,2023-09-26T07:13:39.000,2023-09-26T20:22:01.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10022,36 EAST   58 STREET,EAST   58 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST   58 STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-26T20:22:05.000,05 MANHATTAN,1012930050,MANHATTAN,992122,217199,ONLINE,Unspecified,MANHATTAN,40.76283401906399,-73.97158322647591,"{'latitude': '40.76283401906399', 'longitude': '-73.97158322647591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929456,2023-09-26T07:13:06.000,2023-09-26T18:17:55.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11378,52-82 62 STREET,62 STREET,52 AVENUE,53 AVENUE,52 AVENUE,53 AVENUE,ADDRESS,MASPETH,62 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T18:18:00.000,05 QUEENS,4023750104,QUEENS,1011529,205968,ONLINE,Unspecified,QUEENS,40.731969185752064,-73.90157237575832,"{'latitude': '40.731969185752064', 'longitude': '-73.90157237575832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928272,2023-09-26T07:13:00.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11249,254 KENT AVENUE,KENT AVENUE,,,,,ADDRESS,BROOKLYN,,Open,The graffiti on this property has been scheduled to be removed by the City.,2023-09-26T07:13:00.000,01 BROOKLYN,3023770002,BROOKLYN,993727,200318,UNKNOWN,Unspecified,BROOKLYN,40.71649829553627,-73.96581319318369,"{'latitude': '40.71649829553627', 'longitude': '-73.96581319318369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-26T07:13:00.000,,,,,
58932204,2023-09-26T07:12:50.000,2023-09-26T11:47:00.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11204,1771 73 STREET,73 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,73 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T11:46:46.000,11 BROOKLYN,3061930055,BROOKLYN,985466,163363,MOBILE,Unspecified,BROOKLYN,40.61507003433819,-73.99562013396394,"{'latitude': '40.61507003433819', 'longitude': '-73.99562013396394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931380,2023-09-26T07:12:31.000,2023-09-26T07:54:16.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10036,450 WEST   42 STREET,WEST   42 STREET,DYER AVENUE,10 AVENUE,DYER AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   42 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T07:54:19.000,04 MANHATTAN,1010517502,MANHATTAN,985788,215868,ONLINE,Unspecified,MANHATTAN,40.759184136592694,-73.99444834831519,"{'latitude': '40.759184136592694', 'longitude': '-73.99444834831519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933700,2023-09-26T07:12:22.000,2023-09-27T20:06:18.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11226,100 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,14 BROOKLYN,3050810015,BROOKLYN,995268,176754,ONLINE,Unspecified,BROOKLYN,40.651818717922204,-73.96029280699096,"{'latitude': '40.651818717922204', 'longitude': '-73.96029280699096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927053,2023-09-26T07:11:48.000,2023-09-26T07:59:39.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11206,78 GERRY STREET,GERRY STREET,HARRISON AVENUE,THROOP AVENUE,HARRISON AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,GERRY STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T07:59:41.000,01 BROOKLYN,3022690019,BROOKLYN,998914,194917,ONLINE,Unspecified,BROOKLYN,40.70166675588997,-73.94711366228282,"{'latitude': '40.70166675588997', 'longitude': '-73.94711366228282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934340,2023-09-26T07:11:05.000,2023-09-26T07:14:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11225,298 MONTGOMERY STREET,MONTGOMERY STREET,LUDLAM PLACE,ROGERS AVENUE,LUDLAM PLACE,ROGERS AVENUE,ADDRESS,BROOKLYN,MONTGOMERY STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T07:14:25.000,09 BROOKLYN,3013040114,BROOKLYN,996773,181778,ONLINE,Unspecified,BROOKLYN,40.6656064911746,-73.9548596870506,"{'latitude': '40.6656064911746', 'longitude': '-73.9548596870506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927883,2023-09-26T07:11:01.000,2023-09-26T11:54:24.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10019,35 WEST   57 STREET,WEST   57 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   57 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T11:54:26.000,05 MANHATTAN,1012730014,MANHATTAN,991111,217444,ONLINE,Unspecified,MANHATTAN,40.76350732332025,-73.9752325389638,"{'latitude': '40.76350732332025', 'longitude': '-73.9752325389638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931950,2023-09-26T07:11:00.000,2023-09-26T09:20:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11423,181-16 93 AVENUE,93 AVENUE,181 ST,182 PL,,,ADDRESS,HOLLIS,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-26T09:20:00.000,12 QUEENS,4103220037,QUEENS,1045491,197249,PHONE,Unspecified,QUEENS,40.707867762782485,-73.7791109701614,"{'latitude': '40.707867762782485', 'longitude': '-73.7791109701614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933234,2023-09-26T07:10:49.000,2023-09-26T10:08:10.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,10471,5790 MOSHOLU AVENUE,MOSHOLU AVENUE,HUXLEY AVENUE,POST ROAD,HUXLEY AVENUE,POST ROAD,ADDRESS,BRONX,MOSHOLU AVENUE,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-26T10:08:14.000,08 BRONX,2058552260,BRONX,1012547,269151,MOBILE,Unspecified,BRONX,40.90538536281254,-73.89763283358752,"{'latitude': '40.90538536281254', 'longitude': '-73.89763283358752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
