unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58931564,2023-09-26T14:06:40.000,2023-10-03T12:54:59.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11411,209-10 116 AVENUE,116 AVENUE,NASHVILLE BOULEVARD,SPRINGFIELD BOULEVARD,NASHVILLE BOULEVARD,SPRINGFIELD BOULEVARD,ADDRESS,CAMBRIA HEIGHTS,116 AVENUE,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-10-03T12:55:02.000,13 QUEENS,4110820061,QUEENS,1055287,193671,PHONE,Unspecified,QUEENS,40.69797381074351,-73.74381588929566,"{'latitude': '40.69797381074351', 'longitude': '-73.74381588929566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928319,2023-09-26T14:06:34.000,2023-09-26T15:09:03.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11214,2329 84 STREET,84 STREET,23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,ADDRESS,BROOKLYN,84 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T15:09:06.000,11 BROOKLYN,3068530065,BROOKLYN,987135,158340,ONLINE,Unspecified,BROOKLYN,40.60128254218467,-73.98961076956627,"{'latitude': '40.60128254218467', 'longitude': '-73.98961076956627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934689,2023-09-26T14:05:21.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10463,80 VAN CORTLANDT PARK SOUTH,VAN CORTLANDT PARK SOUTH,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,08 BRONX,2032520209,BRONX,1014669,261619,UNKNOWN,Unspecified,BRONX,40.88470537463531,-73.88999051795918,"{'latitude': '40.88470537463531', 'longitude': '-73.88999051795918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933512,2023-09-26T14:05:09.000,2023-09-26T14:05:09.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10019,501 WEST   51 STREET,WEST   51 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-26T00:00:00.000,04 MANHATTAN,1010800028,MANHATTAN,986627,218117,UNKNOWN,Unspecified,MANHATTAN,40.765356877327555,-73.99141905129058,"{'latitude': '40.765356877327555', 'longitude': '-73.99141905129058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58925820,2023-09-26T14:05:09.000,2023-09-26T16:14:33.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11101,34-06 45 STREET,45 STREET,34 AVENUE,NORTHERN BOULEVARD,34 AVENUE,NORTHERN BOULEVARD,ADDRESS,LONG ISLAND CITY,45 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T16:14:36.000,01 QUEENS,4007040027,QUEENS,1007238,214219,PHONE,Unspecified,QUEENS,40.75462830322828,-73.91702687937605,"{'latitude': '40.75462830322828', 'longitude': '-73.91702687937605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926999,2023-09-26T14:05:09.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Adult Establishment,,10018,390 5 AVENUE,5 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-03T00:00:00.000,05 MANHATTAN,1008370048,MANHATTAN,988661,212452,UNKNOWN,Unspecified,MANHATTAN,40.74980711820404,-73.98408004633292,"{'latitude': '40.74980711820404', 'longitude': '-73.98408004633292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58929838,2023-09-26T14:05:08.000,2023-10-12T10:11:17.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10453,1695 GRAND AVENUE,GRAND AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-12T00:00:00.000,05 BRONX,2028660080,BRONX,1008011,248390,PHONE,Unspecified,BRONX,40.84841624607351,-73.91411588203465,"{'latitude': '40.84841624607351', 'longitude': '-73.91411588203465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928534,2023-09-26T14:05:08.000,2023-09-27T19:33:49.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11372,70-46 BROADWAY,BROADWAY,,,,,ADDRESS,JACKSON HEIGHTS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,03 QUEENS,4012820127,QUEENS,1013462,211815,PHONE,Unspecified,QUEENS,40.748011563767115,-73.89457237318435,"{'latitude': '40.748011563767115', 'longitude': '-73.89457237318435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935146,2023-09-26T14:05:08.000,2023-10-12T10:11:16.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10453,1695 GRAND AVENUE,GRAND AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2028660080,BRONX,1008011,248390,PHONE,Unspecified,BRONX,40.84841624607351,-73.91411588203465,"{'latitude': '40.84841624607351', 'longitude': '-73.91411588203465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931310,2023-09-26T14:05:08.000,2023-10-12T10:11:16.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10453,1695 GRAND AVENUE,GRAND AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-12T00:00:00.000,05 BRONX,2028660080,BRONX,1008011,248390,PHONE,Unspecified,BRONX,40.84841624607351,-73.91411588203465,"{'latitude': '40.84841624607351', 'longitude': '-73.91411588203465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934657,2023-09-26T14:05:05.000,2023-09-26T14:15:15.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10075,3 AVENUE,3 AVENUE,EAST   77 STREET,EAST   78 STREET,EAST   77 STREET,EAST   78 STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T14:15:20.000,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
58925592,2023-09-26T14:05:00.000,2023-09-28T08:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10019,315 WEST   55 STREET,WEST   55 STREET,8 AVE,9 AVE,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T08:45:00.000,04 MANHATTAN,1010460023,MANHATTAN,988540,218249,PHONE,Unspecified,MANHATTAN,40.76571846186691,-73.98451305428974,"{'latitude': '40.76571846186691', 'longitude': '-73.98451305428974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58933430,2023-09-26T14:05:00.000,2023-10-03T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11237,115 WILSON AVENUE,WILSON AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-10-04T06:59:07.000,04 BROOKLYN,3031970005,BROOKLYN,1004618,194743,UNKNOWN,Unspecified,BROOKLYN,40.701177876117356,-73.92654247898402,"{'latitude': '40.701177876117356', 'longitude': '-73.92654247898402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-26T14:05:00.000,,,,,
58932280,2023-09-26T14:05:00.000,2023-09-26T19:34:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10453,10 WEST  182 STREET,WEST  182 STREET,JEROME AVENUE,DAVIDSON AVENUE,JEROME AVENUE,DAVIDSON AVENUE,ADDRESS,BRONX,WEST  182 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T19:34:23.000,05 BRONX,2031950061,BRONX,1010479,251602,PHONE,Unspecified,BRONX,40.85722523985067,-73.90518273771136,"{'latitude': '40.85722523985067', 'longitude': '-73.90518273771136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931955,2023-09-26T14:05:00.000,2023-09-26T18:20:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Odor (SA2),,11420,114-16 LINCOLN STREET,LINCOLN STREET,LINDEN BLVD,115 AVE,,,ADDRESS,SOUTH OZONE PARK,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-26T18:20:00.000,10 QUEENS,4116590013,QUEENS,1037546,187609,PHONE,Unspecified,QUEENS,40.681459684199275,-73.80784381808361,"{'latitude': '40.681459684199275', 'longitude': '-73.80784381808361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58925593,2023-09-26T14:05:00.000,2023-10-02T16:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10021,1297 3 AVENUE,3 AVENUE,E 74 ST,E 75 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-02T16:45:00.000,08 MANHATTAN,1014290003,MANHATTAN,995486,220297,ONLINE,Unspecified,MANHATTAN,40.77133358992288,-73.95943449898392,"{'latitude': '40.77133358992288', 'longitude': '-73.95943449898392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58928520,2023-09-26T14:04:53.000,2023-10-02T12:04:26.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10455,651 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,02 BRONX,2026830090,BRONX,1011738,235533,PHONE,Unspecified,BRONX,40.81311667627138,-73.9006973353927,"{'latitude': '40.81311667627138', 'longitude': '-73.9006973353927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932774,2023-09-26T14:04:51.000,2023-11-14T14:26:52.000,DOE,Department of Education,School Maintenance,Plumbing Problem,School,10003,345 EAST   15 STREET,EAST   15 STREET,NATHAN D PERLMAN PLACE,1 AVENUE,NATHAN D PERLMAN PLACE,1 AVENUE,ADDRESS,NEW YORK,EAST   15 STREET,Closed,The Department of Education completed the work and corrected the condition.,2023-11-14T14:26:57.000,06 MANHATTAN,1009220008,MANHATTAN,988953,206127,ONLINE,Institute for Collaborative Education,MANHATTAN,40.7324464171464,-73.98303059725197,"{'latitude': '40.7324464171464', 'longitude': '-73.98303059725197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926183,2023-09-26T14:04:41.000,2023-10-02T20:33:39.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10467,2765 MATTHEWS AVENUE,MATTHEWS AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,11 BRONX,2045130033,BRONX,1022264,254954,ONLINE,Unspecified,BRONX,40.86638257960705,-73.86256126709533,"{'latitude': '40.86638257960705', 'longitude': '-73.86256126709533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928579,2023-09-26T14:04:41.000,2023-10-02T20:33:40.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,10467,2765 MATTHEWS AVENUE,MATTHEWS AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,11 BRONX,2045130033,BRONX,1022264,254954,ONLINE,Unspecified,BRONX,40.86638257960705,-73.86256126709533,"{'latitude': '40.86638257960705', 'longitude': '-73.86256126709533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933271,2023-09-26T14:04:35.000,2023-09-26T18:36:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11237,423 STANHOPE STREET,STANHOPE STREET,ST NICHOLAS AVENUE,CYPRESS AVENUE,ST NICHOLAS AVENUE,CYPRESS AVENUE,ADDRESS,BROOKLYN,STANHOPE STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T18:36:56.000,04 BROOKLYN,3032610030,BROOKLYN,1007626,196309,ONLINE,Unspecified,BROOKLYN,40.70546874156194,-73.91568864871586,"{'latitude': '40.70546874156194', 'longitude': '-73.91568864871586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932854,2023-09-26T14:04:13.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931431,2023-09-26T14:03:54.000,2023-09-26T17:08:05.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11373,84-03 57 AVENUE,57 AVENUE,84 STREET,84 STREET,84 STREET,84 STREET,ADDRESS,ELMHURST,57 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T17:08:09.000,04 QUEENS,4028940047,QUEENS,1017699,205365,PHONE,Unspecified,QUEENS,40.73029291911544,-73.87931290979748,"{'latitude': '40.73029291911544', 'longitude': '-73.87931290979748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928294,2023-09-26T14:03:50.000,2023-09-26T17:30:00.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,98 VAN SICKLEN STREET,VAN SICKLEN STREET,LLOYD COURT,AVENUE S,LLOYD COURT,AVENUE S,ADDRESS,BROOKLYN,VAN SICKLEN STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T17:30:04.000,11 BROOKLYN,3066780023,BROOKLYN,991382,158612,PHONE,Unspecified,BROOKLYN,40.60202672671803,-73.97431652747949,"{'latitude': '40.60202672671803', 'longitude': '-73.97431652747949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926976,2023-09-26T14:03:36.000,2023-09-26T14:40:35.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10033,1311 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,WEST  175 STREET,WEST  176 STREET,WEST  175 STREET,WEST  176 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T14:40:38.000,12 MANHATTAN,1021440061,MANHATTAN,1001870,247431,PHONE,Unspecified,MANHATTAN,40.845798464285146,-73.9363150331501,"{'latitude': '40.845798464285146', 'longitude': '-73.9363150331501', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928226,2023-09-26T14:03:32.000,2023-09-26T14:26:58.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,724 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE C,CORTELYOU ROAD,AVENUE C,CORTELYOU ROAD,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T14:27:02.000,12 BROOKLYN,3053780031,BROOKLYN,992847,172480,ONLINE,Unspecified,BROOKLYN,40.640090192501034,-73.96902316811077,"{'latitude': '40.640090192501034', 'longitude': '-73.96902316811077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932887,2023-09-26T14:02:57.000,2023-09-28T10:08:34.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11229,AVENUE P,AVENUE P,AVENUE P,EAST   16 STREET,AVENUE P,EAST   16 STREET,INTERSECTION,,,Closed,This request required re-assignment to a new DOT unit.,2023-09-28T10:08:46.000,14 BROOKLYN,,BROOKLYN,996004,161702,PHONE,Unspecified,BROOKLYN,40.610503219405324,-73.957666590765,"{'latitude': '40.610503219405324', 'longitude': '-73.957666590765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
