unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,taxi_company_borough,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58862231,2023-09-19T19:11:09.000,2023-09-19T19:58:38.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11207,111 BARBEY STREET,BARBEY STREET,JAMAICA AVENUE,ARLINGTON AVENUE,JAMAICA AVENUE,ARLINGTON AVENUE,ADDRESS,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T19:58:42.000,05 BROOKLYN,BROOKLYN,1014901,187251,MOBILE,Unspecified,BROOKLYN,40.68058443627072,-73.88949079350623,"{'latitude': '40.68058443627072', 'longitude': '-73.88949079350623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BARBEY STREET,3039210054,,,,,,,,
58870167,2023-09-19T19:11:09.000,2023-09-19T19:11:09.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,10002,26 RUTGERS STREET,RUTGERS STREET,HENRY STREET,MADISON STREET,HENRY STREET,MADISON STREET,ADDRESS,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-19T19:11:09.000,03 MANHATTAN,MANHATTAN,987003,199060,MOBILE,Unspecified,MANHATTAN,40.71305003374742,-73.99006949371862,"{'latitude': '40.71305003374742', 'longitude': '-73.99006949371862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,RUTGERS STREET,1002730024,,,,,,,,
58863300,2023-09-19T19:11:02.000,2023-09-19T19:51:33.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11225,76 CLOVE ROAD,CLOVE ROAD,MONTGOMERY STREET,MALBONE STREET,MONTGOMERY STREET,MALBONE STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T19:51:37.000,09 BROOKLYN,BROOKLYN,998205,181417,MOBILE,Unspecified,BROOKLYN,40.6646134851723,-73.9496986587715,"{'latitude': '40.6646134851723', 'longitude': '-73.9496986587715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,CLOVE ROAD,3013097501,,,,,,,,
58860199,2023-09-19T19:10:52.000,2023-09-19T19:10:52.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,RESIDENTIAL BUILDING,10461,2501 TRATMAN AVENUE,TRATMAN AVENUE,,,,,ADDRESS,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-19T00:00:00.000,10 BRONX,BRONX,1027031,245098,ONLINE,Unspecified,BRONX,40.83930901583743,-73.84538921814523,"{'latitude': '40.83930901583743', 'longitude': '-73.84538921814523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2039820001,,,,,,,,
58869596,2023-09-19T19:10:51.000,2023-09-19T20:00:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11435,109-07 PINEGROVE STREET,PINEGROVE STREET,109 AVENUE,FERNDALE AVENUE,109 AVENUE,FERNDALE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T20:00:53.000,12 QUEENS,QUEENS,1038972,190248,MOBILE,Unspecified,QUEENS,40.68869441694971,-73.80268102767118,"{'latitude': '40.68869441694971', 'longitude': '-73.80268102767118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,PINEGROVE STREET,4119340049,,,,,,,,
58858304,2023-09-19T19:10:43.000,2023-09-19T19:12:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11413,122-08 MONTAUK STREET,MONTAUK STREET,122 AVENUE,NELLIS STREET,122 AVENUE,NELLIS STREET,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T19:12:09.000,12 QUEENS,QUEENS,1050798,188158,ONLINE,Unspecified,QUEENS,40.6828768482321,-73.76005915853679,"{'latitude': '40.6828768482321', 'longitude': '-73.76005915853679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SPRINGFIELD GARDENS,MONTAUK STREET,4127000015,,,,,,,,
58862549,2023-09-19T19:10:29.000,2023-10-06T07:17:16.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11236,552 EAST   82 STREET,EAST   82 STREET,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-06T07:17:22.000,18 BROOKLYN,BROOKLYN,1007490,172630,PHONE,Unspecified,BROOKLYN,40.640475592957436,-73.91626080892195,"{'latitude': '40.640475592957436', 'longitude': '-73.91626080892195', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   82 STREET,3079600076,,,,,,,,
58859552,2023-09-19T19:09:44.000,2023-09-19T19:29:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,223 BAY   23 STREET,BAY   23 STREET,CROPSEY AVENUE,DEAD END,CROPSEY AVENUE,DEAD END,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T19:29:51.000,11 BROOKLYN,BROOKLYN,983226,158066,PHONE,Unspecified,BROOKLYN,40.60053087820158,-74.00368750508659,"{'latitude': '40.60053087820158', 'longitude': '-74.00368750508659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BAY   23 STREET,3064660100,,,,,,,,
58858292,2023-09-19T19:09:37.000,2023-11-06T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10128,182 EAST   95 STREET,EAST   95 STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-06T00:00:00.000,08 MANHATTAN,MANHATTAN,997977,225191,UNKNOWN,Unspecified,MANHATTAN,40.78476281003183,-73.95043120737341,"{'latitude': '40.78476281003183', 'longitude': '-73.95043120737341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1015230034,,,,,,,,
58860626,2023-09-19T19:09:34.000,2023-09-19T20:08:22.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11217,1 SOUTH ELLIOTT PLACE,SOUTH ELLIOTT PLACE,DEKALB AVENUE,LAFAYETTE AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T20:08:25.000,02 BROOKLYN,BROOKLYN,990901,190423,MOBILE,Unspecified,BROOKLYN,40.689341420073866,-73.97601732162852,"{'latitude': '40.689341420073866', 'longitude': '-73.97601732162852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,SOUTH ELLIOTT PLACE,3020990041,,,,,,,,
58857541,2023-09-19T19:09:19.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10466,4222 WICKHAM AVENUE,WICKHAM AVENUE,,,,,ADDRESS,Closed,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,2023-09-28T00:00:00.000,12 BRONX,BRONX,1025938,265373,UNKNOWN,Unspecified,BRONX,40.89496286643069,-73.84921318745502,"{'latitude': '40.89496286643069', 'longitude': '-73.84921318745502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2050120037,,,,,,,,
58855953,2023-09-19T19:09:17.000,2023-09-19T19:28:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,117-22 147 STREET,147 STREET,FOCH BOULEVARD,119 AVENUE,FOCH BOULEVARD,119 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T19:28:09.000,12 QUEENS,QUEENS,1041495,187082,ONLINE,Unspecified,QUEENS,40.67998853497458,-73.79361041490598,"{'latitude': '40.67998853497458', 'longitude': '-73.79361041490598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,147 STREET,4120210016,,,,,,,,
58867999,2023-09-19T19:09:04.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10453,1738 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T00:00:00.000,05 BRONX,BRONX,1007077,248609,UNKNOWN,Unspecified,BRONX,40.84901980016448,-73.91749107675265,"{'latitude': '40.84901980016448', 'longitude': '-73.91749107675265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2028760112,,,,,,,,
58862255,2023-09-19T19:09:04.000,2023-09-19T19:57:13.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11207,197 BARBEY STREET,BARBEY STREET,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T19:57:15.000,05 BROOKLYN,BROOKLYN,1015071,186353,MOBILE,Unspecified,BROOKLYN,40.67811904143048,-73.8888819826503,"{'latitude': '40.67811904143048', 'longitude': '-73.8888819826503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BARBEY STREET,3039500016,,,,,,,,
58861565,2023-09-19T19:09:00.000,2023-09-20T13:20:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11434,,,,,LINDEN BOULEVARD,MERRICK BOULEVARD,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-20T13:20:00.000,12 QUEENS,QUEENS,1045482,191341,UNKNOWN,Unspecified,QUEENS,40.69165179668416,-73.77919714574149,"{'latitude': '40.69165179668416', 'longitude': '-73.77919714574149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS,,,N/A,,,,,,,
58859429,2023-09-19T19:08:53.000,2023-09-19T22:58:03.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10451,698 COURTLANDT AVENUE,COURTLANDT AVENUE,EAST  154 STREET,EAST  155 STREET,EAST  154 STREET,EAST  155 STREET,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T22:58:06.000,01 BRONX,BRONX,1006974,238114,PHONE,Unspecified,BRONX,40.82021433299557,-73.9178989276947,"{'latitude': '40.82021433299557', 'longitude': '-73.9178989276947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,COURTLANDT AVENUE,2024010003,,,,,,,,
58869031,2023-09-19T19:08:50.000,2023-09-19T19:54:58.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10021,1003 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   72 STREET,EAST   73 STREET,EAST   72 STREET,EAST   73 STREET,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T19:55:02.000,08 MANHATTAN,MANHATTAN,994753,220023,MOBILE,Unspecified,MANHATTAN,40.770582432740746,-73.96208128785817,"{'latitude': '40.770582432740746', 'longitude': '-73.96208128785817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,LEXINGTON AVENUE,1014070020,,,,,,,,
58861733,2023-09-19T19:08:49.000,2023-09-19T22:40:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,733 EAST  226 STREET,EAST  226 STREET,WHITE PLAINS ROAD,BARNES AVENUE,WHITE PLAINS ROAD,BARNES AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T22:40:08.000,12 BRONX,BRONX,1023286,262875,ONLINE,Unspecified,BRONX,40.8881187868656,-73.85882010022581,"{'latitude': '40.8881187868656', 'longitude': '-73.85882010022581', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  226 STREET,2048400031,,,,,,,,
58863826,2023-09-19T19:08:43.000,2023-09-19T22:05:39.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11237,363 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE,STOCKHOLM STREET,STANHOPE STREET,STOCKHOLM STREET,STANHOPE STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T22:05:42.000,04 BROOKLYN,BROOKLYN,1006026,194530,ONLINE,Unspecified,BROOKLYN,40.700589888363425,-73.92146519558733,"{'latitude': '40.700589888363425', 'longitude': '-73.92146519558733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,KNICKERBOCKER AVENUE,3032580008,,,,,,,,
58868282,2023-09-19T19:08:38.000,2023-10-24T10:18:41.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,10035,175 EAST  128 STREET,EAST  128 STREET,3 AVE-E  128 STREET PED OVPS,3 AVE-E  128 STREET PED OVPS,3 AVE-E  128 STREET PED OVPS,3 AVE-E  128 STREET PED OVPS,ADDRESS,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-24T10:18:51.000,11 MANHATTAN,MANHATTAN,1002282,232875,PHONE,Unspecified,MANHATTAN,40.80584556673413,-73.93486503850421,"{'latitude': '40.80584556673413', 'longitude': '-73.93486503850421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST  128 STREET,1017770090,,,,,,,,
58857827,2023-09-19T19:08:34.000,2023-09-19T19:28:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,117-22 147 STREET,147 STREET,FOCH BOULEVARD,119 AVENUE,FOCH BOULEVARD,119 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T19:28:26.000,12 QUEENS,QUEENS,1041495,187082,ONLINE,Unspecified,QUEENS,40.67998853497458,-73.79361041490598,"{'latitude': '40.67998853497458', 'longitude': '-73.79361041490598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,147 STREET,4120210016,,,,,,,,
58868613,2023-09-19T19:08:33.000,2023-09-19T20:27:44.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11209,7702 5 AVENUE,5 AVENUE,77 STREET,78 STREET,77 STREET,78 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T20:27:48.000,10 BROOKLYN,BROOKLYN,977777,168021,MOBILE,Unspecified,BROOKLYN,40.627852991274345,-74.02331932835739,"{'latitude': '40.627852991274345', 'longitude': '-74.02331932835739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,5 AVENUE,3059610037,,,,,,,,
58870341,2023-09-19T19:08:28.000,2023-09-28T13:46:12.000,DOT,Department of Transportation,Street Sign - Damaged,Bus Stop,Street,10301,320 FOREST AVENUE,FOREST AVENUE,UNIVERSITY PLACE,HART BOULEVARD,UNIVERSITY PLACE,HART BOULEVARD,ADDRESS,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-28T13:46:17.000,01 STATEN ISLAND,STATEN ISLAND,956556,169297,ONLINE,Unspecified,STATEN ISLAND,40.63131441645186,-74.09977430980092,"{'latitude': '40.63131441645186', 'longitude': '-74.09977430980092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,FOREST AVENUE,5002500005,,,,,,,,
58856039,2023-09-19T19:08:23.000,2023-09-19T20:42:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,EAST  171 STREET,EAST  171 STREET,EAST  171 STREET,GRAND CONCOURSE,EAST  171 STREET,GRAND CONCOURSE,INTERSECTION,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T20:42:18.000,04 BRONX,BRONX,1008286,245255,ONLINE,Unspecified,BRONX,40.83981084980253,-73.91313313234699,"{'latitude': '40.83981084980253', 'longitude': '-73.91313313234699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58856137,2023-09-19T19:08:22.000,2023-09-19T22:37:27.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,11372,37-54 82 STREET,82 STREET,37 AVENUE,ROOSEVELT AVENUE,37 AVENUE,ROOSEVELT AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T22:37:30.000,03 QUEENS,QUEENS,1016320,212320,ONLINE,Unspecified,QUEENS,40.74938775731349,-73.88425530584571,"{'latitude': '40.74938775731349', 'longitude': '-73.88425530584571', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JACKSON HEIGHTS,82 STREET,4012920032,,,,,,,,
58856198,2023-09-19T19:08:01.000,2023-09-27T07:57:36.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10462,2198 CRUGER AVENUE,CRUGER AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 BRONX,BRONX,1021145,251285,PHONE,Unspecified,BRONX,40.85631703985628,-73.86662717636435,"{'latitude': '40.85631703985628', 'longitude': '-73.86662717636435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2043190025,,,,,,,,
58859978,2023-09-19T19:08:01.000,2023-09-27T07:57:35.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10462,2198 CRUGER AVENUE,CRUGER AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 BRONX,BRONX,1021145,251285,PHONE,Unspecified,BRONX,40.85631703985628,-73.86662717636435,"{'latitude': '40.85631703985628', 'longitude': '-73.86662717636435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2043190025,,,,,,,,
58859972,2023-09-19T19:08:01.000,2023-09-27T07:57:35.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10462,2198 CRUGER AVENUE,CRUGER AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 BRONX,BRONX,1021145,251285,PHONE,Unspecified,BRONX,40.85631703985628,-73.86662717636435,"{'latitude': '40.85631703985628', 'longitude': '-73.86662717636435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2043190025,,,,,,,,
