unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_company_borough
58863797,2023-09-15T01:49:54.000,2023-09-15T07:21:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11225,163 OCEAN AVENUE,OCEAN AVENUE,EAST LAKE DRIVE,EAST DRIVE,EAST LAKE DRIVE,EAST DRIVE,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T07:21:47.000,09 BROOKLYN,3050260011,BROOKLYN,994633,179408,ONLINE,Unspecified,BROOKLYN,40.659104133812114,-73.96257716379512,"{'latitude': '40.659104133812114', 'longitude': '-73.96257716379512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58849109,2023-09-15T01:49:46.000,2023-09-18T14:07:26.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,10457,2072 ANTHONY AVENUE,ANTHONY AVENUE,EAST BURNSIDE AVENUE,EAST  180 STREET,EAST BURNSIDE AVENUE,EAST  180 STREET,ADDRESS,BRONX,ANTHONY AVENUE,Closed,This request required re-assignment to a new DOT unit.,2023-09-18T14:07:41.000,05 BRONX,2031560049,BRONX,1011361,249971,ONLINE,Unspecified,BRONX,40.85274596970766,-73.90200092574528,"{'latitude': '40.85274596970766', 'longitude': '-73.90200092574528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865740,2023-09-15T01:49:45.000,2023-09-15T02:46:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10451,828 GERARD AVENUE,GERARD AVENUE,EAST  157 STREET,EAST  158 STREET,EAST  157 STREET,EAST  158 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:46:22.000,04 BRONX,2024740010,BRONX,1004804,240268,MOBILE,Unspecified,BRONX,40.826131766279985,-73.92573246501276,"{'latitude': '40.826131766279985', 'longitude': '-73.92573246501276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58827526,2023-09-15T01:49:37.000,2023-09-18T10:55:52.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11238,629 STERLING PLACE,STERLING PLACE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ADDRESS,BROOKLYN,STERLING PLACE,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-16T09:40:41.000,08 BROOKLYN,3011680072,BROOKLYN,995748,184693,ONLINE,Unspecified,BROOKLYN,40.67360890465215,-73.95854942183118,"{'latitude': '40.67360890465215', 'longitude': '-73.95854942183118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58811785,2023-09-15T01:49:33.000,2023-09-20T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10033,568 WEST  185 STREET,WEST  185 STREET,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-21T07:15:27.000,12 MANHATTAN,1021570008,MANHATTAN,1003259,249469,UNKNOWN,Unspecified,MANHATTAN,40.85138928999981,-73.93128891561584,"{'latitude': '40.85138928999981', 'longitude': '-73.93128891561584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:49:33.000,,,,,
58863171,2023-09-15T01:49:22.000,2023-09-15T04:08:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11420,111-40 125 STREET,125 STREET,HAWTREE CREEK ROAD,LINDEN BOULEVARD,HAWTREE CREEK ROAD,LINDEN BOULEVARD,ADDRESS,SOUTH OZONE PARK,125 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T04:08:29.000,10 QUEENS,4116290026,QUEENS,1035361,187547,ONLINE,Unspecified,QUEENS,40.681302394914944,-73.81572217771628,"{'latitude': '40.681302394914944', 'longitude': '-73.81572217771628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869634,2023-09-15T01:49:02.000,2023-09-15T02:55:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,LUDLOW STREET,LUDLOW STREET,LUDLOW STREET,STANTON STREET,LUDLOW STREET,STANTON STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:55:42.000,03 MANHATTAN,,MANHATTAN,987640,202042,ONLINE,Unspecified,MANHATTAN,40.72123468734571,-73.98777023226815,"{'latitude': '40.72123468734571', 'longitude': '-73.98777023226815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58812789,2023-09-15T01:48:50.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10033,2549 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:29:10.000,12 MANHATTAN,1021490093,MANHATTAN,1004059,249517,UNKNOWN,Unspecified,MANHATTAN,40.85151927712607,-73.92839704653038,"{'latitude': '40.85151927712607', 'longitude': '-73.92839704653038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-11-14T07:29:10.000,,,,,
58869456,2023-09-15T01:48:48.000,2023-09-15T02:16:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11423,189-15 89 AVENUE,89 AVENUE,189 STREET,190 STREET,189 STREET,190 STREET,ADDRESS,HOLLIS,89 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:16:08.000,12 QUEENS,4104540040,QUEENS,1047527,199588,MOBILE,Unspecified,QUEENS,40.714273414167145,-73.77174540896696,"{'latitude': '40.714273414167145', 'longitude': '-73.77174540896696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855615,2023-09-15T01:48:45.000,2023-09-15T03:19:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11208,LOGAN STREET,LOGAN STREET,LOGAN STREET,SUTTER AVENUE,LOGAN STREET,SUTTER AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T03:19:53.000,05 BROOKLYN,,BROOKLYN,1018767,184224,ONLINE,Unspecified,BROOKLYN,40.672261781530906,-73.87556782605168,"{'latitude': '40.672261781530906', 'longitude': '-73.87556782605168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817357,2023-09-15T01:48:08.000,2023-09-19T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10033,600 WEST  187 STREET,WEST  187 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The City inspected the property for cleaning, but no graffiti was found.",2023-09-19T15:51:01.000,12 MANHATTAN,1021660074,MANHATTAN,1003287,250105,UNKNOWN,Unspecified,MANHATTAN,40.853134860270025,-73.93118589918458,"{'latitude': '40.853134860270025', 'longitude': '-73.93118589918458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:48:08.000,,,,,
58859680,2023-09-15T01:47:54.000,2023-09-15T02:01:44.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11368,41-17 108 STREET,108 STREET,41 AVENUE,42 AVENUE,41 AVENUE,42 AVENUE,ADDRESS,CORONA,108 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:01:48.000,04 QUEENS,4019970066,QUEENS,1023511,212498,ONLINE,Unspecified,QUEENS,40.74984731820909,-73.85830107747825,"{'latitude': '40.74984731820909', 'longitude': '-73.85830107747825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865695,2023-09-15T01:47:54.000,2023-09-15T02:27:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11421,85-08 JAMAICA AVENUE,JAMAICA AVENUE,85 STREET,86 STREET,85 STREET,86 STREET,ADDRESS,WOODHAVEN,JAMAICA AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:27:37.000,09 QUEENS,4089220003,QUEENS,1023377,191612,ONLINE,Unspecified,QUEENS,40.6925209591339,-73.85890611957863,"{'latitude': '40.6925209591339', 'longitude': '-73.85890611957863', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865337,2023-09-15T01:47:47.000,2023-09-15T03:08:09.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,34-54 64 STREET,64 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,WOODSIDE,64 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T03:08:14.000,02 QUEENS,4011900032,QUEENS,1012295,212873,MOBILE,Unspecified,QUEENS,40.750919283205874,-73.8987797208272,"{'latitude': '40.750919283205874', 'longitude': '-73.8987797208272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865668,2023-09-15T01:47:29.000,2023-09-15T02:02:25.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10469,2385 WILLIAMSBRIDGE ROAD,WILLIAMSBRIDGE ROAD,STELL PLACE,WARING AVENUE,STELL PLACE,WARING AVENUE,ADDRESS,BRONX,WILLIAMSBRIDGE ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:02:28.000,11 BRONX,2043630001,BRONX,1023657,252950,ONLINE,Unspecified,BRONX,40.860876104300544,-73.85753670025025,"{'latitude': '40.860876104300544', 'longitude': '-73.85753670025025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855845,2023-09-15T01:46:59.000,2023-09-15T02:23:31.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11421,88-09 JAMAICA AVENUE,JAMAICA AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,WOODHAVEN,JAMAICA AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:23:37.000,09 QUEENS,4088630096,QUEENS,1024135,191677,ONLINE,Unspecified,QUEENS,40.69269598527175,-73.85617235442481,"{'latitude': '40.69269598527175', 'longitude': '-73.85617235442481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58811665,2023-09-15T01:46:59.000,2023-09-21T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10040,1558 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-25T08:32:33.000,12 MANHATTAN,1021580007,MANHATTAN,1003441,250255,UNKNOWN,Unspecified,MANHATTAN,40.85354623212716,-73.93062879766954,"{'latitude': '40.85354623212716', 'longitude': '-73.93062879766954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:46:59.000,,,,,
58859811,2023-09-15T01:46:48.000,2023-09-15T01:53:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,54 WEST    9 STREET,WEST    9 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    9 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:53:51.000,02 MANHATTAN,1005720015,MANHATTAN,984700,206645,ONLINE,Unspecified,MANHATTAN,40.73386943870144,-73.99837627168445,"{'latitude': '40.73386943870144', 'longitude': '-73.99837627168445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815223,2023-09-15T01:46:16.000,2023-09-21T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10040,1566 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-25T08:32:33.000,12 MANHATTAN,1021580033,MANHATTAN,1003513,250384,UNKNOWN,Unspecified,MANHATTAN,40.85390014182309,-73.93036816310038,"{'latitude': '40.85390014182309', 'longitude': '-73.93036816310038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:46:16.000,,,,,
58855772,2023-09-15T01:46:12.000,2023-09-15T02:40:12.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10462,1722 FOWLER AVENUE,FOWLER AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,ADDRESS,BRONX,FOWLER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:40:18.000,11 BRONX,2040950037,BRONX,1023542,247566,MOBILE,Unspecified,BRONX,40.846099158337466,-73.85798400087842,"{'latitude': '40.846099158337466', 'longitude': '-73.85798400087842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58822367,2023-09-15T01:46:00.000,2023-09-15T02:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11368,,,,,34 AVENUE,102 STREET,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T02:30:00.000,03 QUEENS,,QUEENS,1021309,214629,UNKNOWN,Unspecified,QUEENS,40.755705868959424,-73.86623667327757,"{'latitude': '40.755705868959424', 'longitude': '-73.86623667327757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58812790,2023-09-15T01:45:34.000,2023-09-25T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10040,575 WEST  189 STREET,WEST  189 STREET,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-26T06:31:53.000,12 MANHATTAN,1021580062,MANHATTAN,1003759,250444,UNKNOWN,Unspecified,MANHATTAN,40.854064283755676,-73.92947874878273,"{'latitude': '40.854064283755676', 'longitude': '-73.92947874878273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:45:34.000,,,,,
58869661,2023-09-15T01:45:23.000,2023-09-15T02:01:38.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11221,833 MONROE STREET,MONROE STREET,RALPH AVENUE,HOWARD AVENUE,RALPH AVENUE,HOWARD AVENUE,ADDRESS,BROOKLYN,MONROE STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T02:01:41.000,03 BROOKLYN,3014800060,BROOKLYN,1005632,190183,ONLINE,Unspecified,BROOKLYN,40.68865934638795,-73.92289994839304,"{'latitude': '40.68865934638795', 'longitude': '-73.92289994839304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58820074,2023-09-15T01:45:09.000,2023-10-10T08:44:37.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10462,900 LYDIG AVENUE,LYDIG AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,11 BRONX,2042980022,BRONX,1022466,250582,ONLINE,Unspecified,BRONX,40.85438189777797,-73.86185587000068,"{'latitude': '40.85438189777797', 'longitude': '-73.86185587000068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58810539,2023-09-15T01:44:51.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10040,341 WADSWORTH AVENUE,WADSWORTH AVENUE,,,,,ADDRESS,NEW YORK,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:29:10.000,12 MANHATTAN,1021690001,MANHATTAN,1003405,250993,UNKNOWN,Unspecified,MANHATTAN,40.855571899703335,-73.93075682087185,"{'latitude': '40.855571899703335', 'longitude': '-73.93075682087185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-11-14T07:29:10.000,,,,,
58812922,2023-09-15T01:44:09.000,2023-09-21T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10034,525 WEST  207 STREET,WEST  207 STREET,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-25T08:32:33.000,12 MANHATTAN,1022230030,MANHATTAN,1006476,254528,UNKNOWN,Unspecified,MANHATTAN,40.865267209978036,-73.91964378339154,"{'latitude': '40.865267209978036', 'longitude': '-73.91964378339154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:44:09.000,,,,,
58861248,2023-09-15T01:43:56.000,2023-09-15T04:10:25.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11234,3517 FLATLANDS AVENUE,FLATLANDS AVENUE,EAST   35 STREET,EAST   37 STREET,EAST   35 STREET,EAST   37 STREET,ADDRESS,BROOKLYN,FLATLANDS AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T04:10:29.000,18 BROOKLYN,3076710007,BROOKLYN,1000923,164535,MOBILE,Unspecified,BROOKLYN,40.61827132701561,-73.93994324476327,"{'latitude': '40.61827132701561', 'longitude': '-73.93994324476327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864647,2023-09-15T01:43:42.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10105,1345 AVENUE OF AMERICAS,AVENUE OF AMERICAS,WEST 54 STREET,WEST 55 STREET,WEST   54 STREET,WEST   55 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-15T04:38:33.000,05 MANHATTAN,1010070029,MANHATTAN,990217,217115,MOBILE,Unspecified,MANHATTAN,40.762604951668195,-73.9784600732737,"{'latitude': '40.762604951668195', 'longitude': '-73.9784600732737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58811666,2023-09-15T01:43:27.000,2023-09-21T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10034,232 SHERMAN AVENUE,SHERMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-25T08:32:34.000,12 MANHATTAN,1022270029,MANHATTAN,1006453,254761,UNKNOWN,Unspecified,MANHATTAN,40.86590678189336,-73.91972616592787,"{'latitude': '40.86590678189336', 'longitude': '-73.91972616592787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:43:27.000,,,,,
