unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough,road_ramp
58935968,2023-09-27T22:58:40.000,2023-09-28T01:25:15.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10470,606E EAST  242 STREET,EAST  242 STREET,BRONX BOULEVARD,CARPENTER AVENUE,BRONX BOULEVARD,CARPENTER AVENUE,ADDRESS,BRONX,EAST  242 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T01:25:18.000,12 BRONX,BRONX,1025124,269592,MOBILE,Unspecified,BRONX,40.90654645814682,-73.85213168549606,"{'latitude': '40.90654645814682', 'longitude': '-73.85213168549606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58935834,2023-09-27T22:58:07.000,2023-09-28T01:51:23.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10471,216 WEST  242 STREET,WEST  242 STREET,IRT-1-BROADWAY/7 AVENUE LINE,MANHATTAN COLLEGE PARKWAY,IRT-1-BROADWAY/7 AVENUE LINE,MANHATTAN COLLEGE PARKWAY,ADDRESS,BRONX,WEST  242 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T01:51:27.000,08 BRONX,BRONX,1012180,263377,PHONE,Unspecified,BRONX,40.8895387575232,-73.89898457845014,"{'latitude': '40.8895387575232', 'longitude': '-73.89898457845014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939023,2023-09-27T22:57:42.000,2023-09-27T23:14:02.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10029,FIFTH AVENUE,FIFTH AVENUE,FIFTH AVENUE,EAST  109 STREET,FIFTH AVENUE,EAST  109 STREET,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T23:14:06.000,11 MANHATTAN,MANHATTAN,998181,229364,PHONE,Unspecified,MANHATTAN,40.79621625159662,-73.94968589941718,"{'latitude': '40.79621625159662', 'longitude': '-73.94968589941718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937419,2023-09-27T22:57:32.000,2023-09-28T01:59:42.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11237,422 BLEECKER STREET,BLEECKER STREET,ST NICHOLAS AVENUE,CYPRESS AVENUE,ST NICHOLAS AVENUE,CYPRESS AVENUE,ADDRESS,BROOKLYN,BLEECKER STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T01:59:47.000,04 BROOKLYN,BROOKLYN,1008312,195485,ONLINE,Unspecified,BROOKLYN,40.7032052176122,-73.91321736521178,"{'latitude': '40.7032052176122', 'longitude': '-73.91321736521178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3033120016,,,,,,,
58943575,2023-09-27T22:57:22.000,2023-09-28T01:49:44.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10463,660 WEST  237 STREET,WEST  237 STREET,INDEPENDENCE AVENUE,HUDSON MANOR TERRACE,INDEPENDENCE AVENUE,HUDSON MANOR TERRACE,ADDRESS,BRONX,WEST  237 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T01:49:49.000,08 BRONX,BRONX,1008171,262935,MOBILE,Unspecified,BRONX,40.88833738566947,-73.91348563954683,"{'latitude': '40.88833738566947', 'longitude': '-73.91348563954683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2059180376,,,,,,,
58944677,2023-09-27T22:57:00.000,2023-09-27T23:17:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10463,2721 ARLINGTON AVENUE,ARLINGTON AVENUE,WEST  227 STREET,WEST  230 STREET,WEST  227 STREET,WEST  230 STREET,ADDRESS,BRONX,ARLINGTON AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T23:17:23.000,08 BRONX,BRONX,1007745,260053,MOBILE,Unspecified,BRONX,40.880428345326735,-73.91503644980149,"{'latitude': '40.880428345326735', 'longitude': '-73.91503644980149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2057310881,,,,,,,
58944993,2023-09-27T22:56:56.000,2023-09-28T00:13:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10309,35 WOODROSE LANE,WOODROSE LANE,RAMONA AVENUE,DEAD END,RAMONA AVENUE,DEAD END,ADDRESS,STATEN ISLAND,WOODROSE LANE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T00:13:36.000,03 STATEN ISLAND,STATEN ISLAND,924412,134392,ONLINE,Unspecified,STATEN ISLAND,40.535348598177976,-74.21527143480294,"{'latitude': '40.535348598177976', 'longitude': '-74.21527143480294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5070140072,,,,,,,
58940984,2023-09-27T22:56:34.000,2023-09-27T23:16:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10032,674 WEST  161 STREET,WEST  161 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  161 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:17:03.000,12 MANHATTAN,MANHATTAN,999255,244474,ONLINE,Unspecified,MANHATTAN,40.83768719509005,-73.94577318972136,"{'latitude': '40.83768719509005', 'longitude': '-73.94577318972136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021360120,,,,,,,
58939947,2023-09-27T22:56:21.000,2023-09-27T23:18:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11234,5610 FARRAGUT ROAD,FARRAGUT ROAD,EAST   56 STREET,EAST   57 STREET,EAST   56 STREET,EAST   57 STREET,ADDRESS,BROOKLYN,FARRAGUT ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:18:48.000,18 BROOKLYN,BROOKLYN,1005798,170927,ONLINE,Unspecified,BROOKLYN,40.63580550137668,-73.92236291851425,"{'latitude': '40.63580550137668', 'longitude': '-73.92236291851425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58941199,2023-09-27T22:56:05.000,2023-09-27T22:59:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,150 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,GATES AVENUE,MONROE STREET,GATES AVENUE,MONROE STREET,ADDRESS,BROOKLYN,MALCOLM X BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T22:59:53.000,03 BROOKLYN,BROOKLYN,1003623,190063,ONLINE,Unspecified,BROOKLYN,40.688334599490894,-73.93014442097454,"{'latitude': '40.688334599490894', 'longitude': '-73.93014442097454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3016360024,,,,,,,
58938218,2023-09-27T22:56:00.000,2023-09-28T17:37:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10022,1026 1 AVENUE,1 AVENUE,E 56 ST,E 57 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T17:37:00.000,06 MANHATTAN,MANHATTAN,994419,215359,ONLINE,Unspecified,MANHATTAN,40.75778134767946,-73.96329417512062,"{'latitude': '40.75778134767946', 'longitude': '-73.96329417512062', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1013680001,N/A,,,,,,
58938217,2023-09-27T22:56:00.000,2023-09-28T18:42:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10013,117 VARICK STREET,VARICK STREET,BROOME ST,DOMINICK ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T18:42:00.000,02 MANHATTAN,MANHATTAN,982593,203310,ONLINE,Unspecified,MANHATTAN,40.724715534853615,-74.00597810723798,"{'latitude': '40.724715534853615', 'longitude': '-74.00597810723798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1005780070,N/A,,,,,,
58943365,2023-09-27T22:56:00.000,2023-09-28T17:37:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10022,400 EAST   56 STREET,EAST   56 STREET,1 AVE,SUTTON PL S,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T17:37:00.000,06 MANHATTAN,MANHATTAN,994422,215284,ONLINE,Unspecified,MANHATTAN,40.75757548839929,-73.96328345985233,"{'latitude': '40.75757548839929', 'longitude': '-73.96328345985233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1013670001,N/A,,,,,,
58942151,2023-09-27T22:56:00.000,2023-09-28T01:00:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11691,19-15 SEAGIRT BOULEVARD,SEAGIRT BOULEVARD,BEACH 19 ST,BEACH 20 ST,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,2023-09-28T01:00:00.000,14 QUEENS,QUEENS,1052735,156194,ONLINE,Unspecified,QUEENS,40.59512808199396,-73.75339972090964,"{'latitude': '40.59512808199396', 'longitude': '-73.75339972090964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4158100030,,,,,,,
58938216,2023-09-27T22:56:00.000,2023-09-29T05:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,65 WALL STREET,WALL STREET,HANOVER ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T05:00:00.000,01 MANHATTAN,MANHATTAN,981913,196417,ONLINE,Unspecified,MANHATTAN,40.70579574491041,-74.00842901113847,"{'latitude': '40.70579574491041', 'longitude': '-74.00842901113847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1000270009,N/A,,,,,,
58938204,2023-09-27T22:56:00.000,2023-09-28T09:12:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10467,3435 OLINVILLE AVENUE,OLINVILLE AVENUE,MAGENTA ST,DUNCOMB AVE,,,ADDRESS,BRONX,,Closed,,2023-09-28T09:12:00.000,12 BRONX,BRONX,1020724,258615,ONLINE,Unspecified,BRONX,40.876437389391874,-73.86810916351783,"{'latitude': '40.876437389391874', 'longitude': '-73.86810916351783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2046270029,N/A,,,,,,
58936048,2023-09-27T22:55:40.000,2023-09-27T23:23:11.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10458,2965 MARION AVENUE,MARION AVENUE,BEDFORD PARK BOULEVARD,EAST  201 STREET,BEDFORD PARK BOULEVARD,EAST  201 STREET,ADDRESS,BRONX,MARION AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:23:17.000,07 BRONX,BRONX,1016335,255957,ONLINE,Unspecified,BRONX,40.86915904820484,-73.88399259888972,"{'latitude': '40.86915904820484', 'longitude': '-73.88399259888972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2032920001,,,,,,,
58940448,2023-09-27T22:55:26.000,2023-09-28T04:10:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10465,1522 KENNELLWORTH PLACE,KENNELLWORTH PLACE,GRISWOLD AVENUE,AMPERE AVENUE,GRISWOLD AVENUE,AMPERE AVENUE,ADDRESS,BRONX,KENNELLWORTH PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T04:10:09.000,10 BRONX,BRONX,1033441,247127,MOBILE,Unspecified,BRONX,40.8448446373012,-73.82220861747366,"{'latitude': '40.8448446373012', 'longitude': '-73.82220861747366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2054120066,,,,,,,
58937892,2023-09-27T22:55:21.000,2023-10-18T09:26:53.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11234,7271 ROYCE PLACE,ROYCE PLACE,ROYCE STREET,BERGEN AVENUE,ROYCE STREET,BERGEN AVENUE,ADDRESS,BROOKLYN,ROYCE PLACE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-18T09:26:58.000,18 BROOKLYN,BROOKLYN,1009393,167111,PHONE,Unspecified,BROOKLYN,40.62532191796573,-73.90942441901987,"{'latitude': '40.62532191796573', 'longitude': '-73.90942441901987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3083730006,,,,,,,
58941100,2023-09-27T22:55:00.000,2023-10-19T14:11:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10454,461 EAST  136 STREET,EAST  136 STREET,BROWN PL,WILLIS AVE,EAST 136 STREET,WILLIS AVENUE,INTERSECTION,BRONX,,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-10-19T14:11:00.000,01 BRONX,BRONX,1005334,233593,UNKNOWN,Unspecified,BRONX,40.80780952182105,-73.92383839303326,"{'latitude': '40.80780952182105', 'longitude': '-73.92383839303326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2022810021,,,,,,,
58943546,2023-09-27T22:55:00.000,2023-09-27T23:03:00.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11225,11 MIDWOOD STREET,MIDWOOD STREET,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,MIDWOOD STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:03:03.000,09 BROOKLYN,BROOKLYN,995413,179572,ONLINE,Unspecified,BROOKLYN,40.65955332868685,-73.95976558455685,"{'latitude': '40.65955332868685', 'longitude': '-73.95976558455685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050310001,,,,,,,
58941229,2023-09-27T22:54:57.000,2023-09-27T23:05:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10014,51 GROVE STREET,GROVE STREET,BLEECKER STREET,7 AVENUE SOUTH,BLEECKER STREET,7 AVENUE SOUTH,ADDRESS,NEW YORK,GROVE STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:05:18.000,02 MANHATTAN,MANHATTAN,983217,206329,MOBILE,Unspecified,MANHATTAN,40.73300204753444,-74.0037273100368,"{'latitude': '40.73300204753444', 'longitude': '-74.0037273100368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1005910040,,,,,,,
58942527,2023-09-27T22:54:41.000,2023-09-27T23:06:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11436,114-35 141 STREET,141 STREET,LINDEN BOULEVARD,115 AVENUE,LINDEN BOULEVARD,115 AVENUE,ADDRESS,JAMAICA,141 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:06:25.000,12 QUEENS,QUEENS,1039105,188231,ONLINE,Unspecified,QUEENS,40.683157404240525,-73.80221787344769,"{'latitude': '40.683157404240525', 'longitude': '-73.80221787344769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58942245,2023-09-27T22:54:38.000,2023-09-27T23:27:09.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11226,704 ROGERS AVENUE,ROGERS AVENUE,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,ROGERS AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T23:27:14.000,17 BROOKLYN,BROOKLYN,997326,177667,MOBILE,Unspecified,BROOKLYN,40.65432190378872,-73.95287431979318,"{'latitude': '40.65432190378872', 'longitude': '-73.95287431979318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050650072,,,,,,,
58938574,2023-09-27T22:53:48.000,2023-09-27T23:21:49.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10037,7 WEST  137 STREET,WEST  137 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  137 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:21:53.000,10 MANHATTAN,MANHATTAN,1001608,235957,MOBILE,Unspecified,MANHATTAN,40.814306149210644,-73.9372916822807,"{'latitude': '40.814306149210644', 'longitude': '-73.9372916822807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1017350031,,,,,,,
58943516,2023-09-27T22:53:17.000,2023-09-28T01:50:19.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11101,10-05 41 AVENUE,41 AVENUE,10 STREET,12 STREET,10 STREET,12 STREET,ADDRESS,LONG ISLAND CITY,41 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T01:50:24.000,01 QUEENS,QUEENS,999318,214580,MOBILE,Unspecified,QUEENS,40.75563620001029,-73.9456125895145,"{'latitude': '40.75563620001029', 'longitude': '-73.9456125895145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4004700100,,,,,,,
58939957,2023-09-27T22:53:15.000,2023-09-27T22:57:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10022,336 EAST   56 STREET,EAST   56 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   56 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T22:57:25.000,06 MANHATTAN,MANHATTAN,993995,215519,MOBILE,Unspecified,MANHATTAN,40.758220984252574,-73.96482440520239,"{'latitude': '40.758220984252574', 'longitude': '-73.96482440520239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1013480035,,,,,,,
58937350,2023-09-27T22:53:08.000,2023-09-27T23:38:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,1803 HAIGHT AVENUE,HAIGHT AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,ADDRESS,BRONX,HAIGHT AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:38:40.000,11 BRONX,BRONX,1024834,248941,ONLINE,Unspecified,BRONX,40.84986727884993,-73.85330591516451,"{'latitude': '40.84986727884993', 'longitude': '-73.85330591516451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2041300033,,,,,,,
