unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58815468,2023-09-14T16:02:19.000,2023-09-18T16:13:12.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11219,1042 45 STREET,45 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-18T00:00:00.000,12 BROOKLYN,3056140019,BROOKLYN,985508,172695,PHONE,Unspecified,BROOKLYN,40.640684404383364,-73.99546711634973,"{'latitude': '40.640684404383364', 'longitude': '-73.99546711634973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810945,2023-09-14T16:02:19.000,2023-09-18T16:13:13.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11219,1042 45 STREET,45 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-18T00:00:00.000,12 BROOKLYN,3056140019,BROOKLYN,985508,172695,PHONE,Unspecified,BROOKLYN,40.640684404383364,-73.99546711634973,"{'latitude': '40.640684404383364', 'longitude': '-73.99546711634973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813260,2023-09-14T16:02:19.000,2023-09-18T16:13:12.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11219,1042 45 STREET,45 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-18T00:00:00.000,12 BROOKLYN,3056140019,BROOKLYN,985508,172695,PHONE,Unspecified,BROOKLYN,40.640684404383364,-73.99546711634973,"{'latitude': '40.640684404383364', 'longitude': '-73.99546711634973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815485,2023-09-14T16:02:19.000,2023-09-18T16:13:13.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11219,1042 45 STREET,45 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,12 BROOKLYN,3056140019,BROOKLYN,985508,172695,PHONE,Unspecified,BROOKLYN,40.640684404383364,-73.99546711634973,"{'latitude': '40.640684404383364', 'longitude': '-73.99546711634973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815415,2023-09-14T16:02:19.000,2023-09-18T16:13:13.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11219,1042 45 STREET,45 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,12 BROOKLYN,3056140019,BROOKLYN,985508,172695,PHONE,Unspecified,BROOKLYN,40.640684404383364,-73.99546711634973,"{'latitude': '40.640684404383364', 'longitude': '-73.99546711634973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813277,2023-09-14T16:02:19.000,2023-09-23T14:57:30.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11219,1042 45 STREET,45 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-23T00:00:00.000,12 BROOKLYN,3056140019,BROOKLYN,985508,172695,PHONE,Unspecified,BROOKLYN,40.640684404383364,-73.99546711634973,"{'latitude': '40.640684404383364', 'longitude': '-73.99546711634973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818328,2023-09-14T16:02:07.000,2023-09-15T09:01:00.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Gas Station Convenience Store,Business,11432,165-01 HILLSIDE AVENUE,HILLSIDE AVENUE,165 STREET,165 STREET,165 STREET,165 STREET,ADDRESS,JAMAICA,HILLSIDE AVENUE,Closed,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-15T09:01:04.000,08 QUEENS,4098370010,QUEENS,1040335,197711,PHONE,Unspecified,QUEENS,40.709170024072186,-73.79770413369963,"{'latitude': '40.709170024072186', 'longitude': '-73.79770413369963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818928,2023-09-14T16:02:06.000,2023-09-18T15:15:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11226,2913 TILDEN AVENUE,TILDEN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-18T00:00:00.000,17 BROOKLYN,3051310019,BROOKLYN,998223,174954,PHONE,Unspecified,BROOKLYN,40.64687393955949,-73.94964716821855,"{'latitude': '40.64687393955949', 'longitude': '-73.94964716821855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813014,2023-09-14T16:02:00.000,2023-09-15T02:45:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10029,3 AVENUE,3 AVENUE,EAST  101 STREET,EAST  100 STREET,,,BLOCKFACE,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T02:45:00.000,11 MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,,,
58813698,2023-09-14T16:01:47.000,2023-09-18T04:53:12.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Alley,11225,549 EMPIRE BOULEVARD,EMPIRE BOULEVARD,LAMONT COURT,KINGSTON AVENUE,LAMONT COURT,KINGSTON AVENUE,ADDRESS,BROOKLYN,EMPIRE BOULEVARD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T04:53:20.000,09 BROOKLYN,3013110063,BROOKLYN,999821,181240,PHONE,Unspecified,BROOKLYN,40.66412496497757,-73.94387413410443,"{'latitude': '40.66412496497757', 'longitude': '-73.94387413410443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818180,2023-09-14T16:01:45.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10003,26 EAST   17 STREET,EAST   17 STREET,5 AVENUE,BROADWAY,5 AVENUE,BROADWAY,ADDRESS,NEW YORK,EAST   17 STREET,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T12:08:02.000,05 MANHATTAN,1008440026,MANHATTAN,986797,207903,ONLINE,Unspecified,MANHATTAN,40.737321983012016,-73.99080922150732,"{'latitude': '40.737321983012016', 'longitude': '-73.99080922150732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","26 EAST   17 STREET, MANHATTAN (NEW YORK), NY, 10003",,,,,,,,
58818665,2023-09-14T16:01:43.000,2023-09-14T16:46:26.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,4822 3 AVENUE,3 AVENUE,48 STREET,49 STREET,48 STREET,49 STREET,ADDRESS,BROOKLYN,3 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T16:46:31.000,07 BROOKLYN,3007720042,BROOKLYN,980405,175504,PHONE,Unspecified,BROOKLYN,40.64839375890313,-74.01385608234025,"{'latitude': '40.64839375890313', 'longitude': '-74.01385608234025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812257,2023-09-14T16:01:42.000,2023-09-19T09:04:14.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11378,68-08 CALDWELL AVENUE,CALDWELL AVENUE,68 STREET,BROWN PLACE,68 STREET,BROWN PLACE,ADDRESS,MASPETH,CALDWELL AVENUE,Closed,"The location was inspected and is suitable for tree planting. Barring any unforeseen issues such as underground utilities and based on available funding, the requested tree will be placed on an upcoming contract. Please note that this process can take up to two years, depending on capacity and the location.   To find out where and when trees will be planted, please visit the Tree Work Hub at nyc.gov/parks/treework.  To learn more about the trees in your neighborhood, visit the NYC Street Tree Map at nyc.gov/parks/treemap.",2023-09-19T09:04:19.000,05 QUEENS,4027790001,QUEENS,1013404,202660,ONLINE,Unspecified,QUEENS,40.72288355683021,-73.89482137039283,"{'latitude': '40.72288355683021', 'longitude': '-73.89482137039283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814511,2023-09-14T16:01:38.000,2023-09-14T20:33:17.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11417,89-09 103 AVENUE,103 AVENUE,89 STREET,90 STREET,89 STREET,90 STREET,ADDRESS,OZONE PARK,103 AVENUE,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-14T20:33:24.000,09 QUEENS,,QUEENS,1025861,187370,MOBILE,Unspecified,QUEENS,40.680866327466006,-73.8499749092204,"{'latitude': '40.680866327466006', 'longitude': '-73.8499749092204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
