unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp
58866974,2023-09-19T06:48:57.000,2023-09-19T16:25:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11219,1449 67 STREET,67 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T16:26:02.000,11 BROOKLYN,3057627502,BROOKLYN,984405,166193,MOBILE,Unspecified,BROOKLYN,40.62283787814851,-73.99944164618151,"{'latitude': '40.62283787814851', 'longitude': '-73.99944164618151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,67 STREET,,,,,,,
58860284,2023-09-19T06:48:44.000,2023-09-19T11:31:42.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11378,69-34 53 AVENUE,53 AVENUE,ADDRESS,MASPETH,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T11:31:52.000,05 QUEENS,4024950038,QUEENS,1013345,205666,MOBILE,Unspecified,QUEENS,40.731134483225645,-73.89502122738563,"{'latitude': '40.731134483225645', 'longitude': '-73.89502122738563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",69 STREET,70 STREET,69 STREET,70 STREET,53 AVENUE,,,,,,,
58880235,2023-09-19T06:48:37.000,2023-09-19T10:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10451,EAST  138 STREET,EAST  138 STREET,BLOCKFACE,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-19T10:55:00.000,01 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,CANAL STREET WEST,PARK AVENUE,,,,N/A,,,,,,
58858903,2023-09-19T06:48:21.000,2023-10-07T14:09:17.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Street,10003,184 2 AVENUE,2 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-06T10:15:54.000,03 MANHATTAN,1004530006,MANHATTAN,988104,205509,ONLINE,Unspecified,MANHATTAN,40.73075056939078,-73.98609431986404,"{'latitude': '40.73075056939078', 'longitude': '-73.98609431986404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   11 STREET,EAST   12 STREET,EAST   11 STREET,EAST   12 STREET,2 AVENUE,,,,,,,
58862740,2023-09-19T06:48:17.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T10:57:22.000,Unspecified BROOKLYN,,BROOKLYN,976366,166139,ONLINE,Unspecified,BROOKLYN,40.6226861527932,-74.02840033274465,"{'latitude': '40.6226861527932', 'longitude': '-74.02840033274465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,R,Stairway,,,,
58866774,2023-09-19T06:48:06.000,2023-09-20T13:41:57.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,10314,1659 RICHMOND AVENUE,RICHMOND AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-20T13:42:01.000,02 STATEN ISLAND,5015600001,STATEN ISLAND,939191,160838,ONLINE,Unspecified,STATEN ISLAND,40.608024952044524,-74.16227933414987,"{'latitude': '40.608024952044524', 'longitude': '-74.16227933414987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GREENTREE LANE,VICTORY BOULEVARD,GREENTREE LANE,VICTORY BOULEVARD,RICHMOND AVENUE,,,,,,,
58867941,2023-09-19T06:48:00.000,2023-09-22T17:42:51.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58860039,2023-09-19T06:48:00.000,2023-09-22T17:42:52.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58860047,2023-09-19T06:48:00.000,2023-09-22T17:42:52.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58869768,2023-09-19T06:48:00.000,2023-09-22T17:42:51.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58861599,2023-09-19T06:48:00.000,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10000,CENTRAL PARK,CENTRAL PARK,PLACENAME,NEW YORK,Open,,,64 MANHATTAN,1011110001,MANHATTAN,993877,224317,UNKNOWN,Unspecified,MANHATTAN,40.7823693296991,-73.96523773584458,"{'latitude': '40.7823693296991', 'longitude': '-73.96523773584458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVE,110 ST W,,,,,,,,,,
58858160,2023-09-19T06:48:00.000,2023-09-22T17:42:51.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58856202,2023-09-19T06:48:00.000,2023-09-22T17:42:52.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58867752,2023-09-19T06:48:00.000,2023-09-22T17:42:52.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58865913,2023-09-19T06:48:00.000,2023-09-22T17:42:52.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58856216,2023-09-19T06:48:00.000,2023-09-22T17:42:51.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58864063,2023-09-19T06:48:00.000,2023-09-22T17:42:52.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58863928,2023-09-19T06:47:58.000,2023-09-21T10:55:08.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10019,404 WEST   51 STREET,WEST   51 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd.",2023-09-21T00:00:00.000,04 MANHATTAN,1010600037,MANHATTAN,987295,217739,ONLINE,Unspecified,MANHATTAN,40.764319160112336,-73.98900774853196,"{'latitude': '40.764319160112336', 'longitude': '-73.98900774853196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58869607,2023-09-19T06:47:57.000,2023-09-19T07:15:51.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11229,2155 EAST   22 STREET,EAST   22 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T07:15:56.000,15 BROOKLYN,,BROOKLYN,998344,157364,ONLINE,Unspecified,BROOKLYN,40.59859288279897,-73.94924786024956,"{'latitude': '40.59859288279897', 'longitude': '-73.94924786024956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE U,AVENUE V,AVENUE U,AVENUE V,EAST   22 STREET,,,,,,,
58873638,2023-09-19T06:47:47.000,2023-09-19T10:40:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10451,,,INTERSECTION,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-19T10:40:00.000,01 BRONX,,BRONX,1003918,235242,UNKNOWN,Unspecified,BRONX,40.8123388334372,-73.92894856748539,"{'latitude': '40.8123388334372', 'longitude': '-73.92894856748539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,CANAL STREET WEST,EAST 138 STREET,,N/A,,,,,,
58864783,2023-09-19T06:47:29.000,2023-09-19T10:21:50.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11225,683 FLATBUSH AVENUE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-19T10:21:50.000,09 BROOKLYN,3050450001,BROOKLYN,995328,178470,ONLINE,Unspecified,BROOKLYN,40.65652868778601,-73.9600737574453,"{'latitude': '40.65652868778601', 'longitude': '-73.9600737574453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WESTBURY COURT,WINTHROP STREET,WESTBURY COURT,WINTHROP STREET,FLATBUSH AVENUE,,,,,,,
58861189,2023-09-19T06:47:10.000,2023-09-19T08:04:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11230,1056 EAST   18 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T08:05:37.000,14 BROOKLYN,3067190030,BROOKLYN,995796,166890,MOBILE,Unspecified,BROOKLYN,40.62474347476751,-73.95840685489071,"{'latitude': '40.62474347476751', 'longitude': '-73.95840685489071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE J,AVENUE K,AVENUE J,AVENUE K,EAST   18 STREET,,,,,,,
58858905,2023-09-19T06:47:00.000,2023-09-19T08:56:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10452,950 SUMMIT AVENUE,SUMMIT AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T08:56:50.000,04 BRONX,2025240033,BRONX,1003411,242478,ONLINE,Unspecified,BRONX,40.83220071380918,-73.93075946196511,"{'latitude': '40.83220071380918', 'longitude': '-73.93075946196511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  162 STREET,WEST  164 STREET,WEST  162 STREET,WEST  164 STREET,SUMMIT AVENUE,,,,,,,
58867288,2023-09-19T06:46:59.000,2023-09-19T07:21:56.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11416,95-26 90 STREET,90 STREET,ADDRESS,OZONE PARK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T07:22:01.000,09 QUEENS,4090290019,QUEENS,1025406,189132,PHONE,Unspecified,QUEENS,40.685704736170145,-73.85160460976067,"{'latitude': '40.685704736170145', 'longitude': '-73.85160460976067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",95 AVENUE,97 AVENUE,95 AVENUE,97 AVENUE,90 STREET,,,,,,,
58874981,2023-09-19T06:46:51.000,2023-09-19T10:17:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10451,,,INTERSECTION,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-19T10:17:00.000,01 BRONX,,BRONX,1004539,235016,UNKNOWN,Unspecified,BRONX,40.81171712221333,-73.92670586443367,"{'latitude': '40.81171712221333', 'longitude': '-73.92670586443367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,EAST 139 STREET,MORRIS AVENUE,,N/A,,,,,,
58863082,2023-09-19T06:46:05.000,2023-09-19T18:44:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,61-43 PALMETTO STREET,PALMETTO STREET,ADDRESS,RIDGEWOOD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T18:44:50.000,05 QUEENS,4036120045,QUEENS,1012624,197418,ONLINE,Unspecified,QUEENS,40.70849806731896,-73.89765746183932,"{'latitude': '40.70849806731896', 'longitude': '-73.89765746183932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FRESH POND ROAD,64 STREET,FRESH POND ROAD,64 STREET,PALMETTO STREET,,,,,,,
58865732,2023-09-19T06:46:05.000,2023-09-19T07:03:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11229,GRAVESEND NECK ROAD,GRAVESEND NECK ROAD,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T07:03:47.000,15 BROOKLYN,,BROOKLYN,997891,156641,ONLINE,Unspecified,BROOKLYN,40.5966091029645,-73.95088056140999,"{'latitude': '40.5966091029645', 'longitude': '-73.95088056140999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAVESEND NECK ROAD,OCEAN AVENUE,GRAVESEND NECK ROAD,OCEAN AVENUE,,,,,,,,
58862803,2023-09-19T06:46:05.000,2023-09-22T06:46:22.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10012,78 WEST    3 STREET,WEST    3 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-22T06:46:22.000,02 MANHATTAN,1005390021,MANHATTAN,984604,205139,ONLINE,Unspecified,MANHATTAN,40.72973584247547,-73.99872274629256,"{'latitude': '40.72973584247547', 'longitude': '-73.99872274629256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",THOMPSON STREET,SULLIVAN STREET,THOMPSON STREET,SULLIVAN STREET,WEST    3 STREET,,,,,,,
58866466,2023-09-19T06:45:50.000,,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10455,676 UNION AVENUE,UNION AVENUE,ADDRESS,BRONX,In Progress,,,01 BRONX,2026750009,BRONX,1010764,236534,ONLINE,Unspecified,BRONX,40.81586711679546,-73.90421203345569,"{'latitude': '40.81586711679546', 'longitude': '-73.90421203345569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  152 STREET,EAST  155 STREET,EAST  152 STREET,EAST  155 STREET,UNION AVENUE,,,,,,,
