unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,road_ramp,taxi_pick_up_location,bridge_highway_direction,taxi_company_borough,due_date
58905816,2023-09-23T21:08:46.000,2023-09-23T21:28:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014,25 GROVE STREET,GROVE STREET,BEDFORD STREET,BLEECKER STREET,BEDFORD STREET,BLEECKER STREET,ADDRESS,NEW YORK,GROVE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:28:45.000,02 MANHATTAN,1005880077,MANHATTAN,982874,206187,ONLINE,Unspecified,MANHATTAN,40.732612245710634,-74.00496490668864,"{'latitude': '40.732612245710634', 'longitude': '-74.00496490668864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906984,2023-09-23T21:08:31.000,2023-09-23T21:11:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,375 EAST   51 STREET,EAST   51 STREET,LINDEN BOULEVARD,CHURCH AVENUE,LINDEN BOULEVARD,CHURCH AVENUE,ADDRESS,BROOKLYN,EAST   51 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:11:50.000,17 BROOKLYN,3046770049,BROOKLYN,1003824,177072,ONLINE,Unspecified,BROOKLYN,40.65267677980304,-73.9294573743245,"{'latitude': '40.65267677980304', 'longitude': '-73.9294573743245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908778,2023-09-23T21:08:19.000,2023-09-24T11:01:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,64-18 65 PLACE,65 PLACE,METROPOLITAN AVENUE,ADMIRAL AVENUE,METROPOLITAN AVENUE,ADMIRAL AVENUE,ADDRESS,MIDDLE VILLAGE,65 PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T11:01:59.000,05 QUEENS,4036020021,QUEENS,1013349,198733,MOBILE,Unspecified,QUEENS,40.71210507299565,-73.89503676927804,"{'latitude': '40.71210507299565', 'longitude': '-73.89503676927804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909849,2023-09-23T21:08:09.000,2023-09-23T21:11:05.000,NYPD,New York City Police Department,Animal-Abuse,No Shelter,House and Store,11436,114-49 148 STREET,148 STREET,LINDEN BOULEVARD,115 AVENUE,LINDEN BOULEVARD,115 AVENUE,ADDRESS,JAMAICA,148 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T21:10:51.000,12 QUEENS,4119790041,QUEENS,1041095,188906,ONLINE,Unspecified,QUEENS,40.68499756382918,-73.79503717169959,"{'latitude': '40.68499756382918', 'longitude': '-73.79503717169959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907270,2023-09-23T21:08:00.000,2023-09-25T17:27:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10075,,,,,MADISON AVENUE,EAST 77 STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T17:27:00.000,08 MANHATTAN,,MANHATTAN,994474,221633,ONLINE,Unspecified,MANHATTAN,40.77500178839719,-73.96308610486504,"{'latitude': '40.77500178839719', 'longitude': '-73.96308610486504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58907348,2023-09-23T21:07:52.000,2023-09-23T22:29:45.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11369,90-04 24 ROAD,24 ROAD,90 PLACE,DEAD END,90 PLACE,DEAD END,ADDRESS,EAST ELMHURST,24 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T22:29:51.000,03 QUEENS,4011020060,QUEENS,1017817,217938,PHONE,Unspecified,QUEENS,40.76480216327023,-73.87882440145266,"{'latitude': '40.76480216327023', 'longitude': '-73.87882440145266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907378,2023-09-23T21:07:51.000,2023-09-23T21:32:03.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10019,226 WEST   52 STREET,WEST   52 STREET,BROADWAY,8 AVENUE,BROADWAY,8 AVENUE,ADDRESS,NEW YORK,WEST   52 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:32:07.000,05 MANHATTAN,1010230018,MANHATTAN,988770,217221,MOBILE,Unspecified,MANHATTAN,40.76289675257915,-73.98368344311508,"{'latitude': '40.76289675257915', 'longitude': '-73.98368344311508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909617,2023-09-23T21:07:43.000,2023-09-23T22:42:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2352 WALTON AVENUE,WALTON AVENUE,EAST  183 STREET,EAST  184 STREET,EAST  183 STREET,EAST  184 STREET,ADDRESS,BRONX,WALTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T22:42:08.000,05 BRONX,2031830033,BRONX,1011358,252484,MOBILE,Unspecified,BRONX,40.85964340859522,-73.90200160751628,"{'latitude': '40.85964340859522', 'longitude': '-73.90200160751628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58905873,2023-09-23T21:07:19.000,2023-09-23T21:34:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10128,169 EAST   91 STREET,EAST   91 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   91 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:34:25.000,08 MANHATTAN,1015200033,MANHATTAN,997509,224262,ONLINE,Unspecified,MANHATTAN,40.78221366699628,-73.95212300885446,"{'latitude': '40.78221366699628', 'longitude': '-73.95212300885446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906629,2023-09-23T21:07:13.000,2023-10-05T15:35:59.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11209,401 95 STREET,95 STREET,4 AVENUE,FORT HAMILTON PARKWAY,4 AVENUE,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,95 STREET,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-05T15:36:02.000,10 BROOKLYN,3061187503,BROOKLYN,975668,163549,ONLINE,Unspecified,BROOKLYN,40.61557649310371,-74.03091142785298,"{'latitude': '40.61557649310371', 'longitude': '-74.03091142785298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909117,2023-09-23T21:07:10.000,2023-09-23T21:51:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1455 TOWNSEND AVENUE,TOWNSEND AVENUE,EAST  171 STREET,EAST  172 STREET,EAST  171 STREET,EAST  172 STREET,ADDRESS,BRONX,TOWNSEND AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:51:22.000,04 BRONX,2028440033,BRONX,1007528,245755,ONLINE,Unspecified,BRONX,40.84118523409156,-73.91587083124382,"{'latitude': '40.84118523409156', 'longitude': '-73.91587083124382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908437,2023-09-23T21:06:59.000,2023-09-23T21:30:46.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11218,707 EAST    2 STREET,EAST    2 STREET,DITMAS AVENUE,AVENUE F,DITMAS AVENUE,AVENUE F,ADDRESS,BROOKLYN,EAST    2 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T21:30:50.000,12 BROOKLYN,3053960056,BROOKLYN,990767,170192,MOBILE,Unspecified,BROOKLYN,40.63381189504676,-73.97652006288646,"{'latitude': '40.63381189504676', 'longitude': '-73.97652006288646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908563,2023-09-23T21:06:51.000,2023-09-23T21:15:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,706 WEST  180 STREET,WEST  180 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:15:21.000,12 MANHATTAN,1021760044,MANHATTAN,1001722,248825,MOBILE,Unspecified,MANHATTAN,40.84962487644735,-73.93684632530116,"{'latitude': '40.84962487644735', 'longitude': '-73.93684632530116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909357,2023-09-23T21:06:03.000,2023-09-23T21:47:47.000,NYPD,New York City Police Department,Panhandling,N/A,Subway,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:47:50.000,Unspecified QUEENS,,QUEENS,1031860,194531,MOBILE,Unspecified,QUEENS,40.70049135115079,-73.8282954442927,"{'latitude': '40.70049135115079', 'longitude': '-73.8282954442927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,J,Mezzanine,,,,,
58908302,2023-09-23T21:06:00.000,2023-09-23T22:15:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10462,1901 MATTHEWS AVENUE,MATTHEWS AVENUE,RHINELANDER AVENUE,BRONXDALE AVENUE,RHINELANDER AVENUE,BRONXDALE AVENUE,ADDRESS,BRONX,MATTHEWS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T22:15:58.000,11 BRONX,2042620032,BRONX,1022274,248436,ONLINE,Unspecified,BRONX,40.84849260043643,-73.86256208632892,"{'latitude': '40.84849260043643', 'longitude': '-73.86256208632892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908595,2023-09-23T21:05:54.000,2023-09-23T21:16:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,155 WEST   58 STREET,WEST   58 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   58 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T21:16:50.000,05 MANHATTAN,1010117501,MANHATTAN,990283,218223,ONLINE,Unspecified,MANHATTAN,40.76564608095574,-73.97822082927613,"{'latitude': '40.76564608095574', 'longitude': '-73.97822082927613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906699,2023-09-23T21:05:53.000,2023-09-28T13:39:19.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11211,381 HOOPER STREET,HOOPER STREET,SOUTH    2 STREET,SOUTH    1 STREET,SOUTH    2 STREET,SOUTH    1 STREET,ADDRESS,BROOKLYN,HOOPER STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T13:39:27.000,01 BROOKLYN,3024120019,BROOKLYN,997514,197972,ONLINE,Unspecified,BROOKLYN,40.710054218660744,-73.95215680286158,"{'latitude': '40.710054218660744', 'longitude': '-73.95215680286158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906424,2023-09-23T21:05:39.000,2023-09-23T21:17:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,1477 LINCOLN PLACE,LINCOLN PLACE,ROCHESTER AVENUE,BUFFALO AVENUE,ROCHESTER AVENUE,BUFFALO AVENUE,ADDRESS,BROOKLYN,LINCOLN PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:17:15.000,08 BROOKLYN,3013860074,BROOKLYN,1004384,183219,ONLINE,Unspecified,BROOKLYN,40.669547677350394,-73.92742083936736,"{'latitude': '40.669547677350394', 'longitude': '-73.92742083936736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907941,2023-09-23T21:05:24.000,2023-09-23T21:13:38.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10467,3260 PERRY AVENUE,PERRY AVENUE,EAST  207 STREET,HOLT PLACE,EAST  207 STREET,HOLT PLACE,ADDRESS,BRONX,PERRY AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-23T21:13:41.000,07 BRONX,2033470010,BRONX,1018517,258459,ONLINE,Unspecified,BRONX,40.87601806256551,-73.8760905140511,"{'latitude': '40.87601806256551', 'longitude': '-73.8760905140511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909472,2023-09-23T21:05:14.000,2023-09-23T23:16:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,1591 WEST    9 STREET,WEST    9 STREET,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,WEST    9 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T23:16:26.000,11 BROOKLYN,3065980056,BROOKLYN,989071,160895,ONLINE,Unspecified,BROOKLYN,40.608294654316175,-73.98263717818543,"{'latitude': '40.608294654316175', 'longitude': '-73.98263717818543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58905868,2023-09-23T21:05:14.000,2023-09-23T21:28:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11429,218-15 101 AVENUE,101 AVENUE,218 STREET,SPRINGFIELD BOULEVARD,218 STREET,SPRINGFIELD BOULEVARD,ADDRESS,QUEENS VILLAGE,101 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:28:50.000,13 QUEENS,4107670056,QUEENS,1057038,199653,ONLINE,Unspecified,QUEENS,40.71437868709444,-73.73743654898962,"{'latitude': '40.71437868709444', 'longitude': '-73.73743654898962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909786,2023-09-23T21:05:00.000,2023-09-23T21:06:00.000,DEP,Department of Environmental Protection,Water System,LOW WATER PRESSURE - WLWP,,10012,170 BLEECKER STREET,BLEECKER STREET,SULLIVAN ST,MAC DOUGAL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-23T21:06:00.000,02 MANHATTAN,1005260064,MANHATTAN,984096,204814,ONLINE,Unspecified,MANHATTAN,40.72884380263013,-74.0005556340054,"{'latitude': '40.72884380263013', 'longitude': '-74.0005556340054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907928,2023-09-23T21:05:00.000,2023-09-23T22:02:47.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,195 ADAMS STREET,ADAMS STREET,RED CROSS PLACE,TILLARY STREET BIKE PATH,RED CROSS PLACE,TILLARY STREET BIKE PATH,ADDRESS,BROOKLYN,ADAMS STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T22:02:51.000,02 BROOKLYN,3000860011,BROOKLYN,987401,193648,MOBILE,Unspecified,BROOKLYN,40.698195236536435,-73.98863637730494,"{'latitude': '40.698195236536435', 'longitude': '-73.98863637730494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908453,2023-09-23T21:05:00.000,2023-09-23T21:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11432,,,,,GRAND CENTRAL PARKWAY,UTOPIA PARKWAY,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-23T21:50:00.000,08 QUEENS,,QUEENS,1042358,201710,UNKNOWN,Unspecified,QUEENS,40.72013323771417,-73.79037278029215,"{'latitude': '40.72013323771417', 'longitude': '-73.79037278029215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58908785,2023-09-23T21:04:55.000,2023-09-24T05:15:02.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,69-44 ELIOT AVENUE,ELIOT AVENUE,69 STREET,69 PLACE,69 STREET,69 PLACE,ADDRESS,MIDDLE VILLAGE,ELIOT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T05:15:09.000,05 QUEENS,4029220031,QUEENS,1014818,201654,ONLINE,Unspecified,QUEENS,40.72011755884374,-73.88972466922002,"{'latitude': '40.72011755884374', 'longitude': '-73.88972466922002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58905851,2023-09-23T21:04:28.000,2023-09-23T21:27:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10310,121 LLEWELLYN PLACE,LLEWELLYN PLACE,DEAD END,FOREST AVENUE,DEAD END,FOREST AVENUE,ADDRESS,STATEN ISLAND,LLEWELLYN PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T21:27:45.000,01 STATEN ISLAND,5002380157,STATEN ISLAND,948183,167745,MOBILE,Unspecified,STATEN ISLAND,40.62702437426943,-74.12993172752847,"{'latitude': '40.62702437426943', 'longitude': '-74.12993172752847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907016,2023-09-23T21:03:58.000,2023-09-23T21:51:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,590 WEST  172 STREET,WEST  172 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  172 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:51:22.000,12 MANHATTAN,1021280008,MANHATTAN,1001506,246537,MOBILE,Unspecified,MANHATTAN,40.84334541595811,-73.93763295913492,"{'latitude': '40.84334541595811', 'longitude': '-73.93763295913492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909902,2023-09-23T21:03:49.000,2023-09-25T08:00:40.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,11230,928 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,18 AVENUE,WEBSTER AVENUE,18 AVENUE,WEBSTER AVENUE,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-24T04:51:26.000,14 BROOKLYN,3054180038,BROOKLYN,993275,170518,PHONE,Unspecified,BROOKLYN,40.63470449551805,-73.96748361682481,"{'latitude': '40.63470449551805', 'longitude': '-73.96748361682481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909842,2023-09-23T21:03:43.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,11211,575 GRAND STREET,GRAND STREET,LORIMER STREET,LEONARD STREET,LORIMER STREET,LEONARD STREET,ADDRESS,BROOKLYN,GRAND STREET,In Progress,,,01 BROOKLYN,3027800001,BROOKLYN,998500,198391,MOBILE,Unspecified,BROOKLYN,40.71120274090099,-73.94859941860682,"{'latitude': '40.71120274090099', 'longitude': '-73.94859941860682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
