unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location
58935753,2023-09-27T10:41:00.000,2023-09-27T12:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11229,2525 KINGS HIGHWAY,KINGS HIGHWAY,BEDFORD AVE,E 26 ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-27T12:00:00.000,14 BROOKLYN,3067720004,BROOKLYN,998453,162703,PHONE,Unspecified,BROOKLYN,40.61324717086501,-73.94884412652569,"{'latitude': '40.61324717086501', 'longitude': '-73.94884412652569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58936330,2023-09-27T10:41:00.000,2023-10-10T02:03:25.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10470,740 CRANFORD AVENUE,CRANFORD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,12 BRONX,2051110001,BRONX,1025968,268419,PHONE,Unspecified,BRONX,40.90332300647608,-73.84908569560362,"{'latitude': '40.90332300647608', 'longitude': '-73.84908569560362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58941688,2023-09-27T10:40:56.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10023,111 WEST   70 STREET,WEST   70 STREET,COLUMBUS AVENUE,BROADWAY,COLUMBUS AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST   70 STREET,In Progress,,,07 MANHATTAN,1011420028,MANHATTAN,989737,222107,ONLINE,Unspecified,MANHATTAN,40.77630700359852,-73.98018872179547,"{'latitude': '40.77630700359852', 'longitude': '-73.98018872179547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58941073,2023-09-27T10:40:55.000,2023-09-27T12:12:19.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11357,149-35 16 ROAD,16 ROAD,149 STREET,150 STREET,149 STREET,150 STREET,ADDRESS,WHITESTONE,16 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T12:12:22.000,07 QUEENS,4046640019,QUEENS,1035393,225318,ONLINE,Unspecified,QUEENS,40.78497407688589,-73.81531969490779,"{'latitude': '40.78497407688589', 'longitude': '-73.81531969490779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58942601,2023-09-27T10:40:55.000,2023-10-02T11:41:45.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,10019,120 WEST   58 STREET,WEST   58 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,05 MANHATTAN,1010107502,MANHATTAN,990471,218112,PHONE,Unspecified,MANHATTAN,40.76534128436759,-73.97754225076864,"{'latitude': '40.76534128436759', 'longitude': '-73.97754225076864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58941426,2023-09-27T10:40:55.000,2023-10-02T11:41:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10019,120 WEST   58 STREET,WEST   58 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,05 MANHATTAN,1010107502,MANHATTAN,990471,218112,PHONE,Unspecified,MANHATTAN,40.76534128436759,-73.97754225076864,"{'latitude': '40.76534128436759', 'longitude': '-73.97754225076864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58945088,2023-09-27T10:40:54.000,2023-10-04T20:41:48.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11105,22-75 35 STREET,35 STREET,,,,,ADDRESS,ASTORIA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,01 QUEENS,4008220001,QUEENS,1009069,221145,PHONE,Unspecified,QUEENS,40.773633426599616,-73.91039248135459,"{'latitude': '40.773633426599616', 'longitude': '-73.91039248135459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58941421,2023-09-27T10:40:54.000,2023-10-05T09:02:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11105,22-75 35 STREET,35 STREET,,,,,ADDRESS,ASTORIA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,01 QUEENS,4008220001,QUEENS,1009069,221145,PHONE,Unspecified,QUEENS,40.773633426599616,-73.91039248135459,"{'latitude': '40.773633426599616', 'longitude': '-73.91039248135459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58937522,2023-09-27T10:40:54.000,2023-10-05T09:02:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11105,22-75 35 STREET,35 STREET,,,,,ADDRESS,ASTORIA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,01 QUEENS,4008220001,QUEENS,1009069,221145,PHONE,Unspecified,QUEENS,40.773633426599616,-73.91039248135459,"{'latitude': '40.773633426599616', 'longitude': '-73.91039248135459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58940111,2023-09-27T10:40:54.000,2023-10-05T09:02:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11105,22-75 35 STREET,35 STREET,,,,,ADDRESS,ASTORIA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,01 QUEENS,4008220001,QUEENS,1009069,221145,PHONE,Unspecified,QUEENS,40.773633426599616,-73.91039248135459,"{'latitude': '40.773633426599616', 'longitude': '-73.91039248135459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58939786,2023-09-27T10:40:43.000,2023-09-27T12:52:34.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11355,46-40 UNION STREET,UNION STREET,HOLLY AVENUE,LABURNUM AVENUE,HOLLY AVENUE,LABURNUM AVENUE,ADDRESS,FLUSHING,UNION STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T12:52:38.000,07 QUEENS,4052080026,QUEENS,1034848,212863,MOBILE,Unspecified,QUEENS,40.75079154569344,-73.81738147851235,"{'latitude': '40.75079154569344', 'longitude': '-73.81738147851235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58940943,2023-09-27T10:40:36.000,2023-09-27T14:35:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,CALHOUN AVENUE,CALHOUN AVENUE,CALHOUN AVENUE,SAMPSON AVENUE,CALHOUN AVENUE,SAMPSON AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T14:35:56.000,10 BRONX,,BRONX,1034109,238029,PHONE,Unspecified,BRONX,40.819869550203435,-73.81986188869338,"{'latitude': '40.819869550203435', 'longitude': '-73.81986188869338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58939586,2023-09-27T10:40:28.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11226,1259 FLATBUSH AVENUE,FLATBUSH AVENUE,,,,,ADDRESS,BROOKLYN,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:49:19.000,14 BROOKLYN,3052100013,BROOKLYN,996882,172348,UNKNOWN,Unspecified,BROOKLYN,40.63972304519026,-73.95448444842324,"{'latitude': '40.63972304519026', 'longitude': '-73.95448444842324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-11-14T07:49:19.000,,,,,
58942292,2023-09-27T10:40:25.000,2023-09-27T10:57:22.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10002,265 CHERRY STREET,CHERRY STREET,RUTGERS STREET,PEDESTRIAN PATH,RUTGERS STREET,PEDESTRIAN PATH,ADDRESS,NEW YORK,CHERRY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T10:57:27.000,03 MANHATTAN,1002470001,MANHATTAN,987286,198423,PHONE,Unspecified,MANHATTAN,40.711301527795634,-73.98904895523961,"{'latitude': '40.711301527795634', 'longitude': '-73.98904895523961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58936844,2023-09-27T10:40:24.000,2023-09-30T11:49:25.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Street Not Swept,Street,11230,1140 EAST    4 STREET,EAST    4 STREET,BAY PARKWAY,DEAD END,BAY PARKWAY,DEAD END,ADDRESS,BROOKLYN,EAST    4 STREET,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-30T11:49:25.000,12 BROOKLYN,,BROOKLYN,991848,166284,ONLINE,Unspecified,BROOKLYN,40.623084397365304,-73.97262975451044,"{'latitude': '40.623084397365304', 'longitude': '-73.97262975451044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58939169,2023-09-27T10:40:14.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10036,445 WEST   46 STREET,WEST   46 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   46 STREET,In Progress,,,04 MANHATTAN,1010560013,MANHATTAN,986411,216749,PHONE,Unspecified,MANHATTAN,40.7616021253206,-73.99219924913434,"{'latitude': '40.7616021253206', 'longitude': '-73.99219924913434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58939629,2023-09-27T10:40:07.000,2023-09-27T12:00:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,2-26 50 AVENUE,50 AVENUE,2 STREET,5 STREET,2 STREET,5 STREET,ADDRESS,LONG ISLAND CITY,50 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T12:00:09.000,02 QUEENS,4000167502,QUEENS,995864,210151,MOBILE,Unspecified,QUEENS,40.74348492471856,-73.95808732655165,"{'latitude': '40.74348492471856', 'longitude': '-73.95808732655165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58937782,2023-09-27T10:39:57.000,2023-10-13T12:05:10.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10030,2655 FREDERICK DOUGLAS BOULEVARD,FREDERICK DOUGLAS BOULEVARD,WEST 141 STREET,WEST 142 STREET,WEST  141 STREET,WEST  142 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-27T10:39:57.000,10 MANHATTAN,1020430017,MANHATTAN,999886,238279,PHONE,Unspecified,MANHATTAN,40.820682601528524,-73.94350724780212,"{'latitude': '40.820682601528524', 'longitude': '-73.94350724780212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58944137,2023-09-27T10:39:48.000,2023-09-28T12:42:06.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10304,140 PALMA DRIVE,PALMA DRIVE,HANOVER AVENUE,PARK HILL AVENUE,HANOVER AVENUE,PARK HILL AVENUE,ADDRESS,STATEN ISLAND,PALMA DRIVE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-28T12:42:11.000,01 STATEN ISLAND,5028880040,STATEN ISLAND,961156,162076,MOBILE,Unspecified,STATEN ISLAND,40.611507473424,-74.08317700943735,"{'latitude': '40.611507473424', 'longitude': '-74.08317700943735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58944126,2023-09-27T10:39:35.000,2023-10-06T12:09:08.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,10314,90 MARTIN AVENUE,MARTIN AVENUE,PURDY AVENUE,NORTH GANNON AVENUE,PURDY AVENUE,NORTH GANNON AVENUE,ADDRESS,STATEN ISLAND,MARTIN AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-06T12:09:13.000,01 STATEN ISLAND,5007450018,STATEN ISLAND,945360,161195,MOBILE,Unspecified,STATEN ISLAND,40.609034064048934,-74.14006386692856,"{'latitude': '40.609034064048934', 'longitude': '-74.14006386692856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935881,2023-09-27T10:39:26.000,2023-09-27T11:42:37.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11220,453 63 STREET,63 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,63 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T11:42:44.000,07 BROOKLYN,3058000052,BROOKLYN,978985,171868,PHONE,Unspecified,BROOKLYN,40.638412990805584,-74.01897044533622,"{'latitude': '40.638412990805584', 'longitude': '-74.01897044533622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58936725,2023-09-27T10:39:10.000,2023-09-27T11:11:30.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11435,94 AVENUE,94 AVENUE,94 AVENUE,150 STREET,94 AVENUE,150 STREET,INTERSECTION,,,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-27T11:11:35.000,12 QUEENS,,QUEENS,1038726,194468,PHONE,Unspecified,QUEENS,40.70027882739304,-73.80353393382225,"{'latitude': '40.70027882739304', 'longitude': '-73.80353393382225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58940557,2023-09-27T10:39:10.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11435,94 AVENUE,94 AVENUE,94 AVENUE,150 STREET,94 AVENUE,150 STREET,INTERSECTION,QUEENS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T15:07:17.000,12 QUEENS,,QUEENS,1038726,194468,PHONE,Unspecified,QUEENS,40.70027882739304,-73.80353393382225,"{'latitude': '40.70027882739304', 'longitude': '-73.80353393382225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58943201,2023-09-27T10:39:09.000,2023-09-27T12:48:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10462,MATTHEWS AVENUE,MATTHEWS AVENUE,MATTHEWS AVENUE,VAN NEST AVENUE,MATTHEWS AVENUE,VAN NEST AVENUE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T12:48:01.000,11 BRONX,,BRONX,1022657,247048,ONLINE,Unspecified,BRONX,40.8446812959928,-73.86118568373384,"{'latitude': '40.8446812959928', 'longitude': '-73.86118568373384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58944417,2023-09-27T10:39:07.000,2023-09-28T14:52:42.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11219,4901 11 AVENUE,11 AVENUE,49 STREET,50 STREET,49 STREET,50 STREET,ADDRESS,BROOKLYN,11 AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-28T12:35:05.000,12 BROOKLYN,3056400010,BROOKLYN,985194,171571,ONLINE,Unspecified,BROOKLYN,40.63759930371271,-73.99659869289697,"{'latitude': '40.63759930371271', 'longitude': '-73.99659869289697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58941577,2023-09-27T10:39:04.000,2023-09-27T12:34:37.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11358,47-60 195 STREET,195 STREET,47 AVENUE,48 AVENUE,47 AVENUE,48 AVENUE,ADDRESS,FLUSHING,195 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T12:34:40.000,11 QUEENS,4056130067,QUEENS,1043658,213059,PHONE,Unspecified,QUEENS,40.75127471395494,-73.78558277426283,"{'latitude': '40.75127471395494', 'longitude': '-73.78558277426283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58938072,2023-09-27T10:39:00.000,2023-09-28T07:00:12.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,11208,294 CRESCENT STREET,CRESCENT STREET,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,CRESCENT STREET,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T07:00:11.000,05 BROOKLYN,3041460061,BROOKLYN,1019817,187879,PHONE,Unspecified,BROOKLYN,40.682289763985096,-73.87176334143923,"{'latitude': '40.682289763985096', 'longitude': '-73.87176334143923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
