unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58806744,2023-09-13T09:08:50.000,2023-09-13T09:18:59.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10305,25 LANDIS AVENUE,LANDIS AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T09:19:03.000,02 STATEN ISLAND,5030870001,STATEN ISLAND,965112,158255,MOBILE,Unspecified,STATEN ISLAND,40.6010290398076,-74.06891797475676,"{'latitude': '40.6010290398076', 'longitude': '-74.06891797475676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHICAGO AVENUE,KNAUTH PLACE,CHICAGO AVENUE,KNAUTH PLACE,LANDIS AVENUE,,,,,,,
58806399,2023-09-13T09:08:50.000,2023-09-30T06:55:04.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10472,1770 EAST  172 STREET,EAST  172 STREET,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T04:53:03.000,09 BRONX,2037850025,BRONX,1020812,242703,ONLINE,Unspecified,BRONX,40.8327633790934,-73.8678777382694,"{'latitude': '40.8327633790934', 'longitude': '-73.8678777382694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COMMONWEALTH AVENUE,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,ST LAWRENCE AVENUE,EAST  172 STREET,,,,,,,
58800219,2023-09-13T09:08:46.000,2023-09-13T19:46:25.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11378,47-06 GRAND AVENUE,GRAND AVENUE,ADDRESS,MASPETH,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T19:46:29.000,05 QUEENS,4026110096,QUEENS,1006095,200466,MOBILE,Unspecified,QUEENS,40.716882626129255,-73.92119708947543,"{'latitude': '40.716882626129255', 'longitude': '-73.92119708947543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47 STREET,49 PLACE,47 STREET,49 PLACE,GRAND AVENUE,,,,,,,
58806360,2023-09-13T09:08:45.000,2023-09-14T05:22:02.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11226,1526 CORTELYOU ROAD,CORTELYOU ROAD,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T05:22:06.000,14 BROOKLYN,3051580010,BROOKLYN,994301,172992,ONLINE,Unspecified,BROOKLYN,40.641493992021765,-73.9637833325745,"{'latitude': '40.641493992021765', 'longitude': '-73.9637833325745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRIGHTON LINE,EAST   16 STREET,BRIGHTON LINE,EAST   16 STREET,CORTELYOU ROAD,,,,,,,
58806386,2023-09-13T09:08:44.000,2023-09-15T10:24:50.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11432,84-54 HOMELAWN STREET,HOMELAWN STREET,ADDRESS,JAMAICA,Closed,The Department of Sanitation collected the requested items.,2023-09-14T12:40:05.000,08 QUEENS,4098640094,QUEENS,1041742,200148,ONLINE,Unspecified,QUEENS,40.715849959536754,-73.79260836074492,"{'latitude': '40.715849959536754', 'longitude': '-73.79260836074492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",84 ROAD,ASPEN PLACE,84 ROAD,ASPEN PLACE,HOMELAWN STREET,,,,,,,
58804733,2023-09-13T09:08:44.000,2023-09-13T09:54:29.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10470,4367 WEBSTER AVENUE,WEBSTER AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T09:54:33.000,12 BRONX,2033980064,BRONX,1022481,267425,ONLINE,Unspecified,BRONX,40.900610599232316,-73.86170552617834,"{'latitude': '40.900610599232316', 'longitude': '-73.86170552617834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  236 STREET,EAST  240 STREET,EAST  236 STREET,EAST  240 STREET,WEBSTER AVENUE,,,,,,,
58807973,2023-09-13T09:08:37.000,2023-09-13T09:31:33.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11238,1042 ATLANTIC AVENUE,ATLANTIC AVENUE,ADDRESS,BROOKLYN,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-13T09:31:38.000,08 BROOKLYN,3011250033,BROOKLYN,995546,187031,MOBILE,Unspecified,BROOKLYN,40.68002644624905,-73.95927371813184,"{'latitude': '40.68002644624905', 'longitude': '-73.95927371813184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ATLANTIC AVENUE,,,,,,,
58803519,2023-09-13T09:08:26.000,2023-09-13T09:08:26.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10466,4000 SETON AVENUE,SETON AVENUE,ADDRESS,BRONX,Closed,An inspection of the property was conducted and it passed with minor violations found.,2023-09-13T09:08:26.000,12 BRONX,2049880082,BRONX,1029180,264203,PHONE,Unspecified,BRONX,40.89173568051684,-73.83749464782392,"{'latitude': '40.89173568051684', 'longitude': '-73.83749464782392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STRANG AVENUE,EDENWALD AVENUE,STRANG AVENUE,EDENWALD AVENUE,SETON AVENUE,,,,,,,
58800410,2023-09-13T09:08:25.000,2023-09-13T09:47:34.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10032,1948 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T09:47:38.000,12 MANHATTAN,1021150037,MANHATTAN,1000229,242614,ONLINE,Unspecified,MANHATTAN,40.832580324861404,-73.9422576674107,"{'latitude': '40.832580324861404', 'longitude': '-73.9422576674107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  156 STREET,WEST  157 STREET,WEST  156 STREET,WEST  157 STREET,AMSTERDAM AVENUE,,,,,,,
58806798,2023-09-13T09:08:18.000,2023-09-13T09:29:35.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11229,1318 AVENUE P,AVENUE P,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T09:29:40.000,15 BROOKLYN,3067760007,BROOKLYN,995305,161599,ONLINE,Unspecified,BROOKLYN,40.61022140523982,-73.96018428948577,"{'latitude': '40.61022140523982', 'longitude': '-73.96018428948577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   13 STREET,EAST   14 STREET,EAST   13 STREET,EAST   14 STREET,AVENUE P,,,,,,,
58808923,2023-09-13T09:08:14.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-17T10:57:57.000,Unspecified MANHATTAN,,MANHATTAN,998196,231506,MOBILE,Unspecified,MANHATTAN,40.80209543286648,-73.94962727577145,"{'latitude': '40.80209543286648', 'longitude': '-73.94962727577145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,3,2 3 Downtown & Brooklyn,Platform,,,
58805279,2023-09-13T09:08:00.000,2023-09-19T14:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11432,178-02 HILLSIDE AVENUE,HILLSIDE AVENUE,ADDRESS,JAMAICA,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T14:00:00.000,12 QUEENS,4099137501,QUEENS,1043799,198864,ONLINE,Unspecified,QUEENS,40.71231209034479,-73.78519950489277,"{'latitude': '40.71231209034479', 'longitude': '-73.78519950489277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",178 ST,179 ST,,,,N/A,,,,,,
58802682,2023-09-13T09:08:00.000,2023-09-14T09:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11206,,,INTERSECTION,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-14T09:30:00.000,01 BROOKLYN,,BROOKLYN,997232,195262,PHONE,Unspecified,BROOKLYN,40.70261632732567,-73.95317920030872,"{'latitude': '40.70261632732567', 'longitude': '-73.95317920030872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,LYNCH STREET,MARCY AVENUE,,,,,,,,
58802172,2023-09-13T09:07:58.000,2023-09-13T12:20:09.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11379,61-28 62 STREET,62 STREET,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T12:20:14.000,05 QUEENS,4027630035,QUEENS,1012018,199761,PHONE,Unspecified,QUEENS,40.71493096338228,-73.89983358533821,"{'latitude': '40.71493096338228', 'longitude': '-73.89983358533821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELIOT AVENUE,DEAD END,ELIOT AVENUE,DEAD END,62 STREET,,,,,,,
58801628,2023-09-13T09:07:56.000,2023-09-13T10:23:44.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11217,516 BERGEN STREET,BERGEN STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T10:23:49.000,08 BROOKLYN,3011430025,BROOKLYN,991684,187184,PHONE,Unspecified,BROOKLYN,40.680450482403046,-73.97319749483555,"{'latitude': '40.680450482403046', 'longitude': '-73.97319749483555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 AVENUE,CARLTON AVENUE,6 AVENUE,CARLTON AVENUE,BERGEN STREET,,,,,,,
58809895,2023-09-13T09:07:51.000,2023-09-13T09:09:40.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T09:09:45.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,
58807605,2023-09-13T09:07:47.000,2023-09-14T10:28:58.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11208,51 HILL STREET,HILL STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-14T10:29:02.000,05 BROOKLYN,3041650037,BROOKLYN,1019914,186607,PHONE,Unspecified,BROOKLYN,40.67879802616946,-73.87142034071509,"{'latitude': '40.67879802616946', 'longitude': '-73.87142034071509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EUCLID AVENUE,CRESCENT STREET,EUCLID AVENUE,CRESCENT STREET,HILL STREET,,,,,,,
58804701,2023-09-13T09:07:43.000,2023-09-13T09:10:04.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T09:10:07.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,
58809206,2023-09-13T09:07:41.000,2023-09-13T09:13:08.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,11369,LGA,LGA,UNRECOGNIZED,EAST ELMHURST,Closed,See notes for information.,2023-09-13T09:13:10.000,80 QUEENS,4009260001,QUEENS,1018236,221443,UNKNOWN,Unspecified,QUEENS,40.77442086598845,-73.87729410513894,"{'latitude': '40.77442086598845', 'longitude': '-73.87729410513894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,LA GUARDIA AIRPORT,,,,,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369",,
58809906,2023-09-13T09:07:41.000,2023-09-13T09:55:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11205,762 BEDFORD AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T09:55:23.000,03 BROOKLYN,3018860055,BROOKLYN,996215,193604,MOBILE,Unspecified,BROOKLYN,40.698066939084434,-73.95685005109024,"{'latitude': '40.698066939084434', 'longitude': '-73.95685005109024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,BEDFORD AVENUE,,,,,,,
58801694,2023-09-13T09:07:36.000,2023-09-13T09:19:27.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10305,22 COLUMBIA AVENUE,COLUMBIA AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T09:19:31.000,02 STATEN ISLAND,,STATEN ISLAND,964480,158372,MOBILE,Unspecified,STATEN ISLAND,40.60134879362071,-74.07119421546433,"{'latitude': '40.60134879362071', 'longitude': '-74.07119421546433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHICAGO ALLEY,CHICAGO AVENUE,CHICAGO ALLEY,CHICAGO AVENUE,COLUMBIA AVENUE,,,,,,,
58806005,2023-09-13T09:07:29.000,2023-09-13T09:10:24.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T09:10:27.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,
58804778,2023-09-13T09:07:26.000,2023-09-14T14:08:40.000,DOT,Department of Transportation,Street Condition,Crash Cushion Defect,Street,10006,61 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The Department of Transportation inspected the condition you reported and determined that this issue is not within its jurisdiction.,2023-09-14T14:08:44.000,01 MANHATTAN,1000210001,MANHATTAN,980830,196854,ONLINE,Unspecified,MANHATTAN,40.706994854480634,-74.01233536016082,"{'latitude': '40.706994854480634', 'longitude': '-74.01233536016082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EXCHANGE ALLEY,RECTOR STREET,EXCHANGE ALLEY,RECTOR STREET,BROADWAY,,,,,,,
58803374,2023-09-13T09:07:19.000,2023-09-13T09:10:47.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T09:10:50.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,
58801398,2023-09-13T09:07:18.000,2023-09-14T00:00:00.000,DOB,Department of Buildings,Investigations and Discipline (IAD),Investigative Inspection,,11214,1769 77 STREET,77 STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-14T00:00:00.000,11 BROOKLYN,3062370058,BROOKLYN,984794,162518,UNKNOWN,Unspecified,BROOKLYN,40.612750750526175,-73.99804065432339,"{'latitude': '40.612750750526175', 'longitude': '-73.99804065432339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58802640,2023-09-13T09:07:14.000,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tobacco Sales,Business,10031,AMSTERDAM AVENUE,AMSTERDAM AVENUE,INTERSECTION,,In Progress,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division is reviewing your NYC311 Service Request.   If the Enforcement Division needs to conduct an inspection, it may take 35 days to complete.  Please wait 35 days from the date of this update before calling DCWP for status.  You can get status by calling DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-20T11:57:36.000,09 MANHATTAN,,MANHATTAN,999012,240409,PHONE,Unspecified,MANHATTAN,40.82653035027816,-73.94666031647813,"{'latitude': '40.82653035027816', 'longitude': '-73.94666031647813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,WEST  147 STREET,AMSTERDAM AVENUE,WEST  147 STREET,,,,,,,,
58804947,2023-09-13T09:07:12.000,2023-09-25T16:19:42.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11412,194-21 116 ROAD,116 ROAD,ADDRESS,SAINT ALBANS,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-25T16:19:47.000,12 QUEENS,4110650056,QUEENS,1051382,192177,PHONE,Unspecified,QUEENS,40.693903628225705,-73.75791349275934,"{'latitude': '40.693903628225705', 'longitude': '-73.75791349275934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",194 STREET,195 STREET,194 STREET,195 STREET,116 ROAD,,,,,,,
58800796,2023-09-13T09:07:09.000,2023-09-13T09:54:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11205,796 BEDFORD AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T09:54:58.000,03 BROOKLYN,3018860072,BROOKLYN,996252,193367,MOBILE,Unspecified,BROOKLYN,40.69741637925251,-73.95671703857192,"{'latitude': '40.69741637925251', 'longitude': '-73.95671703857192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,BEDFORD AVENUE,,,,,,,
58804207,2023-09-13T09:07:07.000,2023-09-13T10:34:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,1709 43 STREET,43 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T10:34:24.000,12 BROOKLYN,3054060001,BROOKLYN,989968,169834,ONLINE,Unspecified,BROOKLYN,40.632829812794235,-73.97939906332783,"{'latitude': '40.632829812794235', 'longitude': '-73.97939906332783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17 AVENUE,DAHILL ROAD,17 AVENUE,DAHILL ROAD,43 STREET,,,,,,,
