unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction
58852447,2023-09-18T10:54:46.000,2023-09-28T16:02:32.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,11373,42-31 FORLEY STREET,FORLEY STREET,WHITNEY AVENUE,LAMONT AVENUE,ADDRESS,ELMHURST,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-18T10:54:46.000,04 QUEENS,4015670060,QUEENS,1018866,210775,PHONE,Unspecified,QUEENS,40.74513752466777,-73.87507443347192,"{'latitude': '40.74513752466777', 'longitude': '-73.87507443347192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1-2 Family Mixed Use Building,WHITNEY AVENUE,LAMONT AVENUE,FORLEY STREET,,,,,
58854767,2023-09-18T10:54:25.000,2023-09-18T10:55:15.000,NYPD,New York City Police Department,Drug Activity,Use Outside,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T10:55:21.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,
58848475,2023-09-18T10:54:20.000,2023-09-18T10:55:35.000,NYPD,New York City Police Department,Drug Activity,Use Outside,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T10:55:42.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,
58854768,2023-09-18T10:54:16.000,2023-09-18T10:55:54.000,NYPD,New York City Police Department,Drug Activity,Use Outside,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T10:55:57.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,
58849250,2023-09-18T10:54:01.000,2023-09-18T13:16:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11101,46-10 11 STREET,11 STREET,46 AVENUE,46 ROAD,ADDRESS,LONG ISLAND CITY,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T13:16:55.000,02 QUEENS,4000480025,QUEENS,997991,211118,MOBILE,Unspecified,QUEENS,40.74613604812742,-73.9504094220005,"{'latitude': '40.74613604812742', 'longitude': '-73.9504094220005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,46 AVENUE,46 ROAD,11 STREET,,,,,
58848603,2023-09-18T10:54:00.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,11378,58-59 61 STREET,61 STREET,FLUSHING AVENUE,59 AVENUE,ADDRESS,MASPETH,,In Progress,,,05 QUEENS,4027390002,QUEENS,1011031,201497,MOBILE,Unspecified,QUEENS,40.71969890677173,-73.90338704196898,"{'latitude': '40.71969890677173', 'longitude': '-73.90338704196898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,FLUSHING AVENUE,59 AVENUE,61 STREET,,,,,
58853315,2023-09-18T10:53:54.000,2023-09-18T11:02:01.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),11374,64-34 102 STREET,102 STREET,64 ROAD,65 AVENUE,ADDRESS,REGO PARK,,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-18T11:02:06.000,06 QUEENS,4021140034,QUEENS,1024938,205613,ONLINE,Unspecified,QUEENS,40.730943280324006,-73.85319247220481,"{'latitude': '40.730943280324006', 'longitude': '-73.85319247220481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,64 ROAD,65 AVENUE,102 STREET,,,,,
58846800,2023-09-18T10:53:23.000,2023-09-18T11:44:41.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11218,617 DITMAS AVENUE,DITMAS AVENUE,OCEAN PARKWAY,EAST    7 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T11:44:47.000,12 BROOKLYN,3053900050,BROOKLYN,991974,171064,PHONE,Unspecified,BROOKLYN,40.63620437933226,-73.97217039477535,"{'latitude': '40.63620437933226', 'longitude': '-73.97217039477535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,OCEAN PARKWAY,EAST    7 STREET,DITMAS AVENUE,,,,,
58849146,2023-09-18T10:53:20.000,2023-09-18T13:45:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11364,ENFIELD PLACE,ENFIELD PLACE,ENFIELD PLACE,GARLAND DRIVE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T13:46:01.000,11 QUEENS,,QUEENS,1051343,215382,PHONE,Unspecified,QUEENS,40.7575957633577,-73.75782278372232,"{'latitude': '40.7575957633577', 'longitude': '-73.75782278372232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,ENFIELD PLACE,GARLAND DRIVE,,,,,,
58848734,2023-09-18T10:53:10.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,11378,54 AVENUE,54 AVENUE,54 AVENUE,MAURICE AVENUE,INTERSECTION,,,In Progress,,,02 QUEENS,,QUEENS,1010380,204710,PHONE,Unspecified,QUEENS,40.728519754603866,-73.90572305998118,"{'latitude': '40.728519754603866', 'longitude': '-73.90572305998118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Park,54 AVENUE,MAURICE AVENUE,,,,,,
58849570,2023-09-18T10:53:10.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,10459,1029 FREEMAN STREET,FREEMAN STREET,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-18T00:00:00.000,03 BRONX,2030060053,BRONX,1015585,241242,PHONE,Unspecified,BRONX,40.82877344864654,-73.88677308691236,"{'latitude': '40.82877344864654', 'longitude': '-73.88677308691236', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58854410,2023-09-18T10:53:00.000,2023-09-18T12:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,11205,,,,,INTERSECTION,BROOKLYN,N/A,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T12:50:00.000,03 BROOKLYN,,BROOKLYN,995533,192200,UNKNOWN,Unspecified,BROOKLYN,40.69421418150046,-73.9593119316413,"{'latitude': '40.69421418150046', 'longitude': '-73.9593119316413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,KENT AVENUE,MYRTLE AVENUE,,,,,,
58846533,2023-09-18T10:53:00.000,2023-09-18T14:25:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),10314,20 SHILOH STREET,SHILOH STREET,STEINWAY AVE,RADFORD ST,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-18T14:25:00.000,02 STATEN ISLAND,5023810001,STATEN ISLAND,938797,154615,PHONE,Unspecified,STATEN ISLAND,40.590942094779514,-74.16365644414019,"{'latitude': '40.590942094779514', 'longitude': '-74.16365644414019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58845442,2023-09-18T10:52:59.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11414,95-07 158 AVENUE,158 AVENUE,,,ADDRESS,HOWARD BEACH,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-10-02T00:00:00.000,10 QUEENS,4141540035,QUEENS,1029141,180195,UNKNOWN,Unspecified,QUEENS,40.66115656541019,-73.83819694377321,"{'latitude': '40.66115656541019', 'longitude': '-73.83819694377321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58854599,2023-09-18T10:52:56.000,2023-09-19T13:28:22.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10451,303 EAST  158 STREET,EAST  158 STREET,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-19T00:00:00.000,01 BRONX,2024180033,BRONX,1007136,239155,PHONE,Unspecified,BRONX,40.82307116422554,-73.9173100769179,"{'latitude': '40.82307116422554', 'longitude': '-73.9173100769179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58852386,2023-09-18T10:52:55.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11379,64-27 84 PLACE,84 PLACE,FLEET COURT,64 ROAD,ADDRESS,MIDDLE VILLAGE,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-19T08:34:20.000,05 QUEENS,4030150007,QUEENS,1020711,202085,ONLINE,Unspecified,QUEENS,40.721278223440734,-73.86846312133191,"{'latitude': '40.721278223440734', 'longitude': '-73.86846312133191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,FLEET COURT,64 ROAD,84 PLACE,,,,,
58845818,2023-09-18T10:52:52.000,2023-10-05T19:42:48.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10030,301 WEST  137 STREET,WEST  137 STREET,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,10 MANHATTAN,1020417502,MANHATTAN,999252,237262,PHONE,Unspecified,MANHATTAN,40.81789232295765,-73.94580015801306,"{'latitude': '40.81789232295765', 'longitude': '-73.94580015801306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58849131,2023-09-18T10:52:49.000,2023-09-18T12:05:25.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11205,60 CUMBERLAND STREET,CUMBERLAND STREET,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T12:05:29.000,02 BROOKLYN,3020290049,BROOKLYN,991315,193058,MOBILE,Unspecified,BROOKLYN,40.696573564726485,-73.97452172565382,"{'latitude': '40.696573564726485', 'longitude': '-73.97452172565382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,FLUSHING AVENUE,PARK AVENUE,CUMBERLAND STREET,,,,,
58848023,2023-09-18T10:52:48.000,2023-09-18T11:21:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11219,1242 43 STREET,43 STREET,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T11:21:43.000,12 BROOKLYN,3056040021,BROOKLYN,987070,172122,PHONE,Unspecified,BROOKLYN,40.639111282431045,-73.98983908539986,"{'latitude': '40.639111282431045', 'longitude': '-73.98983908539986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,12 AVENUE,13 AVENUE,43 STREET,,,,,
58848934,2023-09-18T10:52:46.000,2023-09-18T15:11:41.000,DSNY,Department of Sanitation,Dead Animal,Raccoon,11236,1525 EAST   95 STREET,EAST   95 STREET,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation removed the items.,2023-09-18T12:52:15.000,18 BROOKLYN,,BROOKLYN,1013611,170745,PHONE,Unspecified,BROOKLYN,40.635283498050846,-73.89421362658939,"{'latitude': '40.635283498050846', 'longitude': '-73.89421362658939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,AVENUE M,AVENUE N,EAST   95 STREET,,,,,
58846297,2023-09-18T10:52:01.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,,,,,,ADDRESS,,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-19T08:52:49.000,Unspecified QUEENS,,QUEENS,1044181,198986,MOBILE,Unspecified,QUEENS,40.712644370964966,-73.78382050391308,"{'latitude': '40.712644370964966', 'longitude': '-73.78382050391308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Subway,,,,F,Mezzanine,,,
58847956,2023-09-18T10:51:54.000,2023-09-18T11:20:05.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,10027,1235 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  120 STREET,WEST  121 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T11:20:08.000,09 MANHATTAN,1019630030,MANHATTAN,995638,234312,ONLINE,Unspecified,MANHATTAN,40.80980079565877,-73.95886196870599,"{'latitude': '40.80980079565877', 'longitude': '-73.95886196870599', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST  120 STREET,WEST  121 STREET,AMSTERDAM AVENUE,,,,,
58846081,2023-09-18T10:51:50.000,,DPR,Department of Parks and Recreation,Illegal Tree Damage,Branches Damaged,11357,149-44 6 AVENUE,6 AVENUE,149 STREET,150 STREET,ADDRESS,WHITESTONE,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-20T08:49:06.000,07 QUEENS,4044970022,QUEENS,1034734,229041,MOBILE,Unspecified,QUEENS,40.79519647793933,-73.81767139196783,"{'latitude': '40.79519647793933', 'longitude': '-73.81767139196783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,149 STREET,150 STREET,6 AVENUE,,,,,
58853984,2023-09-18T10:51:47.000,2023-09-18T12:03:49.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,11372,35 AVENUE,35 AVENUE,35 AVENUE,JUNCTION BOULEVARD,INTERSECTION,,,Closed,N/A,2023-09-18T12:03:49.000,03 QUEENS,,QUEENS,1019771,213760,PHONE,Unspecified,QUEENS,40.75332699978863,-73.87179261989392,"{'latitude': '40.75332699978863', 'longitude': '-73.87179261989392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,35 AVENUE,JUNCTION BOULEVARD,,,,,,
58855120,2023-09-18T10:51:39.000,2023-09-20T12:51:15.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11212,BLAKE AVENUE,BLAKE AVENUE,BLAKE AVENUE,STRAUSS STREET,INTERSECTION,,,Closed,The Department of Sanitation cleaned the location.,2023-09-20T11:19:54.000,16 BROOKLYN,,BROOKLYN,1007745,181490,PHONE,Unspecified,BROOKLYN,40.6647936778132,-73.91531111974714,"{'latitude': '40.6647936778132', 'longitude': '-73.91531111974714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,BLAKE AVENUE,STRAUSS STREET,,,,,,
58855109,2023-09-18T10:51:39.000,2023-09-23T13:25:07.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11203,730 LINDEN BOULEVARD,LINDEN BOULEVARD,EAST   49 STREET,UTICA AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T12:20:02.000,17 BROOKLYN,3046750001,BROOKLYN,1003322,177464,PHONE,Unspecified,BROOKLYN,40.65375382936037,-73.9312654199576,"{'latitude': '40.65375382936037', 'longitude': '-73.9312654199576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,EAST   49 STREET,UTICA AVENUE,LINDEN BOULEVARD,,,,,
58852299,2023-09-18T10:51:30.000,2023-09-18T16:37:52.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11419,101-27 133 STREET,133 STREET,101 AVENUE,103 AVENUE,ADDRESS,SOUTH RICHMOND HILL,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T16:38:01.000,09 QUEENS,4095010058,QUEENS,1035798,191595,PHONE,Unspecified,QUEENS,40.69241066833387,-73.81411563291846,"{'latitude': '40.69241066833387', 'longitude': '-73.81411563291846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,101 AVENUE,103 AVENUE,133 STREET,,,,,
58853615,2023-09-18T10:51:25.000,2023-09-18T10:59:02.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11434,140-56 160 STREET,160 STREET,140 AVENUE,NORTH CONDUIT AVENUE,ADDRESS,JAMAICA,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T10:59:11.000,12 QUEENS,,QUEENS,1046549,183301,ONLINE,Unspecified,QUEENS,40.669576447961866,-73.77542388424817,"{'latitude': '40.669576447961866', 'longitude': '-73.77542388424817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,140 AVENUE,NORTH CONDUIT AVENUE,160 STREET,,,,,
