unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_segment,due_date,vehicle_type,bridge_highway_direction
58887090,2023-09-21T17:52:23.000,2023-09-23T18:31:28.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11372,35-61 84 STREET,84 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,03 QUEENS,4014587501,QUEENS,1016738,213126,PHONE,Unspecified,QUEENS,40.751598495959875,-73.88274279875266,"{'latitude': '40.751598495959875', 'longitude': '-73.88274279875266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889931,2023-09-21T17:52:23.000,2023-09-23T18:31:28.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11372,35-61 84 STREET,84 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,03 QUEENS,4014587501,QUEENS,1016738,213126,PHONE,Unspecified,QUEENS,40.751598495959875,-73.88274279875266,"{'latitude': '40.751598495959875', 'longitude': '-73.88274279875266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887244,2023-09-21T17:52:23.000,2023-09-23T18:31:28.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11372,35-61 84 STREET,84 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,03 QUEENS,4014587501,QUEENS,1016738,213126,PHONE,Unspecified,QUEENS,40.751598495959875,-73.88274279875266,"{'latitude': '40.751598495959875', 'longitude': '-73.88274279875266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885936,2023-09-21T17:52:23.000,2023-09-23T18:31:28.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11372,35-61 84 STREET,84 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,03 QUEENS,4014587501,QUEENS,1016738,213126,PHONE,Unspecified,QUEENS,40.751598495959875,-73.88274279875266,"{'latitude': '40.751598495959875', 'longitude': '-73.88274279875266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883316,2023-09-21T17:52:23.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11203,3613 AVENUE D,AVENUE D,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-21T00:00:00.000,17 BROOKLYN,3049530039,BROOKLYN,1000201,172934,ONLINE,Unspecified,BROOKLYN,40.64132613393516,-73.94252406388861,"{'latitude': '40.64132613393516', 'longitude': '-73.94252406388861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891030,2023-09-21T17:52:23.000,2023-09-23T18:31:28.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,11372,35-61 84 STREET,84 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,03 QUEENS,4014587501,QUEENS,1016738,213126,PHONE,Unspecified,QUEENS,40.751598495959875,-73.88274279875266,"{'latitude': '40.751598495959875', 'longitude': '-73.88274279875266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884980,2023-09-21T17:52:19.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10023,5 WEST   71 STREET,WEST   71 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   71 STREET,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T10:56:55.000,07 MANHATTAN,1011240027,MANHATTAN,990699,221868,ONLINE,Unspecified,MANHATTAN,40.77565036191977,-73.9767155688507,"{'latitude': '40.77565036191977', 'longitude': '-73.9767155688507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","5 WEST   71 STREET, MANHATTAN (NEW YORK), NY, 10023",,,,,,
58882592,2023-09-21T17:52:07.000,2023-09-22T10:16:44.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Sidewalk,11207,655 WARWICK STREET,WARWICK STREET,DUMONT AVENUE,LIVONIA AVENUE,DUMONT AVENUE,LIVONIA AVENUE,ADDRESS,BROOKLYN,WARWICK STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-22T10:16:47.000,05 BROOKLYN,3040790011,BROOKLYN,1016383,182264,ONLINE,Unspecified,BROOKLYN,40.66689099812535,-73.88417136727578,"{'latitude': '40.66689099812535', 'longitude': '-73.88417136727578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889024,2023-09-21T17:52:03.000,2023-09-22T09:38:36.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11205,38 WAVERLY AVENUE,WAVERLY AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,WAVERLY AVENUE,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-22T06:29:32.000,02 BROOKLYN,3018730008,BROOKLYN,992972,193103,MOBILE,Unspecified,BROOKLYN,40.69669560128803,-73.9685460838995,"{'latitude': '40.69669560128803', 'longitude': '-73.9685460838995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882259,2023-09-21T17:52:01.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Pet/Animal,Restaurant/Bar/Deli/Bakery,10019,732 10 AVENUE,10 AVENUE,WEST   49 STREET,WEST   50 STREET,WEST   49 STREET,WEST   50 STREET,ADDRESS,NEW YORK,10 AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-22T12:07:11.000,04 MANHATTAN,1010590061,MANHATTAN,986509,217836,MOBILE,Unspecified,MANHATTAN,40.76458563585536,-73.9918451246675,"{'latitude': '40.76458563585536', 'longitude': '-73.9918451246675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885460,2023-09-21T17:52:00.000,2023-10-27T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11040,79-08 LANGDALE STREET,LANGDALE STREET,,,,,ADDRESS,NEW HYDE PARK,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-27T00:00:00.000,13 QUEENS,4087070007,QUEENS,1066906,212084,UNKNOWN,Unspecified,QUEENS,40.74841184836622,-73.70168790147157,"{'latitude': '40.74841184836622', 'longitude': '-73.70168790147157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889486,2023-09-21T17:51:37.000,2023-09-21T18:11:38.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11249,50 NORTH    1 STREET,NORTH    1 STREET,KENT AVENUE,WYTHE AVENUE,KENT AVENUE,WYTHE AVENUE,ADDRESS,BROOKLYN,NORTH    1 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T18:11:45.000,01 BROOKLYN,3023780011,BROOKLYN,994009,200423,PHONE,Unspecified,BROOKLYN,40.71678618877583,-73.96479576983026,"{'latitude': '40.71678618877583', 'longitude': '-73.96479576983026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887593,2023-09-21T17:51:33.000,2023-11-03T16:11:32.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10023,5 WEST   71 STREET,WEST   71 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   71 STREET,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-03T16:11:36.000,07 MANHATTAN,1011240027,MANHATTAN,990699,221868,ONLINE,Unspecified,MANHATTAN,40.77565036191977,-73.9767155688507,"{'latitude': '40.77565036191977', 'longitude': '-73.9767155688507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","5 WEST   71 STREET, MANHATTAN (NEW YORK), NY, 10023",,,,,,
58882875,2023-09-21T17:51:21.000,2023-09-21T19:26:28.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11433,111-25 169 STREET,169 STREET,111 AVENUE,SAYRES AVENUE,111 AVENUE,SAYRES AVENUE,ADDRESS,JAMAICA,169 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T19:26:34.000,12 QUEENS,,QUEENS,1044577,191972,ONLINE,Unspecified,QUEENS,40.69338995562641,-73.78245491525118,"{'latitude': '40.69338995562641', 'longitude': '-73.78245491525118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884841,2023-09-21T17:51:17.000,2023-09-21T17:51:17.000,DOHMH,Department of Health and Mental Hygiene,Standing Water,Swimming Pool - Unmaintained,1-2 Family Dwelling,10305,439 RARITAN AVENUE,RARITAN AVENUE,LACONIA AVENUE,MASON AVENUE,LACONIA AVENUE,MASON AVENUE,ADDRESS,STATEN ISLAND,RARITAN AVENUE,Closed,An inspection of the property was conducted and the owner was issued a summons. Follow-up inspections will be scheduled.,2023-09-21T17:51:17.000,02 STATEN ISLAND,5033710001,STATEN ISLAND,960184,153579,ONLINE,Unspecified,STATEN ISLAND,40.588182354712075,-74.0866475606117,"{'latitude': '40.588182354712075', 'longitude': '-74.0866475606117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888772,2023-09-21T17:50:57.000,2023-09-21T17:50:57.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11354,142-15 32 AVENUE,32 AVENUE,UNION STREET,143 STREET,UNION STREET,143 STREET,ADDRESS,FLUSHING,32 AVENUE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-21T17:50:57.000,07 QUEENS,4047760102,QUEENS,1032370,219502,MOBILE,Unspecified,QUEENS,40.76902769562537,-73.82627754253483,"{'latitude': '40.76902769562537', 'longitude': '-73.82627754253483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888089,2023-09-21T17:50:46.000,2023-09-21T17:52:47.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,EAST   63 STREET,EAST   63 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,BLOCKFACE,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T17:52:52.000,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
58891496,2023-09-21T17:50:46.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10023,79 CENTRAL PARK WEST,CENTRAL PARK WEST,CENTRAL PARK EXIT WEST   67 ST,WEST   68 STREET,CENTRAL PARK EXIT WEST   67 ST,WEST   68 STREET,ADDRESS,NEW YORK,CENTRAL PARK WEST,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T10:35:24.000,07 MANHATTAN,1011200033,MANHATTAN,990370,221108,ONLINE,Unspecified,MANHATTAN,40.77356459521752,-73.97790413161468,"{'latitude': '40.77356459521752', 'longitude': '-73.97790413161468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","79 CENTRAL PARK WEST, MANHATTAN (NEW YORK), NY, 10023",,,,,,
58890735,2023-09-21T17:50:42.000,2023-09-21T20:34:08.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11220,829 45 STREET,45 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,45 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T20:34:10.000,12 BROOKLYN,3007420066,BROOKLYN,984245,173705,PHONE,Unspecified,BROOKLYN,40.64345672690347,-74.00001801697927,"{'latitude': '40.64345672690347', 'longitude': '-74.00001801697927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889715,2023-09-21T17:50:41.000,2023-09-21T18:54:18.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10452,1565 TOWNSEND AVENUE,TOWNSEND AVENUE,EAST  172 STREET,EAST MOUNT EDEN AVENUE,EAST  172 STREET,EAST MOUNT EDEN AVENUE,ADDRESS,BRONX,TOWNSEND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T18:54:23.000,04 BRONX,2028460041,BRONX,1007972,246572,ONLINE,Unspecified,BRONX,40.84342647770325,-73.91426327900784,"{'latitude': '40.84342647770325', 'longitude': '-73.91426327900784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
