unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,due_date
58901290,2023-09-22T11:34:56.000,2023-09-23T14:13:23.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11207,228 MOFFAT STREET,MOFFAT STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,MOFFAT STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-23T06:27:41.000,04 BROOKLYN,3034470032,BROOKLYN,1010498,190167,PHONE,Unspecified,BROOKLYN,40.68860233692648,-73.9053540100648,"{'latitude': '40.68860233692648', 'longitude': '-73.9053540100648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901256,2023-09-22T11:34:31.000,2023-09-23T11:08:25.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10011,124 EIGHTH AVENUE,EIGHTH AVENUE,WEST   16 STREET,WEST   17 STREET,WEST   16 STREET,WEST   17 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T11:08:29.000,04 MANHATTAN,1007667502,MANHATTAN,983848,209318,MOBILE,Unspecified,MANHATTAN,40.74120616450108,-74.00145069035776,"{'latitude': '40.74120616450108', 'longitude': '-74.00145069035776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898003,2023-09-22T11:34:24.000,2023-09-27T21:44:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11229,2301 KINGS HIGHWAY,KINGS HIGHWAY,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,14 BROOKLYN,3067700031,BROOKLYN,997950,162141,PHONE,Unspecified,BROOKLYN,40.61170538890312,-73.95065695433019,"{'latitude': '40.61170538890312', 'longitude': '-73.95065695433019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902242,2023-09-22T11:34:24.000,2023-10-01T12:22:51.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11229,2301 KINGS HIGHWAY,KINGS HIGHWAY,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 BROOKLYN,3067700031,BROOKLYN,997950,162141,PHONE,Unspecified,BROOKLYN,40.61170538890312,-73.95065695433019,"{'latitude': '40.61170538890312', 'longitude': '-73.95065695433019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896575,2023-09-22T11:34:21.000,2023-09-22T19:43:49.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11230,1348 OCEAN AVENUE,OCEAN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-22T00:00:00.000,14 BROOKLYN,3067030067,BROOKLYN,996172,168490,ONLINE,Unspecified,BROOKLYN,40.62913463995372,-73.9570495319861,"{'latitude': '40.62913463995372', 'longitude': '-73.9570495319861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900346,2023-09-22T11:34:11.000,2023-09-22T11:53:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11249,100 SOUTH EIGHTH STREET,SOUTH EIGHTH STREET,BERRY STREET,BEDFORD AVENUE,BERRY STREET,BEDFORD AVENUE,ADDRESS,BROOKLYN,SOUTH    8 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T11:53:51.000,01 BROOKLYN,3021370008,BROOKLYN,993895,197826,MOBILE,Unspecified,BROOKLYN,40.7096581684855,-73.96521072950203,"{'latitude': '40.7096581684855', 'longitude': '-73.96521072950203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892416,2023-09-22T11:34:09.000,2023-10-16T17:15:08.000,HPD,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,RESIDENTIAL BUILDING,11229,2718 OCEAN AVENUE,OCEAN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-16T00:00:00.000,15 BROOKLYN,3073800048,BROOKLYN,997955,156171,PHONE,Unspecified,BROOKLYN,40.595318949160806,-73.95065105935308,"{'latitude': '40.595318949160806', 'longitude': '-73.95065105935308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902233,2023-09-22T11:34:07.000,2023-09-29T09:39:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11201,230 JAY STREET,JAY STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,02 BROOKLYN,3000860011,BROOKLYN,987845,193439,PHONE,Unspecified,BROOKLYN,40.69762141099437,-73.9870352675307,"{'latitude': '40.69762141099437', 'longitude': '-73.9870352675307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899326,2023-09-22T11:34:07.000,2023-09-29T09:39:30.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11201,230 JAY STREET,JAY STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,02 BROOKLYN,3000860011,BROOKLYN,987845,193439,PHONE,Unspecified,BROOKLYN,40.69762141099437,-73.9870352675307,"{'latitude': '40.69762141099437', 'longitude': '-73.9870352675307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892475,2023-09-22T11:34:07.000,2023-09-29T09:39:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11201,230 JAY STREET,JAY STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,02 BROOKLYN,3000860011,BROOKLYN,987845,193439,PHONE,Unspecified,BROOKLYN,40.69762141099437,-73.9870352675307,"{'latitude': '40.69762141099437', 'longitude': '-73.9870352675307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894781,2023-09-22T11:34:06.000,2023-09-22T14:52:39.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,708 WILLIAMS AVENUE,WILLIAMS AVENUE,LOUISIANA AVENUE,HEGEMAN AVENUE,LOUISIANA AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,WILLIAMS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T14:52:42.000,05 BROOKLYN,3038670164,BROOKLYN,1013030,179148,MOBILE,Unspecified,BROOKLYN,40.658349807453284,-73.89627109059921,"{'latitude': '40.658349807453284', 'longitude': '-73.89627109059921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893243,2023-09-22T11:33:57.000,2023-09-22T15:35:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,1292 EAST   10 STREET,EAST   10 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST   10 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T15:35:46.000,12 BROOKLYN,3065450044,BROOKLYN,993992,164411,PHONE,Unspecified,BROOKLYN,40.61794130477356,-73.96490913532917,"{'latitude': '40.61794130477356', 'longitude': '-73.96490913532917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899613,2023-09-22T11:33:45.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Government Building,10301,1 RICHMOND TERRACE,RICHMOND TERRACE,,STATEN ISLAND RAILWAY LINE,,STATEN ISLAND RAILWAY LINE,ADDRESS,STATEN ISLAND,RICHMOND TERRACE,In Progress,,,01 STATEN ISLAND,5270000501,STATEN ISLAND,963903,173866,ONLINE,Unspecified,STATEN ISLAND,40.643875264855396,-74.07331876388817,"{'latitude': '40.643875264855396', 'longitude': '-74.07331876388817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900954,2023-09-22T11:33:41.000,2023-09-22T12:33:18.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11357,22-23 147 STREET,147 STREET,22 AVENUE,23 AVENUE,22 AVENUE,23 AVENUE,ADDRESS,WHITESTONE,147 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T12:33:21.000,07 QUEENS,4046570011,QUEENS,1034285,223119,MOBILE,Unspecified,QUEENS,40.77894476039273,-73.81933711207975,"{'latitude': '40.77894476039273', 'longitude': '-73.81933711207975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893033,2023-09-22T11:33:41.000,2023-09-25T13:30:48.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Street Not Swept,Street,11211,40 DEBEVOISE AVENUE,DEBEVOISE AVENUE,MASPETH AVENUE,JACKSON STREET,MASPETH AVENUE,JACKSON STREET,ADDRESS,BROOKLYN,DEBEVOISE AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-23T16:10:16.000,01 BROOKLYN,3028670001,BROOKLYN,1001357,200617,PHONE,Unspecified,BROOKLYN,40.717307515168386,-73.93828839945466,"{'latitude': '40.717307515168386', 'longitude': '-73.93828839945466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902424,2023-09-22T11:33:29.000,2023-09-22T11:33:29.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11238,787 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,ST JOHNS PLACE,LINCOLN PLACE,ADDRESS,BROOKLYN,FRANKLIN AVENUE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-22T11:33:29.000,08 BROOKLYN,3012520008,BROOKLYN,996045,184106,MOBILE,Unspecified,BROOKLYN,40.671997330836625,-73.95747975674591,"{'latitude': '40.671997330836625', 'longitude': '-73.95747975674591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902574,2023-09-22T11:33:03.000,2023-09-22T12:31:49.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10451,325 EAST  156 STREET,EAST  156 STREET,MORRIS AVENUE,COURTLANDT AVENUE,MORRIS AVENUE,COURTLANDT AVENUE,ADDRESS,BRONX,EAST  156 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T12:31:53.000,01 BRONX,2024160001,BRONX,1006947,238560,PHONE,Unspecified,BRONX,40.82143854596704,-73.91799496924632,"{'latitude': '40.82143854596704', 'longitude': '-73.91799496924632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894662,2023-09-22T11:33:00.000,2023-09-22T12:14:19.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10314,70 ROCKNE STREET,ROCKNE STREET,NOME AVENUE,ELWOOD AVENUE,NOME AVENUE,ELWOOD AVENUE,ADDRESS,STATEN ISLAND,ROCKNE STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T12:14:23.000,02 STATEN ISLAND,5023880056,STATEN ISLAND,939974,152963,ONLINE,Unspecified,STATEN ISLAND,40.58641364966568,-74.15940776528426,"{'latitude': '40.58641364966568', 'longitude': '-74.15940776528426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902793,2023-09-22T11:33:00.000,2023-09-22T13:01:50.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,10021,1313 3 AVENUE,3 AVENUE,EAST   75 STREET,EAST   76 STREET,EAST   75 STREET,EAST   76 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,N/A,2023-09-22T13:01:53.000,08 MANHATTAN,1014300002,MANHATTAN,995589,220483,PHONE,Unspecified,MANHATTAN,40.77184397979831,-73.95906232275007,"{'latitude': '40.77184397979831', 'longitude': '-73.95906232275007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899546,2023-09-22T11:32:31.000,2023-09-22T18:07:15.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11427,221-28 MANOR ROAD,MANOR ROAD,HILLSIDE AVENUE,BEND,HILLSIDE AVENUE,BEND,ADDRESS,QUEENS VILLAGE,MANOR ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T18:07:19.000,13 QUEENS,4079290002,QUEENS,1055336,206059,PHONE,Unspecified,QUEENS,40.73197536988685,-73.74350836643838,"{'latitude': '40.73197536988685', 'longitude': '-73.74350836643838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902531,2023-09-22T11:32:22.000,2023-10-02T09:51:49.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11385,584 WOODWARD AVENUE,WOODWARD AVENUE,MENAHAN STREET,GROVE STREET,MENAHAN STREET,GROVE STREET,ADDRESS,RIDGEWOOD,WOODWARD AVENUE,Closed,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Parks and Recreation.,2023-10-02T09:51:53.000,05 QUEENS,4034070043,QUEENS,1009678,196655,PHONE,Unspecified,QUEENS,40.70641277054658,-73.90828629955034,"{'latitude': '40.70641277054658', 'longitude': '-73.90828629955034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896166,2023-09-22T11:32:21.000,2023-09-22T13:03:42.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11209,335 88 STREET,88 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,88 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:03:45.000,10 BROOKLYN,3060490060,BROOKLYN,975772,165815,MOBILE,Unspecified,BROOKLYN,40.621796291986364,-74.03053967676688,"{'latitude': '40.621796291986364', 'longitude': '-74.03053967676688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896724,2023-09-22T11:32:10.000,2023-09-22T12:19:57.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11210,2021 FARRAGUT ROAD,FARRAGUT ROAD,OCEAN AVENUE,EAST   21 STREET,OCEAN AVENUE,EAST   21 STREET,ADDRESS,BROOKLYN,FARRAGUT ROAD,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-22T12:19:52.000,14 BROOKLYN,3052200001,BROOKLYN,995935,170747,PHONE,Unspecified,BROOKLYN,40.63532994216788,-73.9578994454981,"{'latitude': '40.63532994216788', 'longitude': '-73.9578994454981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900338,2023-09-22T11:32:08.000,2023-09-22T13:56:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11213,1165 ST MARKS AVENUE,ST MARKS AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,ADDRESS,BROOKLYN,ST MARKS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T13:56:53.000,08 BROOKLYN,3013540059,BROOKLYN,1003391,184905,PHONE,Unspecified,BROOKLYN,40.67417757068266,-73.93099562235429,"{'latitude': '40.67417757068266', 'longitude': '-73.93099562235429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893130,2023-09-22T11:32:00.000,2023-09-25T16:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Other (Use Comments) (AE5)",,11418,132-06 JAMAICA AVENUE,JAMAICA AVENUE,132 ST,132 ST,,,ADDRESS,RICHMOND HILL,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T16:00:00.000,09 QUEENS,4093400103,QUEENS,1034059,195134,PHONE,Unspecified,QUEENS,40.702134337257895,-73.8203603547679,"{'latitude': '40.702134337257895', 'longitude': '-73.8203603547679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58895882,2023-09-22T11:32:00.000,2023-09-27T18:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11222,27 NEWEL STREET,NEWEL STREET,DRIGGS AVE,NASSAU AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection (DEP) observed a violation of the NYC Air or Noise Code during the inspection. DEP issued a summons.,2023-09-27T18:00:00.000,01 BROOKLYN,3026830021,BROOKLYN,999006,202946,PHONE,Unspecified,BROOKLYN,40.723704291199226,-73.94676426238121,"{'latitude': '40.723704291199226', 'longitude': '-73.94676426238121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
