unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date,taxi_company_borough
58927638,2023-09-26T16:07:03.000,2023-09-26T16:07:03.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11209,360 86 STREET,86 STREET,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,,Closed,An inspection of the property was conducted and it passed with minor violations found.,2023-09-26T16:07:03.000,10 BROOKLYN,3060440032,BROOKLYN,976086,166272,PHONE,Unspecified,BROOKLYN,40.623050956379664,-74.0294091304007,"{'latitude': '40.623050956379664', 'longitude': '-74.0294091304007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1-2 Family Dwelling,3 AVENUE,4 AVENUE,86 STREET,,,,,,,
58933527,2023-09-26T16:07:00.000,2023-10-10T11:34:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,11358,,,,,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-10T11:34:00.000,11 QUEENS,,QUEENS,1043430,214738,UNKNOWN,Unspecified,QUEENS,40.755884658105295,-73.78639089851816,"{'latitude': '40.755884658105295', 'longitude': '-73.78639089851816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,45 AVENUE,195 STREET,,,,,,,,
58932268,2023-09-26T16:06:59.000,2023-09-26T16:44:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10452,1082 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  165 STREET,WEST  166 STREET,ADDRESS,BRONX,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T16:44:42.000,04 BRONX,2025090010,BRONX,1004564,243297,ONLINE,Unspecified,BRONX,40.834446055385214,-73.92659048188585,"{'latitude': '40.834446055385214', 'longitude': '-73.92659048188585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WEST  165 STREET,WEST  166 STREET,WOODYCREST AVENUE,,,,,,,
58928572,2023-09-26T16:06:29.000,2023-10-02T10:46:52.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,11232,225 23 STREET,23 STREET,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,07 BROOKLYN,3006460052,BROOKLYN,985572,179961,PHONE,Unspecified,BROOKLYN,40.66062798595389,-73.99523508445206,"{'latitude': '40.66062798595389', 'longitude': '-73.99523508445206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58931506,2023-09-26T16:06:07.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,10019,763 9 AVENUE,9 AVENUE,WEST   51 STREET,WEST   52 STREET,ADDRESS,NEW YORK,,In Progress,,,04 MANHATTAN,1010610030,MANHATTAN,987472,217731,UNKNOWN,Unspecified,MANHATTAN,40.76429713944133,-73.98836879391418,"{'latitude': '40.76429713944133', 'longitude': '-73.98836879391418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,WEST   51 STREET,WEST   52 STREET,9 AVENUE,,,,,,,
58927609,2023-09-26T16:06:07.000,,DPR,Department of Parks and Recreation,Illegal Tree Damage,Branches Damaged,11234,2017 ROYCE STREET,ROYCE STREET,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-10-10T12:44:50.000,18 BROOKLYN,3084160026,BROOKLYN,1010334,166202,UNKNOWN,Unspecified,BROOKLYN,40.622824184047,-73.90603805931342,"{'latitude': '40.622824184047', 'longitude': '-73.90603805931342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,AVENUE T,AVENUE U,ROYCE STREET,,,,,,,
58934047,2023-09-26T16:06:07.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,10019,749 9 AVENUE,9 AVENUE,WEST   50 STREET,WEST   51 STREET,ADDRESS,NEW YORK,,In Progress,,,04 MANHATTAN,1010600033,MANHATTAN,987372,217551,UNKNOWN,Unspecified,MANHATTAN,40.76380312175314,-73.98872987087171,"{'latitude': '40.76380312175314', 'longitude': '-73.98872987087171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,WEST   50 STREET,WEST   51 STREET,9 AVENUE,,,,,,,
58934048,2023-09-26T16:06:06.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,10019,739 9 AVENUE,9 AVENUE,WEST   49 STREET,WEST   50 STREET,ADDRESS,NEW YORK,,In Progress,,,04 MANHATTAN,1010590036,MANHATTAN,987290,217402,UNKNOWN,Unspecified,MANHATTAN,40.76339418373826,-73.98902595061308,"{'latitude': '40.76339418373826', 'longitude': '-73.98902595061308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,WEST   49 STREET,WEST   50 STREET,9 AVENUE,,,,,,,
58934054,2023-09-26T16:06:05.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,10019,745 9 AVENUE,9 AVENUE,WEST   50 STREET,WEST   51 STREET,ADDRESS,NEW YORK,,In Progress,,,04 MANHATTAN,1010600031,MANHATTAN,987350,217511,UNKNOWN,Unspecified,MANHATTAN,40.76369333980815,-73.98880930726801,"{'latitude': '40.76369333980815', 'longitude': '-73.98880930726801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,WEST   50 STREET,WEST   51 STREET,9 AVENUE,,,,,,,
58934786,2023-09-26T16:06:00.000,2023-09-26T17:08:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,11433,,,,,INTERSECTION,QUEENS,N/A,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T17:08:00.000,12 QUEENS,,QUEENS,1042459,192547,UNKNOWN,Unspecified,QUEENS,40.69498237690217,-73.79008763261244,"{'latitude': '40.69498237690217', 'longitude': '-73.79008763261244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,GUY R BREWER BOULEVARD,109 AVENUE,,,,,,,,
58926016,2023-09-26T16:06:00.000,2023-09-27T19:05:00.000,DOT,Department of Transportation,Traffic Signal Condition,LED Lense,10027,,,,,INTERSECTION,MANHATTAN,N/A,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T19:05:00.000,09 MANHATTAN,,MANHATTAN,996045,236912,UNKNOWN,Unspecified,MANHATTAN,40.816936535540535,-73.95738715243279,"{'latitude': '40.816936535540535', 'longitude': '-73.95738715243279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,BROADWAY,WEST 130 STREET,,,,,,,,
58933305,2023-09-26T16:05:37.000,2023-09-26T16:46:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11101,2-24 51 AVENUE,51 AVENUE,2 STREET,5 STREET,ADDRESS,LONG ISLAND CITY,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T16:46:52.000,02 QUEENS,4000150010,QUEENS,995799,209900,MOBILE,Unspecified,QUEENS,40.74279607758023,-73.95832232988253,"{'latitude': '40.74279607758023', 'longitude': '-73.95832232988253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,2 STREET,5 STREET,51 AVENUE,,,,,,,
58935690,2023-09-26T16:05:24.000,2023-11-05T23:04:40.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Locksmith,11238,860 ATLANTIC AVENUE,ATLANTIC AVENUE,CLINTON AVENUE,WAVERLY AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Consumer and Worker Protection (DCWP) finished reviewing your complaint. DCWP will contact you directly to report its status.,2023-11-05T23:04:43.000,08 BROOKLYN,3011220012,BROOKLYN,993580,187572,ONLINE,Unspecified,BROOKLYN,40.68151365882619,-73.96636112964262,"{'latitude': '40.68151365882619', 'longitude': '-73.96636112964262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Business,CLINTON AVENUE,WAVERLY AVENUE,ATLANTIC AVENUE,,,,,,,
58931637,2023-09-26T16:05:20.000,2023-09-28T14:09:33.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,11232,341 39 STREET,39 STREET,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-28T14:09:36.000,07 BROOKLYN,0000000000,BROOKLYN,982246,177283,MOBILE,Unspecified,BROOKLYN,40.65327733513932,-74.00722226827929,"{'latitude': '40.65327733513932', 'longitude': '-74.00722226827929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,3 AVENUE,4 AVENUE,39 STREET,,,,,,,
58935356,2023-09-26T16:05:11.000,2023-09-26T16:05:11.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10010,12 WEST   23 STREET,WEST   23 STREET,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-26T16:05:11.000,05 MANHATTAN,1008240046,MANHATTAN,986938,209551,MOBILE,Unspecified,MANHATTAN,40.74184529211589,-73.99029976841724,"{'latitude': '40.74184529211589', 'longitude': '-73.99029976841724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Other (Explain Below),5 AVENUE,AVENUE OF THE AMERICAS,WEST   23 STREET,,,,,,,
58933185,2023-09-26T16:05:00.000,2023-09-28T14:00:00.000,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),11216,701 NOSTRAND AVENUE,NOSTRAND AVENUE,PARK PL,STERLING PL,ADDRESS,BROOKLYN,N/A,Closed,The Department of Environmental Protection investigated this complaint and found that no asbestos was disturbed.,2023-09-28T14:00:00.000,08 BROOKLYN,3012410003,BROOKLYN,998071,184542,PHONE,Unspecified,BROOKLYN,40.67319112170385,-73.95017525989316,"{'latitude': '40.67319112170385', 'longitude': '-73.95017525989316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58934866,2023-09-26T16:04:55.000,2023-09-26T16:35:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11221,31 VAN BUREN STREET,VAN BUREN STREET,TOMPKINS AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T16:36:02.000,03 BROOKLYN,3017910072,BROOKLYN,999776,190660,ONLINE,Unspecified,BROOKLYN,40.689980811369644,-73.94401463603896,"{'latitude': '40.689980811369644', 'longitude': '-73.94401463603896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,TOMPKINS AVENUE,THROOP AVENUE,VAN BUREN STREET,,,,,,,
58928908,2023-09-26T16:04:51.000,,DOHMH,Department of Health and Mental Hygiene,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,10040,4672 BROADWAY,BROADWAY,BROADWAY,ARDEN STREET,ADDRESS,NEW YORK,,In Progress,,,12 MANHATTAN,1021750010,MANHATTAN,1003715,253756,ONLINE,Unspecified,MANHATTAN,40.863154824278624,-73.92962818220569,"{'latitude': '40.863154824278624', 'longitude': '-73.92962818220569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3+ Family Apartment Building,BROADWAY,ARDEN STREET,BROADWAY,,,,,,,
58930916,2023-09-26T16:04:49.000,2023-09-26T16:42:51.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,10459,1077 TIFFANY STREET,TIFFANY STREET,EAST  165 STREET,EAST  167 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T16:42:57.000,02 BRONX,2027160142,BRONX,1013348,239962,MOBILE,Unspecified,BRONX,40.82526786923194,-73.8948618791221,"{'latitude': '40.82526786923194', 'longitude': '-73.8948618791221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST  165 STREET,EAST  167 STREET,TIFFANY STREET,,,,,,,
58931062,2023-09-26T16:04:47.000,2023-09-26T20:26:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,10462,2145 STARLING AVENUE,STARLING AVENUE,ODELL STREET,PURDY STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T20:26:49.000,09 BRONX,2039470040,BRONX,1024731,243965,MOBILE,Unspecified,BRONX,40.83621010660156,-73.85370825386958,"{'latitude': '40.83621010660156', 'longitude': '-73.85370825386958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,ODELL STREET,PURDY STREET,STARLING AVENUE,,,,,,,
58929192,2023-09-26T16:04:35.000,2023-09-28T14:52:44.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Refrigerator or Freezer Door Attached,11219,5619 14 AVENUE,14 AVENUE,56 STREET,57 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T14:17:12.000,12 BROOKLYN,3056920001,BROOKLYN,985874,168662,PHONE,Unspecified,BROOKLYN,40.629614617245316,-73.99414929886284,"{'latitude': '40.629614617245316', 'longitude': '-73.99414929886284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,56 STREET,57 STREET,14 AVENUE,,,,,,,
58927147,2023-09-26T16:04:31.000,2023-09-26T16:33:33.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10029,1330 PARK AVENUE,PARK AVENUE,EAST  100 STREET,EAST  101 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T16:33:19.000,11 MANHATTAN,1016050024,MANHATTAN,997970,226894,MOBILE,Unspecified,MANHATTAN,40.78943709959109,-73.95045300631404,"{'latitude': '40.78943709959109', 'longitude': '-73.95045300631404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  100 STREET,EAST  101 STREET,PARK AVENUE,,,,,,,
58930811,2023-09-26T16:04:30.000,2023-09-26T18:57:54.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,11204,135 AVENUE P,AVENUE P,WEST   10 STREET,WEST    9 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T18:57:57.000,11 BROOKLYN,3065970045,BROOKLYN,988926,160681,PHONE,Unspecified,BROOKLYN,40.60770734585569,-73.9831595435511,"{'latitude': '40.60770734585569', 'longitude': '-73.9831595435511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST   10 STREET,WEST    9 STREET,AVENUE P,,,,,,,
58926893,2023-09-26T16:04:28.000,2023-09-26T16:31:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11215,84 14 STREET,14 STREET,2 AVENUE,3 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T16:32:03.000,06 BROOKLYN,3010390020,BROOKLYN,985670,183046,MOBILE,Unspecified,BROOKLYN,40.66909561146527,-73.99488121099446,"{'latitude': '40.66909561146527', 'longitude': '-73.99488121099446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,2 AVENUE,3 AVENUE,14 STREET,,,,,,,
58931801,2023-09-26T16:04:17.000,2023-09-28T13:40:52.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Private Carter Decal Not Posted,10018,336 WEST   37 STREET,WEST   37 STREET,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T13:40:52.000,04 MANHATTAN,1007600063,MANHATTAN,986123,214188,ONLINE,Unspecified,MANHATTAN,40.75457290046867,-73.9932395814082,"{'latitude': '40.75457290046867', 'longitude': '-73.9932395814082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,8 AVENUE,9 AVENUE,WEST   37 STREET,,,,,,,
58930904,2023-09-26T16:04:17.000,2023-09-26T16:46:42.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11205,110 NOSTRAND AVENUE,NOSTRAND AVENUE,PARK AVENUE,MYRTLE AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T16:46:47.000,03 BROOKLYN,3017370017,BROOKLYN,997332,193078,MOBILE,Unspecified,BROOKLYN,40.696621610970496,-73.95282278321208,"{'latitude': '40.696621610970496', 'longitude': '-73.95282278321208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,PARK AVENUE,MYRTLE AVENUE,NOSTRAND AVENUE,,,,,,,
58928176,2023-09-26T16:04:16.000,2023-09-26T16:44:51.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,11216,1397 FULTON STREET,FULTON STREET,MARCY AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T16:44:53.000,03 BROOKLYN,3018540065,BROOKLYN,999438,187084,MOBILE,Unspecified,BROOKLYN,40.680166096926015,-73.94524149412875,"{'latitude': '40.680166096926015', 'longitude': '-73.94524149412875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MARCY AVENUE,BROOKLYN AVENUE,FULTON STREET,,,,,,,
58931901,2023-09-26T16:04:15.000,2023-10-27T00:02:16.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Furniture Store,10314,2535 RICHMOND AVENUE,RICHMOND AVENUE,RICHMOND HILL ROAD,RING ROAD,ADDRESS,STATEN ISLAND,,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-27T00:02:20.000,02 STATEN ISLAND,5024000015,STATEN ISLAND,937494,153120,PHONE,Unspecified,STATEN ISLAND,40.58683184825288,-74.16833762356767,"{'latitude': '40.58683184825288', 'longitude': '-74.16833762356767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Business,RICHMOND HILL ROAD,RING ROAD,RICHMOND AVENUE,,,,,,,
