unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,due_date
58791221,2023-09-12T21:10:23.000,2023-09-12T23:00:33.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10016,101 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-12T23:00:36.000,05 MANHATTAN,1008850001,MANHATTAN,988872,210273,ONLINE,Unspecified,MANHATTAN,40.743826202627474,-73.9833200135365,"{'latitude': '40.743826202627474', 'longitude': '-73.9833200135365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58799813,2023-09-12T21:10:23.000,2023-09-12T21:17:32.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10016,101 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-12T21:17:36.000,05 MANHATTAN,1008850001,MANHATTAN,988872,210273,ONLINE,Unspecified,MANHATTAN,40.743826202627474,-73.9833200135365,"{'latitude': '40.743826202627474', 'longitude': '-73.9833200135365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58797658,2023-09-12T21:10:20.000,2023-09-12T22:20:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10459,1366 LYMAN PLACE,LYMAN PLACE,EAST  169 STREET,FREEMAN STREET,EAST  169 STREET,FREEMAN STREET,ADDRESS,BRONX,LYMAN PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T22:20:21.000,03 BRONX,2029700049,BRONX,1012886,241514,ONLINE,Unspecified,BRONX,40.8295291733699,-73.89652457121207,"{'latitude': '40.8295291733699', 'longitude': '-73.89652457121207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58789023,2023-09-12T21:10:00.000,2023-09-25T07:40:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11230,2217 EAST   12 STREET,EAST   12 STREET,AVE V,GRAVESEND NECK RD,EAST 12 STREET,FOSTER AVENUE,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T07:40:00.000,14 BROOKLYN,3073720080,BROOKLYN,993776,169835,UNKNOWN,Unspecified,BROOKLYN,40.63282928095417,-73.96567951654654,"{'latitude': '40.63282928095417', 'longitude': '-73.96567951654654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58796275,2023-09-12T21:09:54.000,2023-09-12T21:34:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11385,2112 GREENE AVENUE,GREENE AVENUE,GRANDVIEW AVENUE,RICARD STREET,GRANDVIEW AVENUE,RICARD STREET,ADDRESS,RIDGEWOOD,GREENE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T21:34:37.000,05 QUEENS,4033710017,QUEENS,1009891,197947,ONLINE,Unspecified,QUEENS,40.70995838823379,-73.90751313170067,"{'latitude': '40.70995838823379', 'longitude': '-73.90751313170067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58791959,2023-09-12T21:09:25.000,2023-09-12T21:47:30.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10314,145 EAST SERVICE ROAD,EAST SERVICE ROAD,GLEN STREET,W SHORE EXPRESSWAY EXIT    7 NB,GLEN STREET,W SHORE EXPRESSWAY EXIT    7 NB,ADDRESS,STATEN ISLAND,EAST SERVICE ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T21:47:35.000,02 STATEN ISLAND,5026380050,STATEN ISLAND,930819,153517,ONLINE,Unspecified,STATEN ISLAND,40.5878838093473,-74.1923729776601,"{'latitude': '40.5878838093473', 'longitude': '-74.1923729776601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58799101,2023-09-12T21:08:45.000,2023-09-12T21:35:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11385,2112 GREENE AVENUE,GREENE AVENUE,GRANDVIEW AVENUE,RICARD STREET,GRANDVIEW AVENUE,RICARD STREET,ADDRESS,RIDGEWOOD,GREENE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T21:35:45.000,05 QUEENS,4033710017,QUEENS,1009891,197947,ONLINE,Unspecified,QUEENS,40.70995838823379,-73.90751313170067,"{'latitude': '40.70995838823379', 'longitude': '-73.90751313170067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58793016,2023-09-12T21:08:38.000,2023-09-12T21:43:25.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10467,3303 PARKSIDE PLACE,PARKSIDE PLACE,EAST  209 STREET,WEBSTER AVENUE,EAST  209 STREET,WEBSTER AVENUE,ADDRESS,BRONX,PARKSIDE PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T21:43:30.000,07 BRONX,2033550156,BRONX,1019435,258542,ONLINE,Unspecified,BRONX,40.87624225986548,-73.87277059436838,"{'latitude': '40.87624225986548', 'longitude': '-73.87277059436838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58799643,2023-09-12T21:08:34.000,2023-09-13T04:24:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,60-73 68 ROAD,68 ROAD,60 LANE,FRESH POND ROAD,60 LANE,FRESH POND ROAD,ADDRESS,RIDGEWOOD,68 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T04:24:27.000,05 QUEENS,4035330039,QUEENS,1012808,195889,MOBILE,Unspecified,QUEENS,40.704300734013756,-73.89700027521106,"{'latitude': '40.704300734013756', 'longitude': '-73.89700027521106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58793377,2023-09-12T21:08:24.000,2023-09-12T21:22:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11103,35-25 30 AVENUE,30 AVENUE,35 STREET,36 STREET,35 STREET,36 STREET,ADDRESS,ASTORIA,30 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T21:22:45.000,01 QUEENS,4006290041,QUEENS,1006985,218100,ONLINE,Unspecified,QUEENS,40.76528130305112,-73.91792693488824,"{'latitude': '40.76528130305112', 'longitude': '-73.91792693488824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58798013,2023-09-12T21:08:21.000,2023-09-12T21:22:49.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,159-06 UNION TURNPIKE,UNION TURNPIKE,159 STREET,160 STREET,159 STREET,160 STREET,ADDRESS,FRESH MEADOWS,UNION TURNPIKE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T21:22:55.000,08 QUEENS,4068540028,QUEENS,1037538,201770,ONLINE,Unspecified,QUEENS,40.720328269590894,-73.80776061338688,"{'latitude': '40.720328269590894', 'longitude': '-73.80776061338688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58795128,2023-09-12T21:08:17.000,2023-09-12T21:23:11.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,159-06 UNION TURNPIKE,UNION TURNPIKE,159 STREET,160 STREET,159 STREET,160 STREET,ADDRESS,FRESH MEADOWS,UNION TURNPIKE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T21:23:14.000,08 QUEENS,4068540028,QUEENS,1037538,201770,ONLINE,Unspecified,QUEENS,40.720328269590894,-73.80776061338688,"{'latitude': '40.720328269590894', 'longitude': '-73.80776061338688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58791979,2023-09-12T21:08:03.000,2023-09-12T21:23:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11213,258 BUFFALO AVENUE,BUFFALO AVENUE,ST JOHNS PLACE,LINCOLN PLACE,ST JOHNS PLACE,LINCOLN PLACE,ADDRESS,BROOKLYN,BUFFALO AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T21:24:01.000,08 BROOKLYN,3013860043,BROOKLYN,1004932,183397,MOBILE,Unspecified,BROOKLYN,40.67003498418433,-73.92544486059133,"{'latitude': '40.67003498418433', 'longitude': '-73.92544486059133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58788651,2023-09-12T21:08:00.000,2023-09-13T10:53:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10023,170 WEST   73 STREET,WEST   73 STREET,COLUMBUS AVE,AMSTERDAM AVE,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-13T10:53:00.000,07 MANHATTAN,1011440061,MANHATTAN,989749,223039,ONLINE,Unspecified,MANHATTAN,40.77886509049186,-73.98014463203278,"{'latitude': '40.77886509049186', 'longitude': '-73.98014463203278', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58788639,2023-09-12T21:08:00.000,2023-09-14T01:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11234,4001 AVENUE V,AVENUE V,KIMBALL ST,COLEMAN ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-14T01:00:00.000,18 BROOKLYN,,BROOKLYN,1005655,160357,ONLINE,Unspecified,BROOKLYN,40.60679341390307,-73.92291165954883,"{'latitude': '40.60679341390307', 'longitude': '-73.92291165954883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58788834,2023-09-12T21:07:58.000,2023-09-12T22:14:03.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11235,904 SHORE BOULEVARD,SHORE BOULEVARD,GIRARD STREET,HASTINGS STREET,GIRARD STREET,HASTINGS STREET,ADDRESS,BROOKLYN,SHORE BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T22:14:05.000,15 BROOKLYN,3087467501,BROOKLYN,999278,151091,MOBILE,Unspecified,BROOKLYN,40.58137322103722,-73.94589850184029,"{'latitude': '40.58137322103722', 'longitude': '-73.94589850184029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58799129,2023-09-12T21:07:52.000,2023-09-12T21:35:25.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10035,49 EAST  118 STREET,EAST  118 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST  118 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T21:35:30.000,11 MANHATTAN,1017457501,MANHATTAN,999901,231152,MOBILE,Unspecified,MANHATTAN,40.80112094438419,-73.94346967039864,"{'latitude': '40.80112094438419', 'longitude': '-73.94346967039864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809374,2023-09-12T21:07:37.000,2023-09-12T21:07:37.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11355,142-01 41 AVENUE,41 AVENUE,,,,,ADDRESS,FLUSHING,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-12T00:00:00.000,07 QUEENS,4050210001,QUEENS,1032546,216003,UNKNOWN,Unspecified,QUEENS,40.75942290264157,-73.8256672901737,"{'latitude': '40.75942290264157', 'longitude': '-73.8256672901737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58794764,2023-09-12T21:07:36.000,2023-09-12T21:40:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10035,50 PALADINO AVENUE,PALADINO AVENUE,1 AVENUE,EAST  120 STREET,1 AVENUE,EAST  120 STREET,ADDRESS,NEW YORK,PALADINO AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T21:40:37.000,11 MANHATTAN,1018080001,MANHATTAN,1003628,230443,ONLINE,Unspecified,MANHATTAN,40.7991675460131,-73.93001005544936,"{'latitude': '40.7991675460131', 'longitude': '-73.93001005544936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58796390,2023-09-12T21:07:31.000,2023-09-14T17:06:48.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10467,96 EAST  208 STREET,EAST  208 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,07 BRONX,2033260035,BRONX,1016974,259345,PHONE,Unspecified,BRONX,40.87845571217602,-73.88166566778055,"{'latitude': '40.87845571217602', 'longitude': '-73.88166566778055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58790575,2023-09-12T21:07:31.000,2023-09-14T17:06:49.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10467,96 EAST  208 STREET,EAST  208 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,07 BRONX,2033260035,BRONX,1016974,259345,PHONE,Unspecified,BRONX,40.87845571217602,-73.88166566778055,"{'latitude': '40.87845571217602', 'longitude': '-73.88166566778055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58790565,2023-09-12T21:07:31.000,2023-09-14T17:06:48.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10467,96 EAST  208 STREET,EAST  208 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,07 BRONX,2033260035,BRONX,1016974,259345,PHONE,Unspecified,BRONX,40.87845571217602,-73.88166566778055,"{'latitude': '40.87845571217602', 'longitude': '-73.88166566778055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58797799,2023-09-12T21:07:31.000,2023-09-14T17:06:49.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10467,96 EAST  208 STREET,EAST  208 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,07 BRONX,2033260035,BRONX,1016974,259345,PHONE,Unspecified,BRONX,40.87845571217602,-73.88166566778055,"{'latitude': '40.87845571217602', 'longitude': '-73.88166566778055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58794908,2023-09-12T21:07:28.000,2023-09-14T08:27:03.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10456,1400 MORRIS AVENUE,MORRIS AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-14T00:00:00.000,04 BRONX,2027860002,BRONX,1008810,244633,ONLINE,Unspecified,BRONX,40.83810219968399,-73.91124165870477,"{'latitude': '40.83810219968399', 'longitude': '-73.91124165870477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58796445,2023-09-12T21:07:26.000,2023-10-05T06:59:15.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11358,43-19 160 STREET,160 STREET,,,,,ADDRESS,FLUSHING,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-05T00:00:00.000,07 QUEENS,4054180026,QUEENS,1037964,215683,ONLINE,Unspecified,QUEENS,40.758513330879964,-73.80611270562918,"{'latitude': '40.758513330879964', 'longitude': '-73.80611270562918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58793510,2023-09-12T21:07:26.000,2023-09-13T19:06:41.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11692,330 BEACH   66 STREET,BEACH   66 STREET,,,,,ADDRESS,ARVERNE,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-13T00:00:00.000,14 QUEENS,4159100032,QUEENS,1041163,155127,PHONE,Unspecified,QUEENS,40.59228125229962,-73.79507691301359,"{'latitude': '40.59228125229962', 'longitude': '-73.79507691301359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58789146,2023-09-12T21:07:25.000,2023-09-12T21:28:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,1730 ANDREWS AVENUE SOUTH,ANDREWS AVENUE SOUTH,WEST  176 STREET,WEST TREMONT AVENUE,WEST  176 STREET,WEST TREMONT AVENUE,ADDRESS,BRONX,ANDREWS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T21:28:22.000,05 BRONX,2028780178,BRONX,1007075,249031,MOBILE,Unspecified,BRONX,40.85017807004264,-73.91749686918405,"{'latitude': '40.85017807004264', 'longitude': '-73.91749686918405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
