unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,vehicle_type,taxi_company_borough
58784830,2023-09-11T22:04:16.000,2023-09-11T22:24:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11358,35-31 167 STREET,167 STREET,35 AVENUE,CROCHERON AVENUE,35 AVENUE,CROCHERON AVENUE,ADDRESS,FLUSHING,167 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T22:24:09.000,07 QUEENS,4052910026,QUEENS,1040006,217781,ONLINE,Unspecified,QUEENS,40.76425914543294,-73.79872448003881,"{'latitude': '40.76425914543294', 'longitude': '-73.79872448003881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58783458,2023-09-11T22:03:45.000,2023-09-11T22:25:12.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11207,863 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE,SCHAEFER STREET,DECATUR STREET,SCHAEFER STREET,DECATUR STREET,ADDRESS,BROOKLYN,KNICKERBOCKER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T22:25:17.000,04 BROOKLYN,3034310007,BROOKLYN,1010472,191213,ONLINE,Unspecified,BROOKLYN,40.6914734415276,-73.90544369039183,"{'latitude': '40.6914734415276', 'longitude': '-73.90544369039183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58778507,2023-09-11T22:03:43.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10014,9 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-17T13:43:03.000,02 MANHATTAN,1006100060,MANHATTAN,984321,206773,ONLINE,Unspecified,MANHATTAN,40.73422077835763,-73.99974381040386,"{'latitude': '40.73422077835763', 'longitude': '-73.99974381040386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","9 GREENWICH AVENUE, MANHATTAN (NEW YORK), NY, 10014",,,,,,,,
58777829,2023-09-11T22:03:18.000,2023-09-11T22:41:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,265 WEST  114 STREET,WEST  114 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  114 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-11T22:41:30.000,10 MANHATTAN,1018300011,MANHATTAN,996586,231745,MOBILE,Unspecified,MANHATTAN,40.80275381673463,-73.95544212929333,"{'latitude': '40.80275381673463', 'longitude': '-73.95544212929333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58785829,2023-09-11T22:03:00.000,2023-09-12T10:18:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10023,170 AMSTERDAM AVENUE,AMSTERDAM AVENUE,W 66 ST,W 68 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-12T10:18:00.000,07 MANHATTAN,1011580012,MANHATTAN,988757,221909,ONLINE,Unspecified,MANHATTAN,40.775764099670766,-73.98372722750813,"{'latitude': '40.775764099670766', 'longitude': '-73.98372722750813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,,
58781304,2023-09-11T22:03:00.000,2023-09-19T14:56:53.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10011,534 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST   14 STREET,WEST   15 STREET,WEST   14 STREET,WEST   15 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-09-19T14:56:50.000,05 MANHATTAN,1008167504,MANHATTAN,985176,208001,ONLINE,Unspecified,MANHATTAN,40.73759128703085,-73.99665854131565,"{'latitude': '40.73759128703085', 'longitude': '-73.99665854131565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","534 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10011",,,,,,,,
58782702,2023-09-11T22:02:17.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10011,520 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST   13 STREET,WEST   14 STREET,WEST   13 STREET,WEST   14 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-11-27T08:55:42.000,02 MANHATTAN,1005777502,MANHATTAN,985075,207819,ONLINE,Unspecified,MANHATTAN,40.73709175205635,-73.99702302079145,"{'latitude': '40.73709175205635', 'longitude': '-73.99702302079145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","520 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10011",,,,,,,,
58781570,2023-09-11T22:02:00.000,2023-09-12T01:50:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11219,4614 FORT HAMILTON PARKWA,FORT HAMILTON PARKWA,46 ST,47 ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-12T01:50:00.000,12 BROOKLYN,3056200034,BROOKLYN,985444,172335,PHONE,Unspecified,BROOKLYN,40.63969629031993,-73.99569778781118,"{'latitude': '40.63969629031993', 'longitude': '-73.99569778781118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58787265,2023-09-11T22:02:00.000,2023-09-12T01:10:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11230,612 AVENUE I,AVENUE I,OCEAN PKWY,E 7 ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-12T01:10:00.000,12 BROOKLYN,3065190003,BROOKLYN,992466,167573,PHONE,Unspecified,BROOKLYN,40.626621880469386,-73.97040196677192,"{'latitude': '40.626621880469386', 'longitude': '-73.97040196677192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58778835,2023-09-11T22:02:00.000,2023-09-12T11:20:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10310,771 CLOVE ROAD,CLOVE ROAD,GLENWOOD PL,BROADWAY,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-12T11:20:00.000,01 STATEN ISLAND,5003140252,STATEN ISLAND,952381,166519,MOBILE,Unspecified,STATEN ISLAND,40.62367536093952,-74.11480262070445,"{'latitude': '40.62367536093952', 'longitude': '-74.11480262070445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58780434,2023-09-11T22:01:52.000,2023-09-11T23:13:02.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11368,108-11 37 AVENUE,37 AVENUE,108 STREET,109 STREET,108 STREET,109 STREET,ADDRESS,CORONA,37 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-11T23:13:08.000,03 QUEENS,4017520041,QUEENS,1023071,213990,ONLINE,Unspecified,QUEENS,40.753944418023536,-73.85988048815562,"{'latitude': '40.753944418023536', 'longitude': '-73.85988048815562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58782844,2023-09-11T22:01:41.000,,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Street,11692,BEACH   62 STREET,BEACH   62 STREET,BEACH   62 STREET,ROCKAWAY BEACH BOULEVARD,BEACH   62 STREET,ROCKAWAY BEACH BOULEVARD,INTERSECTION,,,In Progress,,2022-08-30T06:57:21.000,14 QUEENS,,QUEENS,1042198,154982,PHONE,Unspecified,QUEENS,40.59187655121632,-73.79135151065421,"{'latitude': '40.59187655121632', 'longitude': '-73.79135151065421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58786970,2023-09-11T22:01:35.000,2023-11-02T13:47:39.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10001,1211 BROADWAY,BROADWAY,WEST   29 STREET,WEST   30 STREET,WEST   29 STREET,WEST   30 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-02T13:47:46.000,05 MANHATTAN,1008310068,MANHATTAN,987421,211168,ONLINE,Unspecified,MANHATTAN,40.74628339283645,-73.98855599572993,"{'latitude': '40.74628339283645', 'longitude': '-73.98855599572993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","1211 BROADWAY, MANHATTAN (NEW YORK), NY, 10001",,,,,,,,
58781639,2023-09-11T22:01:14.000,2023-09-11T22:45:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11377,68-09 32 AVENUE,32 AVENUE,68 STREET,69 STREET,68 STREET,69 STREET,ADDRESS,WOODSIDE,32 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-11T22:46:00.000,03 QUEENS,4011390033,QUEENS,1012310,214844,PHONE,Unspecified,QUEENS,40.756329126854105,-73.89871735759611,"{'latitude': '40.756329126854105', 'longitude': '-73.89871735759611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58785036,2023-09-11T22:01:09.000,2023-09-26T20:39:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10009,321 EAST    3 STREET,EAST    3 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,03 MANHATTAN,1003730043,MANHATTAN,989915,202047,ONLINE,Unspecified,MANHATTAN,40.72124724681916,-73.97956293579334,"{'latitude': '40.72124724681916', 'longitude': '-73.97956293579334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58783638,2023-09-11T22:01:00.000,2023-09-14T08:44:09.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11365,67-40A 193 LANE,193 LANE,,,,,ADDRESS,FRESH MEADOWS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-14T00:00:00.000,08 QUEENS,4071170008,QUEENS,1045206,207954,PHONE,Unspecified,QUEENS,40.73725227408406,-73.78004197275922,"{'latitude': '40.73725227408406', 'longitude': '-73.78004197275922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58786971,2023-09-11T22:00:55.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10001,341 7 AVENUE,7 AVENUE,WEST   29 STREET,WEST   30 STREET,WEST   29 STREET,WEST   30 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-06T09:31:29.000,05 MANHATTAN,1008050001,MANHATTAN,986236,211772,ONLINE,Unspecified,MANHATTAN,40.74794156663923,-73.99283243199557,"{'latitude': '40.74794156663923', 'longitude': '-73.99283243199557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","341 7 AVENUE, MANHATTAN (NEW YORK), NY, 10001",,,,,,,,
58778508,2023-09-11T22:00:12.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10001,301 WEST   29 STREET,WEST   29 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   29 STREET,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T12:06:10.000,04 MANHATTAN,1007530035,MANHATTAN,985311,212245,ONLINE,Unspecified,MANHATTAN,40.74923999191611,-73.99617072614878,"{'latitude': '40.74923999191611', 'longitude': '-73.99617072614878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","301 WEST   29 STREET, MANHATTAN (NEW YORK), NY, 10001",,,,,,,,
58780516,2023-09-11T22:00:10.000,2023-09-11T22:10:23.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11429,224-20 95 AVENUE,95 AVENUE,224 STREET,225 STREET,224 STREET,225 STREET,ADDRESS,QUEENS VILLAGE,95 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T22:10:26.000,13 QUEENS,4108120025,QUEENS,1059016,201829,MOBILE,Unspecified,QUEENS,40.72033476239432,-73.73027731282332,"{'latitude': '40.72033476239432', 'longitude': '-73.73027731282332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58777833,2023-09-11T22:00:00.000,2023-09-11T22:03:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11226,1044 FLATBUSH AVENUE,FLATBUSH AVENUE,REGENT PLACE,DURYEA PLACE,REGENT PLACE,DURYEA PLACE,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-11T22:03:11.000,14 BROOKLYN,3051250065,BROOKLYN,995886,174516,MOBILE,Unspecified,BROOKLYN,40.64567510317057,-73.95806949019844,"{'latitude': '40.64567510317057', 'longitude': '-73.95806949019844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58799454,2023-09-11T21:59:18.000,2023-09-20T00:00:00.000,DOB,Department of Buildings,Borough Office,Restroom Non-Complaince With Local Law 79/16,,10029,2029 SECOND AVENUE,SECOND AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-20T00:00:00.000,11 MANHATTAN,1016540011,MANHATTAN,999954,226908,UNKNOWN,Unspecified,MANHATTAN,40.78947222299533,-73.94328816237638,"{'latitude': '40.78947222299533', 'longitude': '-73.94328816237638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,,
58783289,2023-09-11T21:59:13.000,2023-09-11T22:43:48.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11423,183-11 89 AVENUE,89 AVENUE,183 STREET,184 STREET,183 STREET,184 STREET,ADDRESS,HOLLIS,89 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-11T22:43:52.000,12 QUEENS,4099300004,QUEENS,1045737,198922,ONLINE,Unspecified,QUEENS,40.71245803001043,-73.77820840256602,"{'latitude': '40.71245803001043', 'longitude': '-73.77820840256602', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58777533,2023-09-11T21:59:06.000,2023-09-11T22:56:22.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10462,960 BRADY AVENUE,BRADY AVENUE,BOGART AVENUE,RADCLIFF AVENUE,BOGART AVENUE,RADCLIFF AVENUE,ADDRESS,BRONX,BRADY AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-11T22:56:27.000,11 BRONX,2042960022,BRONX,1022748,249815,ONLINE,Unspecified,BRONX,40.85227548845286,-73.86084089579276,"{'latitude': '40.85227548845286', 'longitude': '-73.86084089579276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58779218,2023-09-11T21:59:03.000,2023-09-11T22:25:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11215,493 FIFTH AVENUE,FIFTH AVENUE,11 STREET,12 STREET,11 STREET,12 STREET,ADDRESS,BROOKLYN,5 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T22:25:05.000,06 BROOKLYN,3010230001,BROOKLYN,987667,182467,MOBILE,Unspecified,BROOKLYN,40.66750584002492,-73.98768275690637,"{'latitude': '40.66750584002492', 'longitude': '-73.98768275690637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58785968,2023-09-11T21:58:56.000,2023-09-11T22:01:43.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11210,1620 NEW YORK AVENUE,NEW YORK AVENUE,GLENWOOD ROAD,AVENUE H,GLENWOOD ROAD,AVENUE H,ADDRESS,BROOKLYN,NEW YORK AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-11T22:01:46.000,17 BROOKLYN,3075600057,BROOKLYN,999577,169955,ONLINE,Unspecified,BROOKLYN,40.633150517544664,-73.94477927741173,"{'latitude': '40.633150517544664', 'longitude': '-73.94477927741173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58779150,2023-09-11T21:58:37.000,2023-09-11T22:26:52.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11216,43 BROOKLYN AVENUE,BROOKLYN AVENUE,HERKIMER STREET,ATLANTIC AVENUE,HERKIMER STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,BROOKLYN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T22:26:57.000,03 BROOKLYN,3018690001,BROOKLYN,999755,186502,ONLINE,Unspecified,BROOKLYN,40.67856808953683,-73.94409992813941,"{'latitude': '40.67856808953683', 'longitude': '-73.94409992813941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
