unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,taxi_pick_up_location
58918138,2023-09-25T10:06:42.000,2023-10-09T16:58:04.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11355,41-42 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FLUSHING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,07 QUEENS,4050490032,QUEENS,1033826,216003,PHONE,Unspecified,QUEENS,40.7594158180094,-73.82104692294388,"{'latitude': '40.7594158180094', 'longitude': '-73.82104692294388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58921664,2023-09-25T10:06:42.000,2023-10-09T16:58:04.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11355,41-42 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FLUSHING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,07 QUEENS,4050490032,QUEENS,1033826,216003,PHONE,Unspecified,QUEENS,40.7594158180094,-73.82104692294388,"{'latitude': '40.7594158180094', 'longitude': '-73.82104692294388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58924049,2023-09-25T10:06:28.000,2023-11-27T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11225,388 MIDWOOD STREET,MIDWOOD STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-27T00:00:00.000,09 BROOKLYN,3048010037,BROOKLYN,998621,179830,UNKNOWN,Unspecified,BROOKLYN,40.66025685626258,-73.94820255346015,"{'latitude': '40.66025685626258', 'longitude': '-73.94820255346015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58918004,2023-09-25T10:06:04.000,2023-09-25T10:06:04.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11249,119 SOUTH    1 STREET,SOUTH    1 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T00:00:00.000,01 BROOKLYN,3023920044,BROOKLYN,994593,199509,UNKNOWN,Unspecified,BROOKLYN,40.714276814193205,-73.96269047591936,"{'latitude': '40.714276814193205', 'longitude': '-73.96269047591936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58919272,2023-09-25T10:05:53.000,2023-09-25T19:10:58.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-25T00:00:00.000,05 BROOKLYN,3042719001,BROOKLYN,1021474,183447,ONLINE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58921762,2023-09-25T10:05:53.000,2023-09-25T19:10:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,05 BROOKLYN,3042719001,BROOKLYN,1021474,183447,ONLINE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58923190,2023-09-25T10:05:50.000,2023-09-26T05:47:27.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11419,134-31 97 AVENUE,97 AVENUE,ADDRESS,SOUTH RICHMOND HILL,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T05:47:29.000,09 QUEENS,4094820030,QUEENS,1035816,192449,PHONE,Unspecified,QUEENS,40.69475459055278,-73.81404418687858,"{'latitude': '40.69475459055278', 'longitude': '-73.81404418687858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",134 STREET,VAN WYCK EXPRESSWAY,134 STREET,VAN WYCK EXPRESSWAY,97 AVENUE,,,,,,
58918446,2023-09-25T10:05:17.000,2023-09-25T10:48:13.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11213,1170 PARK PLACE,PARK PLACE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T10:48:17.000,08 BROOKLYN,3013700014,BROOKLYN,1001217,184403,ONLINE,Unspecified,BROOKLYN,40.672804127432634,-73.93883427514193,"{'latitude': '40.672804127432634', 'longitude': '-73.93883427514193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALBANY AVENUE,TROY AVENUE,ALBANY AVENUE,TROY AVENUE,PARK PLACE,,,,,,
58921022,2023-09-25T10:05:15.000,2023-10-26T00:00:52.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Car Rental,Business,11369,22-61 94 STREET,94 STREET,ADDRESS,EAST ELMHURST,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-26T00:00:58.000,03 QUEENS,4010710050,QUEENS,1018499,219423,PHONE,Unspecified,QUEENS,40.76887548371745,-73.87635484366557,"{'latitude': '40.76887548371745', 'longitude': '-73.87635484366557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DITMARS BOULEVARD,23 AVENUE,DITMARS BOULEVARD,23 AVENUE,94 STREET,,,,,,
58918657,2023-09-25T10:05:12.000,2023-09-25T11:56:02.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,11232,4110 3 AVENUE,3 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-25T11:56:06.000,07 BROOKLYN,3007170041,BROOKLYN,981619,177039,ONLINE,Unspecified,BROOKLYN,40.652607444251586,-74.00948183486092,"{'latitude': '40.652607444251586', 'longitude': '-74.00948183486092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41 STREET,42 STREET,41 STREET,42 STREET,3 AVENUE,,,,,,
58924290,2023-09-25T10:05:12.000,2023-09-25T11:10:53.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11232,4110 3 AVENUE,3 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-25T11:11:00.000,07 BROOKLYN,3007170041,BROOKLYN,981619,177039,ONLINE,Unspecified,BROOKLYN,40.652607444251586,-74.00948183486092,"{'latitude': '40.652607444251586', 'longitude': '-74.00948183486092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41 STREET,42 STREET,41 STREET,42 STREET,3 AVENUE,,,,,,
58922255,2023-09-25T10:05:00.000,2023-09-25T12:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304,576 MOSEL AVENUE,MOSEL AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,2023-09-25T12:15:00.000,02 STATEN ISLAND,5031590061,STATEN ISLAND,960528,159314,ONLINE,Unspecified,STATEN ISLAND,40.603924693475996,-74.08542915633531,"{'latitude': '40.603924693475996', 'longitude': '-74.08542915633531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRASMERE AVE,GARRETSON LN,,,,,,,,,
58918816,2023-09-25T10:05:00.000,2023-09-26T11:25:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10306,81 MANILA AVENUE,MANILA AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-26T11:25:00.000,03 STATEN ISLAND,5040580082,STATEN ISLAND,954005,143594,ONLINE,Unspecified,STATEN ISLAND,40.56075657857677,-74.10884982522089,"{'latitude': '40.56075657857677', 'longitude': '-74.10884982522089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ISERNIA AVE,TYSENS LN,,,,N/A,,,,,
58924479,2023-09-25T10:05:00.000,2023-11-15T11:55:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11373,55-23 92 STREET,92 STREET,ADDRESS,ELMHURST,Closed,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,2023-11-15T11:55:00.000,04 QUEENS,4018710058,QUEENS,1020193,207844,PHONE,Unspecified,QUEENS,40.737087373927096,-73.87030109607564,"{'latitude': '40.737087373927096', 'longitude': '-73.87030109607564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",55 AVE,56 AVE,,,,,,,,,
58920228,2023-09-25T10:05:00.000,2023-09-25T10:14:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11694,150 BEACH  115 STREET,BEACH  115 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T10:14:09.000,14 QUEENS,4161870057,QUEENS,1029889,150310,PHONE,Unspecified,QUEENS,40.579124790193184,-73.83570292500706,"{'latitude': '40.579124790193184', 'longitude': '-73.83570292500706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,BEACH  115 STREET,,,,,,
58919720,2023-09-25T10:04:45.000,2023-09-29T01:07:21.000,DHS,Department of Homeless Services,Encampment,N/A,Residential Building/House,10016,99 MADISON AVENUE,MADISON AVENUE,ADDRESS,NEW YORK,Closed,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",2023-09-29T01:07:26.000,05 MANHATTAN,1008590024,MANHATTAN,988369,210613,MOBILE,Unspecified,MANHATTAN,40.744759666171056,-73.98513504396433,"{'latitude': '40.744759666171056', 'longitude': '-73.98513504396433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   29 STREET,EAST   30 STREET,EAST   29 STREET,EAST   30 STREET,MADISON AVENUE,,,,,,
58922048,2023-09-25T10:04:45.000,2023-09-25T10:20:37.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10016,99 MADISON AVENUE,MADISON AVENUE,ADDRESS,NEW YORK,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-25T10:20:43.000,05 MANHATTAN,1008590024,MANHATTAN,988369,210613,MOBILE,Unspecified,MANHATTAN,40.744759666171056,-73.98513504396433,"{'latitude': '40.744759666171056', 'longitude': '-73.98513504396433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   29 STREET,EAST   30 STREET,EAST   29 STREET,EAST   30 STREET,MADISON AVENUE,,,,,,
58916727,2023-09-25T10:03:50.000,2023-09-25T12:36:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10455,571 TIMPSON PLACE,TIMPSON PLACE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T12:37:01.000,02 BRONX,2026030043,BRONX,1011179,235023,MOBILE,Unspecified,BRONX,40.81171859082194,-73.90271881336552,"{'latitude': '40.81171859082194', 'longitude': '-73.90271881336552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  149 STREET,AVENUE ST JOHN,EAST  149 STREET,AVENUE ST JOHN,TIMPSON PLACE,,,,,,
58919265,2023-09-25T10:03:50.000,2023-09-26T11:07:55.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10304,225 PARK HILL AVENUE,PARK HILL AVENUE,ADDRESS,STATEN ISLAND,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-26T00:00:00.000,01 STATEN ISLAND,5029220150,STATEN ISLAND,961334,162928,PHONE,Unspecified,STATEN ISLAND,40.613846498921006,-74.0825388036525,"{'latitude': '40.613846498921006', 'longitude': '-74.0825388036525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58922961,2023-09-25T10:03:39.000,2023-09-26T04:59:19.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10464,734 KING AVENUE,KING AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T04:59:22.000,10 BRONX,2056480263,BRONX,1042461,252013,ONLINE,Unspecified,BRONX,40.8582003640902,-73.78956525942795,"{'latitude': '40.8582003640902', 'longitude': '-73.78956525942795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEND,DEAD END,BEND,DEAD END,KING AVENUE,,,,,,
58918369,2023-09-25T10:03:38.000,2023-09-27T20:38:33.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,RESIDENTIAL BUILDING,11220,4501 6 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 BROOKLYN,3007490005,BROOKLYN,982784,174810,ONLINE,Unspecified,BROOKLYN,40.646489592379254,-74.0052828184463,"{'latitude': '40.646489592379254', 'longitude': '-74.0052828184463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58920314,2023-09-25T10:03:38.000,2023-09-27T20:38:32.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11220,4501 6 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 BROOKLYN,3007490005,BROOKLYN,982784,174810,ONLINE,Unspecified,BROOKLYN,40.646489592379254,-74.0052828184463,"{'latitude': '40.646489592379254', 'longitude': '-74.0052828184463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58924004,2023-09-25T10:03:38.000,2023-09-27T20:38:32.000,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11220,4501 6 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 BROOKLYN,3007490005,BROOKLYN,982784,174810,ONLINE,Unspecified,BROOKLYN,40.646489592379254,-74.0052828184463,"{'latitude': '40.646489592379254', 'longitude': '-74.0052828184463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58917236,2023-09-25T10:03:38.000,2023-09-27T20:38:32.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11220,4501 6 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,07 BROOKLYN,3007490005,BROOKLYN,982784,174810,ONLINE,Unspecified,BROOKLYN,40.646489592379254,-74.0052828184463,"{'latitude': '40.646489592379254', 'longitude': '-74.0052828184463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58917019,2023-09-25T10:03:38.000,2023-09-27T20:38:32.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11220,4501 6 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 BROOKLYN,3007490005,BROOKLYN,982784,174810,ONLINE,Unspecified,BROOKLYN,40.646489592379254,-74.0052828184463,"{'latitude': '40.646489592379254', 'longitude': '-74.0052828184463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58920440,2023-09-25T10:03:38.000,2023-09-27T20:38:32.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11220,4501 6 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 BROOKLYN,3007490005,BROOKLYN,982784,174810,ONLINE,Unspecified,BROOKLYN,40.646489592379254,-74.0052828184463,"{'latitude': '40.646489592379254', 'longitude': '-74.0052828184463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58923709,2023-09-25T10:03:05.000,2023-09-25T10:19:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11375,102-30 QUEENS BOULEVARD,QUEENS BOULEVARD,ADDRESS,FOREST HILLS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T10:19:23.000,06 QUEENS,4031737501,QUEENS,1025568,203636,ONLINE,Unspecified,QUEENS,40.725513985000454,-73.85093149470026,"{'latitude': '40.725513985000454', 'longitude': '-73.85093149470026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",68 AVENUE,68 ROAD,68 AVENUE,68 ROAD,QUEENS BOULEVARD,,,,,,
58923497,2023-09-25T10:03:03.000,2023-09-25T11:05:42.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10460,GARFIELD STREET,GARFIELD STREET,INTERSECTION,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T11:05:34.000,11 BRONX,,BRONX,1020774,246247,PHONE,Unspecified,BRONX,40.84249077739232,-73.86799575765602,"{'latitude': '40.84249077739232', 'longitude': '-73.86799575765602', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GARFIELD STREET,VAN NEST AVENUE,GARFIELD STREET,VAN NEST AVENUE,,,,,,,
