unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,incident_address,street_name,cross_street_1,cross_street_2,landmark,bbl,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58845110,2023-09-17T20:30:56.000,2023-09-20T14:13:51.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,11219,59 STREET,60 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation collected the requested items.,2023-09-20T04:37:02.000,12 BROOKLYN,BROOKLYN,985388,168057,ONLINE,Unspecified,BROOKLYN,40.62795409549037,-73.99590028803212,"{'latitude': '40.62795409549037', 'longitude': '-73.99590028803212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,5914 14 AVENUE,14 AVENUE,59 STREET,60 STREET,14 AVENUE,3057120066,,,,,,
58839461,2023-09-17T20:30:41.000,2023-09-18T01:47:03.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11208,COZINE AVENUE,CRESCENT STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T01:47:11.000,05 BROOKLYN,BROOKLYN,1021233,180579,ONLINE,Unspecified,BROOKLYN,40.662247121158224,-73.86669802041624,"{'latitude': '40.662247121158224', 'longitude': '-73.86669802041624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,COZINE AVENUE,COZINE AVENUE,COZINE AVENUE,CRESCENT STREET,,,,,,,,
58842239,2023-09-17T20:30:41.000,2023-09-17T20:48:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11231,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T20:48:45.000,06 BROOKLYN,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,UNION STREET,3003370027,,,,,,
58839754,2023-09-17T20:30:28.000,2023-09-17T20:30:28.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11429,217 LANE,218 STREET,ADDRESS,QUEENS VILLAGE,,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-17T20:30:28.000,13 QUEENS,QUEENS,1056658,199579,ONLINE,Unspecified,QUEENS,40.71417869381228,-73.73880808622826,"{'latitude': '40.71417869381228', 'longitude': '-73.73880808622826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Commercial Building,217-80 HEMPSTEAD AVENUE,HEMPSTEAD AVENUE,217 LANE,218 STREET,HEMPSTEAD AVENUE,4111060029,,,,,,
58839283,2023-09-17T20:30:21.000,2023-09-17T20:35:00.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,10464,,PARK DRIVE,UNRECOGNIZED,BRONX,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-17T20:35:04.000,28 BRONX,BRONX,1036955,255379,ONLINE,Pelham Bay Park,BRONX,40.86747358275403,-73.8094430998493,"{'latitude': '40.86747358275403', 'longitude': '-73.8094430998493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Park/Playground,PELHAM BAY PARK,PELHAM BAY PARK,,PARK DRIVE,PELHAM BAY PARK,2056500001,,,,,,
58838459,2023-09-17T20:30:16.000,2023-09-17T21:40:53.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10459,FREEMAN STREET,LOUIS NINE BOULEVARD,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T21:41:00.000,03 BRONX,BRONX,1014190,241816,MOBILE,Unspecified,BRONX,40.83035375209424,-73.89181125858734,"{'latitude': '40.83035375209424', 'longitude': '-73.89181125858734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,1284 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,FREEMAN STREET,LOUIS NINE BOULEVARD,SOUTHERN BOULEVARD,2029800001,,,,,,
58845567,2023-09-17T20:30:07.000,2023-09-18T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,10026,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-18T00:00:00.000,10 MANHATTAN,MANHATTAN,996469,230627,UNKNOWN,Unspecified,MANHATTAN,40.79968537556885,-73.95586677002987,"{'latitude': '40.79968537556885', 'longitude': '-73.95586677002987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,207 WEST  110 STREET,WEST  110 STREET,,,,1018260022,,,,,,
58837949,2023-09-17T20:30:02.000,2023-09-17T22:03:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11373,92 STREET,94 STREET,ADDRESS,ELMHURST,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T22:03:56.000,04 QUEENS,QUEENS,1020342,207662,MOBILE,Unspecified,QUEENS,40.73658722268663,-73.86976441262823,"{'latitude': '40.73658722268663', 'longitude': '-73.86976441262823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,92-45 56 AVENUE,56 AVENUE,92 STREET,94 STREET,56 AVENUE,4018710035,,,,,,
58838123,2023-09-17T20:29:40.000,2023-09-17T22:26:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10461,PIERCE AVENUE,VAN NEST AVENUE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T22:26:46.000,11 BRONX,BRONX,1026346,248523,PHONE,Unspecified,BRONX,40.848712914901476,-73.84784330653945,"{'latitude': '40.848712914901476', 'longitude': '-73.84784330653945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,1644 HERING AVENUE,HERING AVENUE,PIERCE AVENUE,VAN NEST AVENUE,HERING AVENUE,2041130058,,,,,,
58841167,2023-09-17T20:29:36.000,2023-09-18T01:49:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11207,BARBEY STREET,VERMONT PLACE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T01:49:31.000,05 BROOKLYN,BROOKLYN,1014788,188524,ONLINE,Unspecified,BROOKLYN,40.68407891936397,-73.88989243450277,"{'latitude': '40.68407891936397', 'longitude': '-73.88989243450277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,355 HIGHLAND BOULEVARD,HIGHLAND BOULEVARD,BARBEY STREET,VERMONT PLACE,HIGHLAND BOULEVARD,3038910435,,,,,,
58837659,2023-09-17T20:29:13.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,10305,AUSTIN AVENUE,MILLS AVENUE,ADDRESS,STATEN ISLAND,,In Progress,,2023-11-27T07:42:27.000,02 STATEN ISLAND,STATEN ISLAND,965792,155466,ONLINE,Unspecified,STATEN ISLAND,40.59337524241609,-74.06646160317219,"{'latitude': '40.59337524241609', 'longitude': '-74.06646160317219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,139 ROBIN ROAD,ROBIN ROAD,AUSTIN AVENUE,MILLS AVENUE,ROBIN ROAD,5031160112,,,,,,
58839030,2023-09-17T20:29:07.000,2023-09-17T23:10:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11103,30 AVENUE,31 AVENUE,ADDRESS,ASTORIA,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T23:10:42.000,01 QUEENS,QUEENS,1008337,216976,MOBILE,Unspecified,QUEENS,40.76219263409763,-73.9130502625778,"{'latitude': '40.76219263409763', 'longitude': '-73.9130502625778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,30-23 43 STREET,43 STREET,30 AVENUE,31 AVENUE,43 STREET,4006970056,,,,,,
58843174,2023-09-17T20:29:00.000,2023-09-25T08:00:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",11212,,,ADDRESS,BROOKLYN,N/A,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T08:00:00.000,16 BROOKLYN,BROOKLYN,1008084,180390,ONLINE,Unspecified,BROOKLYN,40.66177351662376,-73.91409306688556,"{'latitude': '40.66177351662376', 'longitude': '-73.91409306688556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,108 LIVONIA AVENUE,LIVONIA AVENUE,STRAUSS ST,HERZL ST,,3035840132,,,,,,
58842219,2023-09-17T20:28:45.000,2023-09-17T22:09:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11238,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T22:09:46.000,08 BROOKLYN,BROOKLYN,995996,186608,PHONE,Unspecified,BROOKLYN,40.678864821549226,-73.95765203826966,"{'latitude': '40.678864821549226', 'longitude': '-73.95765203826966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,1077 PACIFIC STREET,PACIFIC STREET,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,PACIFIC STREET,3011260083,,,,,,
58837954,2023-09-17T20:28:40.000,2023-09-17T22:34:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11419,128 STREET,129 STREET,ADDRESS,SOUTH RICHMOND HILL,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T22:34:16.000,10 QUEENS,QUEENS,1035380,189439,ONLINE,Unspecified,QUEENS,40.6864953820994,-73.81563931770984,"{'latitude': '40.6864953820994', 'longitude': '-73.81563931770984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,128-08 107 AVENUE,107 AVENUE,128 STREET,129 STREET,107 AVENUE,4096080003,,,,,,
