unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58947715,2023-09-28T11:37:46.000,2023-10-12T18:59:41.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11234,6910 AVENUE U,AVENUE U,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-12T00:00:00.000,18 BROOKLYN,BROOKLYN,1009582,164801,PHONE,Unspecified,BROOKLYN,40.618980915279145,-73.90875223099572,"{'latitude': '40.618980915279145', 'longitude': '-73.90875223099572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3084290036,,,,,,,,,
58954789,2023-09-28T11:37:43.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",,11436,119-17 146 STREET,146 STREET,,,,,ADDRESS,JAMAICA,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-03T00:00:00.000,12 QUEENS,QUEENS,1041453,186471,UNKNOWN,Unspecified,QUEENS,40.67831175453546,-73.79376702632648,"{'latitude': '40.67831175453546', 'longitude': '-73.79376702632648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4120270068,,,,,,,,,
58952159,2023-09-28T11:37:32.000,2023-09-28T12:30:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,515 73 STREET,73 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,73 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T12:30:15.000,10 BROOKLYN,BROOKLYN,978293,169073,MOBILE,Unspecified,BROOKLYN,40.630740871374805,-74.02146133938759,"{'latitude': '40.630740871374805', 'longitude': '-74.02146133938759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58947738,2023-09-28T11:37:28.000,2023-10-05T08:12:08.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10467,2451 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,BRONX,1020630,253468,ONLINE,Unspecified,BRONX,40.862310849582975,-73.86847701370414,"{'latitude': '40.862310849582975', 'longitude': '-73.86847701370414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2044250036,,,,,,,,,
58953912,2023-09-28T11:37:28.000,2023-10-05T08:12:08.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10467,2451 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,11 BRONX,BRONX,1020630,253468,ONLINE,Unspecified,BRONX,40.862310849582975,-73.86847701370414,"{'latitude': '40.862310849582975', 'longitude': '-73.86847701370414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2044250036,,,,,,,,,
58946485,2023-09-28T11:37:27.000,2023-09-29T13:27:41.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10033,725 WEST  184 STREET,WEST  184 STREET,,,,,ADDRESS,NEW YORK,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-29T00:00:00.000,12 MANHATTAN,MANHATTAN,1001985,249838,ONLINE,Unspecified,MANHATTAN,40.85240473614685,-73.935893015454,"{'latitude': '40.85240473614685', 'longitude': '-73.935893015454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021800157,,,,,,,,,
58948832,2023-09-28T11:37:18.000,2023-09-28T12:41:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,217 WEST  127 STREET,WEST  127 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  127 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T12:41:46.000,10 MANHATTAN,MANHATTAN,998650,234585,ONLINE,Unspecified,MANHATTAN,40.81054570887252,-73.94798083124056,"{'latitude': '40.81054570887252', 'longitude': '-73.94798083124056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58955477,2023-09-28T11:37:17.000,2023-09-28T12:52:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,46-01 67 STREET,67 STREET,LAUREL HILL BOULEVARD,47 AVENUE,LAUREL HILL BOULEVARD,47 AVENUE,ADDRESS,WOODSIDE,67 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T12:52:56.000,02 QUEENS,QUEENS,1012612,208732,ONLINE,Unspecified,QUEENS,40.73955227202879,-73.8976530647712,"{'latitude': '40.73955227202879', 'longitude': '-73.8976530647712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58947482,2023-09-28T11:37:17.000,2023-09-28T11:37:17.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,10009,243 EAST    7 STREET,EAST    7 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T00:00:00.000,03 MANHATTAN,MANHATTAN,990292,202983,UNKNOWN,Unspecified,MANHATTAN,40.72381609094517,-73.97820202969608,"{'latitude': '40.72381609094517', 'longitude': '-73.97820202969608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1003770066,,,,,,,,,
58946010,2023-09-28T11:37:11.000,2023-09-28T18:56:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,1922 LINDEN STREET,LINDEN STREET,WOODWARD AVENUE,FAIRVIEW AVENUE,WOODWARD AVENUE,FAIRVIEW AVENUE,ADDRESS,RIDGEWOOD,LINDEN STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T18:56:09.000,05 QUEENS,QUEENS,1010105,196523,PHONE,Unspecified,QUEENS,40.706049224494635,-73.90674670410995,"{'latitude': '40.706049224494635', 'longitude': '-73.90674670410995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4034770027,,,,,,,,,
58946754,2023-09-28T11:37:11.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11223,1617 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE P,ESTATE ROAD,AVENUE P,ESTATE ROAD,ADDRESS,BROOKLYN,OCEAN PARKWAY,In Progress,,,15 BROOKLYN,BROOKLYN,993248,161147,UNKNOWN,Unspecified,BROOKLYN,40.60898308564416,-73.96759338637257,"{'latitude': '40.60898308564416', 'longitude': '-73.96759338637257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3066380073,,,,,,,,,
58951112,2023-09-28T11:37:06.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,,11230,1703 MCDONALD AVENUE,MCDONALD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings reviewed this complaint and referred it to the Department of Transportation for further action.,2023-10-03T00:00:00.000,12 BROOKLYN,BROOKLYN,991626,161940,UNKNOWN,Unspecified,BROOKLYN,40.611161206272136,-73.97343420990082,"{'latitude': '40.611161206272136', 'longitude': '-73.97343420990082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3066080001,N/A,,,,,,,,
58952902,2023-09-28T11:36:52.000,2023-10-04T16:48:22.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,11379,61-08 80 STREET,80 STREET,ELIOT AVENUE,62 AVENUE,ELIOT AVENUE,62 AVENUE,ADDRESS,MIDDLE VILLAGE,80 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-28T11:36:52.000,05 QUEENS,QUEENS,1017818,203294,PHONE,Unspecified,QUEENS,40.72460808334425,-73.87889387810395,"{'latitude': '40.72460808334425', 'longitude': '-73.87889387810395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4029370006,,,,,,,,,
58946729,2023-09-28T11:36:07.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11357,13-15 160 STREET,160 STREET,13 AVENUE,14 AVENUE,13 AVENUE,14 AVENUE,ADDRESS,WHITESTONE,160 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T11:42:28.000,07 QUEENS,QUEENS,1039067,226994,ONLINE,Unspecified,QUEENS,40.78955221275812,-73.80203903673824,"{'latitude': '40.78955221275812', 'longitude': '-73.80203903673824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4045830016,,,,,,,,,
58948602,2023-09-28T11:36:06.000,2023-09-28T12:40:07.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11101,2-22 51 AVENUE,51 AVENUE,2 STREET,5 STREET,2 STREET,5 STREET,ADDRESS,LONG ISLAND CITY,51 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T12:40:11.000,02 QUEENS,QUEENS,995799,209901,ONLINE,Unspecified,QUEENS,40.74279882233039,-73.95832232816554,"{'latitude': '40.74279882233039', 'longitude': '-73.95832232816554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4000150034,,,,,,,,,
58953159,2023-09-28T11:36:04.000,2023-09-28T12:03:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10467,51 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,JEROME AVENUE,KOSSUTH AVENUE,JEROME AVENUE,KOSSUTH AVENUE,ADDRESS,BRONX,EAST MOSHOLU PARKWAY NORTH,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T12:03:26.000,07 BRONX,BRONX,1016558,259663,ONLINE,Unspecified,BRONX,40.8793300554464,-73.8831684435592,"{'latitude': '40.8793300554464', 'longitude': '-73.8831684435592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58954451,2023-09-28T11:35:58.000,2023-09-28T12:33:36.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11220,638 47 STREET,47 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,47 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T12:33:40.000,07 BROOKLYN,BROOKLYN,982739,174227,ONLINE,Unspecified,BROOKLYN,40.64488937561654,-74.00544484804443,"{'latitude': '40.64488937561654', 'longitude': '-74.00544484804443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3007670021,,,,,,,,,
58947797,2023-09-28T11:35:55.000,2023-10-09T15:56:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10034,30 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,12 MANHATTAN,MANHATTAN,1004417,255121,PHONE,Unspecified,MANHATTAN,40.866899758390794,-73.92708613495817,"{'latitude': '40.866899758390794', 'longitude': '-73.92708613495817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1022470035,,,,,,,,,
58951963,2023-09-28T11:35:52.000,2023-09-30T09:47:30.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10462,FOWLER AVENUE,FOWLER AVENUE,FOWLER AVENUE,PIERCE AVENUE,FOWLER AVENUE,PIERCE AVENUE,INTERSECTION,,,Closed,The Department of Sanitation cleaned the location.,2023-09-30T09:47:33.000,11 BRONX,BRONX,1024041,246719,PHONE,Unspecified,BRONX,40.84377216047778,-73.85618545734165,"{'latitude': '40.84377216047778', 'longitude': '-73.85618545734165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58946512,2023-09-28T11:35:45.000,2023-10-09T19:20:35.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10457,709 FAIRMOUNT PLACE,FAIRMOUNT PLACE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,06 BRONX,BRONX,1014223,246851,PHONE,Unspecified,BRONX,40.84417324510356,-73.89166951222118,"{'latitude': '40.84417324510356', 'longitude': '-73.89166951222118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2029500030,,,,,,,,,
58951375,2023-09-28T11:35:45.000,2023-10-09T19:20:36.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,10457,709 FAIRMOUNT PLACE,FAIRMOUNT PLACE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,06 BRONX,BRONX,1014223,246851,PHONE,Unspecified,BRONX,40.84417324510356,-73.89166951222118,"{'latitude': '40.84417324510356', 'longitude': '-73.89166951222118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2029500030,,,,,,,,,
58947071,2023-09-28T11:35:37.000,2023-09-28T13:01:32.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11372,37-58 91 STREET,91 STREET,ELMHURST AVENUE,ROOSEVELT AVENUE,ELMHURST AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,91 STREET,Closed,N/A,2023-09-28T13:01:36.000,03 QUEENS,QUEENS,1018698,212209,PHONE,Unspecified,QUEENS,40.74907414652589,-73.87567338220461,"{'latitude': '40.74907414652589', 'longitude': '-73.87567338220461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4014780034,,,,,,,,,
58951153,2023-09-28T11:35:17.000,2023-09-28T14:07:14.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11367,154-26 HORACE HARDING EXPRE,HORACE HARDING EXPRE,KISSENA BOULEVARD,155 STREET,KISSENA BOULEVARD,155 STREET,ADDRESS,FLUSHING,HORACE HARDING EXPRESSWAY,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T14:07:12.000,08 QUEENS,QUEENS,1035758,208395,PHONE,Unspecified,QUEENS,40.738522777394415,-73.81413132916296,"{'latitude': '40.738522777394415', 'longitude': '-73.81413132916296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4067440187,,,,,,,,,
58951026,2023-09-28T11:35:13.000,2023-09-28T12:24:34.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11213,801 MONTGOMERY STREET,MONTGOMERY STREET,ALBANY AVENUE,TROY AVENUE,ALBANY AVENUE,TROY AVENUE,ADDRESS,BROOKLYN,MONTGOMERY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T12:24:39.000,09 BROOKLYN,BROOKLYN,1001369,181457,MOBILE,Unspecified,BROOKLYN,40.66471772400974,-73.93829379935087,"{'latitude': '40.66471772400974', 'longitude': '-73.93829379935087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3014170079,,,,,,,,,
58955632,2023-09-28T11:35:05.000,2023-09-30T13:09:45.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,10301,381 VICTORY BOULEVARD,VICTORY BOULEVARD,CEBRA AVENUE,AUSTIN PLACE,CEBRA AVENUE,AUSTIN PLACE,ADDRESS,STATEN ISLAND,VICTORY BOULEVARD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-29T10:26:53.000,01 STATEN ISLAND,STATEN ISLAND,960235,169913,ONLINE,Unspecified,STATEN ISLAND,40.63301594307024,-74.08652202691741,"{'latitude': '40.63301594307024', 'longitude': '-74.08652202691741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5001150084,,,,,,,,,
58945927,2023-09-28T11:35:00.000,2023-10-16T10:00:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,11426,75-24 249 STREET,249 STREET,ELKMONT AVE,76 AVE,,,ADDRESS,BELLEROSE,,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-10-16T10:00:00.000,13 QUEENS,QUEENS,1061231,210872,PHONE,Unspecified,QUEENS,40.74513645384772,-73.72218315968132,"{'latitude': '40.74513645384772', 'longitude': '-73.72218315968132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4084010096,,,,,,,,,
58945882,2023-09-28T11:35:00.000,2023-09-28T11:55:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11220,413 57 STREET,57 STREET,4 AVE,5 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-28T11:55:00.000,07 BROOKLYN,BROOKLYN,979791,173250,PHONE,Unspecified,BROOKLYN,40.64220672723615,-74.01606724120148,"{'latitude': '40.64220672723615', 'longitude': '-74.01606724120148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3008390071,,,,,,,,,
58947157,2023-09-28T11:35:00.000,2023-10-25T08:32:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10007,253 BROADWAY,BROADWAY,MURRAY ST,WARREN ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,2023-10-25T08:32:00.000,01 MANHATTAN,MANHATTAN,982292,199138,ONLINE,Unspecified,MANHATTAN,40.713264336808884,-74.00706283828309,"{'latitude': '40.713264336808884', 'longitude': '-74.00706283828309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1001347501,N/A,,,,,,,,
