unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,cross_street_2,facility_type,landmark,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction,taxi_pick_up_location,road_ramp,vehicle_type
58915567,2023-09-24T12:00:00.000,2023-09-28T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10465,3260 MIDDLETOWN ROAD,MIDDLETOWN ROAD,KENNELLWORTH PLACE,ADDRESS,BRONX,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-28T12:00:00.000,10 BRONX,2054130051,BRONX,1033545,248202,PHONE,Unspecified,BRONX,40.84779461004104,-73.82182482760761,"{'latitude': '40.84779461004104', 'longitude': '-73.82182482760761', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,OHM AVENUE,,,,,,,,,
58916426,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11421,86-29 77 STREET,77 STREET,DEAD END,ADDRESS,WOODHAVEN,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-25T12:00:00.000,09 QUEENS,4088410107,QUEENS,1021677,191553,PHONE,Unspecified,QUEENS,40.69236637043453,-73.86503672080853,"{'latitude': '40.69236637043453', 'longitude': '-73.86503672080853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,JAMAICA AVENUE,DSNY Garage,,,,,,,,
58913949,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11235,2752 EAST   22 STREET,EAST   22 STREET,KENMORE COURT,ADDRESS,BROOKLYN,Closed,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,2023-09-25T12:00:00.000,15 BROOKLYN,3087770029,BROOKLYN,999052,152453,PHONE,Unspecified,BROOKLYN,40.585112020589726,-73.94670912917618,"{'latitude': '40.585112020589726', 'longitude': '-73.94670912917618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,SHORE PARKWAY,,,,,,,,,
58913947,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10029,222 EAST  104 STREET,EAST  104 STREET,3 AVENUE,ADDRESS,NEW YORK,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-25T12:00:00.000,11 MANHATTAN,1016527501,MANHATTAN,999492,227084,PHONE,Unspecified,MANHATTAN,40.78995610451298,-73.94495618262616,"{'latitude': '40.78995610451298', 'longitude': '-73.94495618262616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,2 AVENUE,DSNY Garage,,,,,,,,
58913948,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10466,3500 EDSON AVENUE,EDSON AVENUE,BOSTON ROAD,ADDRESS,BRONX,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-25T12:00:00.000,12 BRONX,2048940001,BRONX,1028562,260346,PHONE,Unspecified,BRONX,40.881152568746934,-73.83975537955408,"{'latitude': '40.881152568746934', 'longitude': '-73.83975537955408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,NEEDHAM AVENUE,,,,,,,,,
58915564,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10035,117 EAST  118 STREET,EAST  118 STREET,PARK AVENUE,ADDRESS,NEW YORK,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-25T12:00:00.000,11 MANHATTAN,1017670005,MANHATTAN,1000445,230851,PHONE,Unspecified,MANHATTAN,40.80029380152135,-73.94150550658483,"{'latitude': '40.80029380152135', 'longitude': '-73.94150550658483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,LEXINGTON AVENUE,DSNY Garage,,,,,,,,
58914681,2023-09-24T11:59:40.000,2023-09-24T11:59:40.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,11221,1117 BROADWAY,BROADWAY,DEKALB AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-24T11:59:40.000,04 BROOKLYN,3032410079,BROOKLYN,1003790,192045,PHONE,Unspecified,BROOKLYN,40.69377436365528,-73.92953650019199,"{'latitude': '40.69377436365528', 'longitude': '-73.92953650019199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEKALB AVENUE,KOSCIUSZKO STREET,KOSCIUSZKO STREET,,BROADWAY,,,,,,,
58915340,2023-09-24T11:59:28.000,2023-10-06T12:02:56.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10467,3435 OLINVILLE AVENUE,OLINVILLE AVENUE,,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-06T00:00:00.000,12 BRONX,2046270029,BRONX,1020724,258615,ONLINE,Unspecified,BRONX,40.876437389391874,-73.86810916351783,"{'latitude': '40.876437389391874', 'longitude': '-73.86810916351783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58914106,2023-09-24T11:59:06.000,2023-09-24T12:25:41.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10075,11 EAST   79 STREET,EAST   79 STREET,CENTRAL PARK PATH,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T12:25:44.000,08 MANHATTAN,1014910007,MANHATTAN,994461,222274,MOBILE,Unspecified,MANHATTAN,40.77676117981829,-73.96313206748209,"{'latitude': '40.77676117981829', 'longitude': '-73.96313206748209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CENTRAL PARK PATH,MADISON AVENUE,MADISON AVENUE,,EAST   79 STREET,,,,,,,
58912931,2023-09-24T11:59:01.000,2023-10-05T09:16:00.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11103,28-52 35 STREET,35 STREET,,ADDRESS,ASTORIA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,01 QUEENS,4006280041,QUEENS,1007202,218616,PHONE,Unspecified,QUEENS,40.76669702820512,-73.91714180609502,"{'latitude': '40.76669702820512', 'longitude': '-73.91714180609502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58910434,2023-09-24T11:59:01.000,2023-10-05T09:16:00.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11103,28-52 35 STREET,35 STREET,,ADDRESS,ASTORIA,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,01 QUEENS,4006280041,QUEENS,1007202,218616,PHONE,Unspecified,QUEENS,40.76669702820512,-73.91714180609502,"{'latitude': '40.76669702820512', 'longitude': '-73.91714180609502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58915382,2023-09-24T11:58:52.000,2023-10-03T16:11:20.000,HPD,Department of Housing Preservation and Development,PLUMBING,SEWER,RESIDENTIAL BUILDING,10027,310 WEST  127 STREET,WEST  127 STREET,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,10 MANHATTAN,1019530036,MANHATTAN,997924,234978,PHONE,Unspecified,MANHATTAN,40.81162553797893,-73.95060266317802,"{'latitude': '40.81162553797893', 'longitude': '-73.95060266317802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58912005,2023-09-24T11:58:42.000,2023-09-30T18:27:04.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11374,98-33 64 AVENUE,64 AVENUE,,ADDRESS,REGO PARK,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-30T00:00:00.000,06 QUEENS,4021000021,QUEENS,1023699,205467,PHONE,Unspecified,QUEENS,40.7305481592761,-73.85766379125519,"{'latitude': '40.7305481592761', 'longitude': '-73.85766379125519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58910635,2023-09-24T11:58:42.000,2023-09-24T12:31:43.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10011,1 WEST   13 STREET,WEST   13 STREET,5 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department visited the location and no Encampment was found.,2023-09-24T12:31:46.000,02 MANHATTAN,1005770042,MANHATTAN,985747,207248,PHONE,Unspecified,MANHATTAN,40.73552440988617,-73.99459826297132,"{'latitude': '40.73552440988617', 'longitude': '-73.99459826297132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,,WEST   13 STREET,,,,,,,
58910410,2023-09-24T11:58:35.000,2023-09-26T08:27:11.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,2254 HAVILAND AVENUE,HAVILAND AVENUE,,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,09 BRONX,2038180029,BRONX,1026041,241963,PHONE,Unspecified,BRONX,40.83070909959236,-73.84898660890173,"{'latitude': '40.83070909959236', 'longitude': '-73.84898660890173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58912964,2023-09-24T11:58:35.000,2023-10-02T08:26:39.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10455,1005 EAST  151 STREET,EAST  151 STREET,,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,01 BRONX,2026740051,BRONX,1010837,235916,ONLINE,Unspecified,BRONX,40.81417066126224,-73.90395075234872,"{'latitude': '40.81417066126224', 'longitude': '-73.90395075234872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58910455,2023-09-24T11:58:29.000,2023-10-04T20:26:34.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10019,250 WEST   50 STREET,WEST   50 STREET,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,05 MANHATTAN,1010210001,MANHATTAN,988396,216832,PHONE,Unspecified,MANHATTAN,40.76182923096574,-73.98503376979151,"{'latitude': '40.76182923096574', 'longitude': '-73.98503376979151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58912085,2023-09-24T11:58:27.000,2023-10-02T02:02:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11214,8705 BAY PARKWAY,BAY PARKWAY,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,11 BROOKLYN,3064150032,BROOKLYN,985321,157759,PHONE,Unspecified,BROOKLYN,40.599688219861775,-73.99614329286592,"{'latitude': '40.599688219861775', 'longitude': '-73.99614329286592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58910681,2023-09-24T11:58:09.000,2023-10-10T10:52:23.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,10014,112 CHARLTON STREET,CHARLTON STREET,HUDSON STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation collected the requested items.,2023-09-26T04:14:49.000,02 MANHATTAN,1005970045,MANHATTAN,981899,204298,ONLINE,Unspecified,MANHATTAN,40.72742719740147,-74.00848225831197,"{'latitude': '40.72742719740147', 'longitude': '-74.00848225831197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON STREET,GREENWICH STREET,GREENWICH STREET,,CHARLTON STREET,,,,,,,
58911502,2023-09-24T11:58:08.000,2023-09-26T13:20:30.000,DSNY,Department of Sanitation,Obstruction,Merchandise,Street,10306,22 JACQUES AVENUE,JACQUES AVENUE,NEW DORP PLAZA,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-25T10:02:37.000,02 STATEN ISLAND,5036370062,STATEN ISLAND,952373,148418,ONLINE,Unspecified,STATEN ISLAND,40.57399179339775,-74.11474602453607,"{'latitude': '40.57399179339775', 'longitude': '-74.11474602453607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW DORP PLAZA,EDISON STREET,EDISON STREET,,JACQUES AVENUE,,,,,,,
58910516,2023-09-24T11:57:51.000,2023-09-24T17:14:12.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10466,4400 DE REIMER AVENUE,DE REIMER AVENUE,NEREID AVENUE,ADDRESS,BRONX,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-24T17:14:18.000,12 BRONX,2050950121,BRONX,1027038,267099,ONLINE,Unspecified,BRONX,40.89969491213006,-73.845223430078,"{'latitude': '40.89969491213006', 'longitude': '-73.845223430078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEREID AVENUE,CAMP STREET,CAMP STREET,,DE REIMER AVENUE,,,,,,,
58912130,2023-09-24T11:57:33.000,2023-11-17T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10462,1566 UNION PORT ROAD,UNION PORT ROAD,,ADDRESS,BRONX,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-17T00:00:00.000,09 BRONX,2039447501,BRONX,1022518,245157,UNKNOWN,Unspecified,BRONX,40.83949166335741,-73.8616988609416,"{'latitude': '40.83949166335741', 'longitude': '-73.8616988609416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58910799,2023-09-24T11:57:08.000,2023-09-24T12:33:03.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10039,128 WEST  147 STREET,WEST  147 STREET,ESPLANADE GARDENS PLAZA,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T12:33:06.000,10 MANHATTAN,1020150006,MANHATTAN,1001829,238843,ONLINE,Unspecified,MANHATTAN,40.822226968726284,-73.93648572801808,"{'latitude': '40.822226968726284', 'longitude': '-73.93648572801808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ESPLANADE GARDENS PLAZA,ADAM CLAYTON POWELL JR BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,,WEST  147 STREET,,,,,,,
58914692,2023-09-24T11:57:06.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contains Foreign Object,Restaurant/Bar/Deli/Bakery,11207,819 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,LINDEN BOULEVARD,ADDRESS,BROOKLYN,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-25T09:53:24.000,05 BROOKLYN,3043470018,BROOKLYN,1014789,178905,PHONE,Unspecified,BROOKLYN,40.65767693444203,-73.88993240772379,"{'latitude': '40.65767693444203', 'longitude': '-73.88993240772379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LINDEN BOULEVARD,STANLEY AVENUE,STANLEY AVENUE,,PENNSYLVANIA AVENUE,,,,,,,
58911686,2023-09-24T11:57:00.000,2023-09-24T14:27:22.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11432,87-28 167 STREET,167 STREET,HIGHLAND AVENUE,ADDRESS,JAMAICA,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T14:27:25.000,08 QUEENS,4098380112,QUEENS,1040757,198328,PHONE,Unspecified,QUEENS,40.71086085311053,-73.79617682739686,"{'latitude': '40.71086085311053', 'longitude': '-73.79617682739686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HIGHLAND AVENUE,HILLSIDE AVENUE,HILLSIDE AVENUE,,167 STREET,,,,,,,
58912515,2023-09-24T11:56:54.000,2023-09-24T14:14:39.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11249,238 BEDFORD AVENUE,BEDFORD AVENUE,NORTH    4 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T14:14:45.000,01 BROOKLYN,3023510006,BROOKLYN,995446,200170,ONLINE,Unspecified,BROOKLYN,40.71609006262426,-73.95961241441118,"{'latitude': '40.71609006262426', 'longitude': '-73.95961241441118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NORTH    4 STREET,NORTH    3 STREET,NORTH    3 STREET,,BEDFORD AVENUE,,,,,,,
58911737,2023-09-24T11:56:54.000,2023-09-24T17:21:01.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10462,1901 MATTHEWS AVENUE,MATTHEWS AVENUE,RHINELANDER AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T17:21:06.000,11 BRONX,2042620032,BRONX,1022274,248436,ONLINE,Unspecified,BRONX,40.84849260043643,-73.86256208632892,"{'latitude': '40.84849260043643', 'longitude': '-73.86256208632892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RHINELANDER AVENUE,BRONXDALE AVENUE,BRONXDALE AVENUE,,MATTHEWS AVENUE,,,,,,,
58916000,2023-09-24T11:56:33.000,2023-09-24T12:51:58.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11372,84-10 34 AVENUE,34 AVENUE,84 STREET,ADDRESS,JACKSON HEIGHTS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T12:52:04.000,03 QUEENS,4014450001,QUEENS,1016674,213979,ONLINE,Unspecified,QUEENS,40.753939997619135,-73.88296967711675,"{'latitude': '40.753939997619135', 'longitude': '-73.88296967711675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",84 STREET,85 STREET,85 STREET,,34 AVENUE,,,,,,,
