unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,taxi_pick_up_location,due_date
58887239,2023-09-21T09:22:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10065,61 EAST   66 STREET,EAST   66 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,08 MANHATTAN,1013810031,MANHATTAN,993242,218970,ONLINE,Unspecified,MANHATTAN,40.76769388785952,-73.96753782077334,"{'latitude': '40.76769388785952', 'longitude': '-73.96753782077334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-26T14:59:02.000,,,,,,,
58886819,2023-09-21T09:21:56.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,1754 WEST    7 STREET,WEST    7 STREET,KINGS HIGHWAY,HIGHLAWN AVENUE,KINGS HIGHWAY,HIGHLAWN AVENUE,ADDRESS,BROOKLYN,WEST    7 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T10:42:57.000,11 BROOKLYN,3066490028,BROOKLYN,989790,159503,MOBILE,Unspecified,BROOKLYN,40.60447347853876,-73.98004884304012,"{'latitude': '40.60447347853876', 'longitude': '-73.98004884304012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T10:42:51.000,,,,,,,
58883422,2023-09-21T09:21:52.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11355,157-04 LABURNUM AVENUE,LABURNUM AVENUE,157 STREET,158 STREET,157 STREET,158 STREET,ADDRESS,FLUSHING,LABURNUM AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T13:16:59.000,07 QUEENS,4054870031,QUEENS,1036984,213302,PHONE,Unspecified,QUEENS,40.7519840064212,-73.80966879913557,"{'latitude': '40.7519840064212', 'longitude': '-73.80966879913557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T13:16:56.000,,,,,,,
58890063,2023-09-21T09:21:48.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10019,205 WEST   54 STREET,WEST   54 STREET,7 AVENUE,BROADWAY,7 AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST   54 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-21T09:21:48.000,05 MANHATTAN,1010260026,MANHATTAN,989307,217527,PHONE,Unspecified,MANHATTAN,40.763736352869515,-73.98174471937143,"{'latitude': '40.763736352869515', 'longitude': '-73.98174471937143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T10:50:27.000,,,,,,,
58881431,2023-09-21T09:21:44.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10002,157 BROOME STREET,BROOME STREET,RIDGE STREET,ATTORNEY STREET,RIDGE STREET,ATTORNEY STREET,ADDRESS,NEW YORK,BROOME STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T09:52:27.000,03 MANHATTAN,1003410075,MANHATTAN,988333,200356,ONLINE,Unspecified,MANHATTAN,40.716606730161864,-73.98527118746058,"{'latitude': '40.716606730161864', 'longitude': '-73.98527118746058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:52:23.000,,,,,,,
58891342,2023-09-21T09:21:37.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11368,33-44 102 STREET,102 STREET,NORTHERN BOULEVARD,34 AVENUE,NORTHERN BOULEVARD,34 AVENUE,ADDRESS,CORONA,102 STREET,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-10-27T10:49:18.000,03 QUEENS,4017160027,QUEENS,1021255,214992,ONLINE,Unspecified,QUEENS,40.75670243648135,-73.86642958644245,"{'latitude': '40.75670243648135', 'longitude': '-73.86642958644245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-27T10:49:10.000,,,,,,,
58885526,2023-09-21T09:21:36.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11203,3417 TILDEN AVENUE,TILDEN AVENUE,EAST   34 STREET,EAST   35 STREET,EAST   34 STREET,EAST   35 STREET,ADDRESS,BROOKLYN,TILDEN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T09:49:30.000,17 BROOKLYN,3049050040,BROOKLYN,999503,175020,PHONE,Unspecified,BROOKLYN,40.64705298322068,-73.94503443696752,"{'latitude': '40.64705298322068', 'longitude': '-73.94503443696752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:49:27.000,,,,,,,
58882945,2023-09-21T09:21:20.000,NYPD,New York City Police Department,Drinking,In Public,Street/Sidewalk,11377,59 STREET,59 STREET,59 STREET,WOODSIDE AVENUE,59 STREET,WOODSIDE AVENUE,INTERSECTION,,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-21T10:00:11.000,02 QUEENS,,QUEENS,1010413,210857,PHONE,Unspecified,QUEENS,40.74539164232843,-73.90558009045257,"{'latitude': '40.74539164232843', 'longitude': '-73.90558009045257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T10:00:07.000,,,,,,,
58886134,2023-09-21T09:21:18.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10024,3 WEST   87 STREET,WEST   87 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   87 STREET,Closed,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",2023-09-21T09:21:18.000,07 MANHATTAN,1012010027,MANHATTAN,992795,225678,PHONE,Unspecified,MANHATTAN,40.78610602435507,-73.96914301273118,"{'latitude': '40.78610602435507', 'longitude': '-73.96914301273118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:21:18.000,,,,,,,
58882405,2023-09-21T09:21:17.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,11201,66 COURT STREET,COURT STREET,JORALEMON STREET,LIVINGSTON STREET,JORALEMON STREET,LIVINGSTON STREET,ADDRESS,BROOKLYN,COURT STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-21T13:28:09.000,02 BROOKLYN,3002650001,BROOKLYN,986665,191367,ONLINE,Unspecified,BROOKLYN,40.6919346520938,-73.99129147192048,"{'latitude': '40.6919346520938', 'longitude': '-73.99129147192048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T13:28:07.000,,,,,,,
58891649,2023-09-21T09:21:16.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,10472,1155 STRATFORD AVENUE,STRATFORD AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,ADDRESS,BRONX,STRATFORD AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T11:16:31.000,09 BRONX,,BRONX,1018775,240992,PHONE,Unspecified,BRONX,40.8280753773043,-73.87524753804885,"{'latitude': '40.8280753773043', 'longitude': '-73.87524753804885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T11:16:28.000,,,,,,,
58884178,2023-09-21T09:21:10.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11212,151 CHESTER STREET,CHESTER STREET,PITKIN AVENUE,SUTTER AVENUE,PITKIN AVENUE,SUTTER AVENUE,ADDRESS,BROOKLYN,CHESTER STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T11:32:57.000,16 BROOKLYN,3035210115,BROOKLYN,1008859,182708,PHONE,Unspecified,BROOKLYN,40.66813378905469,-73.91129120872293,"{'latitude': '40.66813378905469', 'longitude': '-73.91129120872293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T11:32:52.000,,,,,,,
58882550,2023-09-21T09:21:06.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,11212,318 EAST   91 STREET,EAST   91 STREET,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,EAST   91 STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-28T13:35:12.000,17 BROOKLYN,3046450017,BROOKLYN,1005384,178809,PHONE,Unspecified,BROOKLYN,40.65744087752292,-73.92382985870508,"{'latitude': '40.65744087752292', 'longitude': '-73.92382985870508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T15:31:50.000,,,,,,,
58885124,2023-09-21T09:21:06.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11217,365 BERGEN STREET,BERGEN STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T10:30:27.000,06 BROOKLYN,3009300071,BROOKLYN,990125,187818,MOBILE,Unspecified,BROOKLYN,40.682191840289775,-73.97881775238334,"{'latitude': '40.682191840289775', 'longitude': '-73.97881775238334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T10:30:23.000,,,,,,,
58882113,2023-09-21T09:21:00.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11419,101-46 126 STREET,126 STREET,101 AVENUE,103 AVENUE,101 AVENUE,103 AVENUE,ADDRESS,SOUTH RICHMOND HILL,126 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-21T09:53:31.000,09 QUEENS,4094920029,QUEENS,1034201,191180,PHONE,Unspecified,QUEENS,40.69128074916129,-73.81987754623556,"{'latitude': '40.69128074916129', 'longitude': '-73.81987754623556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:53:25.000,,,,,,,
58888095,2023-09-21T09:20:58.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10314,280 REGIS DRIVE,REGIS DRIVE,ELSON COURT,FARRAGUT AVENUE,ELSON COURT,FARRAGUT AVENUE,ADDRESS,STATEN ISLAND,REGIS DRIVE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T09:54:22.000,01 STATEN ISLAND,5016530001,STATEN ISLAND,938645,165448,ONLINE,Unspecified,STATEN ISLAND,40.62067563431957,-74.16427687702082,"{'latitude': '40.62067563431957', 'longitude': '-74.16427687702082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:54:19.000,,,,,,,
58888968,2023-09-21T09:20:42.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,11237,101 WYCKOFF AVENUE,WYCKOFF AVENUE,HART STREET,DEKALB AVENUE,HART STREET,DEKALB AVENUE,ADDRESS,BROOKLYN,WYCKOFF AVENUE,Closed,The Police Department visited the location and no Encampment was found.,2023-09-21T10:30:51.000,04 BROOKLYN,3032387501,BROOKLYN,1006475,196028,MOBILE,Unspecified,BROOKLYN,40.70470042890971,-73.91984094121717,"{'latitude': '40.70470042890971', 'longitude': '-73.91984094121717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T10:30:44.000,,,,,,,
58888696,2023-09-21T09:20:22.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11236,580 EAST   85 STREET,EAST   85 STREET,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,EAST   85 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T09:55:06.000,18 BROOKLYN,3079630085,BROOKLYN,1008231,172974,MOBILE,Unspecified,BROOKLYN,40.64141782346417,-73.91358959046478,"{'latitude': '40.64141782346417', 'longitude': '-73.91358959046478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:55:01.000,,,,,,,
58883830,2023-09-21T09:20:15.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11231,314 CARROLL STREET,CARROLL STREET,HOYT STREET,BOND STREET,HOYT STREET,BOND STREET,ADDRESS,BROOKLYN,CARROLL STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T12:04:39.000,06 BROOKLYN,3004510008,BROOKLYN,986436,186774,MOBILE,Unspecified,BROOKLYN,40.67932797710484,-73.9921187396745,"{'latitude': '40.67932797710484', 'longitude': '-73.9921187396745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T12:04:36.000,,,,,,,
58887947,2023-09-21T09:20:14.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T10:44:36.000,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,2023-09-21T10:44:29.000,Belt Pkwy,West/Brooklyn Bound,Roadway,Cohancy St Cross Bay Blvd (Exit 17N) - Cross Bay Blvd (Exit 17S),,,
58890357,2023-09-21T09:20:01.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Left in Front of Other Residence,Sidewalk,11221,1060 BROADWAY,BROADWAY,HART STREET,MALCOLM X BOULEVARD,HART STREET,MALCOLM X BOULEVARD,ADDRESS,BROOKLYN,BROADWAY,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-21T21:10:11.000,03 BROOKLYN,3015960043,BROOKLYN,1003215,192464,ONLINE,Unspecified,BROOKLYN,40.694925672087855,-73.9316088361583,"{'latitude': '40.694925672087855', 'longitude': '-73.9316088361583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T21:10:08.000,,,,,,,
58885249,2023-09-21T09:20:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10011,512 WEST   23 STREET,WEST   23 STREET,HIGH LINE,11 AVE,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection will keep the location under observation for idling commercial vehicles.Â Summonses will be issued when warranted.,2023-09-22T05:26:00.000,04 MANHATTAN,1006940040,MANHATTAN,982842,211817,PHONE,Unspecified,MANHATTAN,40.74806519124107,-74.00508154807258,"{'latitude': '40.74806519124107', 'longitude': '-74.00508154807258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T05:26:00.000,,,,,N/A,,
58885385,2023-09-21T09:19:44.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11226,3000 CHURCH AVENUE,CHURCH AVENUE,NOSTRAND AVENUE,EAST   31 STREET,NOSTRAND AVENUE,EAST   31 STREET,ADDRESS,BROOKLYN,CHURCH AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T09:40:46.000,17 BROOKLYN,3048840001,BROOKLYN,998284,176387,MOBILE,Unspecified,BROOKLYN,40.650807116850885,-73.94942436837438,"{'latitude': '40.650807116850885', 'longitude': '-73.94942436837438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:40:41.000,,,,,,,
58889517,2023-09-21T09:19:39.000,DOB,Department of Buildings,General Construction/Plumbing,Debris - Excessive,,11218,10 WESTMINSTER ROAD,WESTMINSTER ROAD,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-21T00:00:00.000,14 BROOKLYN,3050720006,BROOKLYN,992930,175659,UNKNOWN,Unspecified,BROOKLYN,40.64881578123712,-73.96872001104772,"{'latitude': '40.64881578123712', 'longitude': '-73.96872001104772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:19:39.000,,,,,,,
58887138,2023-09-21T09:19:19.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10457,253 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,05 BRONX,2031490118,BRONX,1011903,250519,ONLINE,Unspecified,BRONX,40.854248384756666,-73.90003948073578,"{'latitude': '40.854248384756666', 'longitude': '-73.90003948073578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T20:51:34.000,,,,,,,
58888526,2023-09-21T09:19:03.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11212,535 EAST   98 STREET,EAST   98 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,16 BROOKLYN,3036200005,BROOKLYN,1008423,178284,PHONE,Unspecified,BROOKLYN,40.65599209357402,-73.91287873046097,"{'latitude': '40.65599209357402', 'longitude': '-73.91287873046097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T19:32:52.000,,,,,,,
58883692,2023-09-21T09:18:55.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11237,101 WYCKOFF AVENUE,WYCKOFF AVENUE,HART STREET,DEKALB AVENUE,HART STREET,DEKALB AVENUE,ADDRESS,BROOKLYN,WYCKOFF AVENUE,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-21T10:33:19.000,04 BROOKLYN,3032387501,BROOKLYN,1006475,196028,MOBILE,Unspecified,BROOKLYN,40.70470042890971,-73.91984094121717,"{'latitude': '40.70470042890971', 'longitude': '-73.91984094121717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882970,2023-09-21T09:18:54.000,NYPD,New York City Police Department,Panhandling,N/A,Store/Commercial,10018,400 WEST   40 STREET,WEST   40 STREET,9 AVENUE,DYER AVENUE,9 AVENUE,DYER AVENUE,ADDRESS,NEW YORK,WEST   40 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T09:32:31.000,04 MANHATTAN,1007370039,MANHATTAN,986008,215136,MOBILE,Unspecified,MANHATTAN,40.75717494266791,-73.99365441529672,"{'latitude': '40.75717494266791', 'longitude': '-73.99365441529672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:32:27.000,,,,,,,
