unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58815681,2023-09-14T18:07:10.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11105,27-03 DITMARS BOULEVARD,DITMARS BOULEVARD,27 STREET,28 STREET,27 STREET,28 STREET,ADDRESS,ASTORIA,DITMARS BOULEVARD,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-15T10:44:15.000,01 QUEENS,4008570002,QUEENS,1008358,222636,ONLINE,Unspecified,QUEENS,40.77772779557863,-73.91295415343701,"{'latitude': '40.77772779557863', 'longitude': '-73.91295415343701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815336,2023-09-14T18:07:02.000,2023-09-14T18:42:12.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11368,109-02 46 AVENUE,46 AVENUE,109 STREET,111 STREET,109 STREET,111 STREET,ADDRESS,CORONA,46 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T18:42:16.000,04 QUEENS,4020020055,QUEENS,1024349,211743,ONLINE,Corona Golf Playground,QUEENS,40.74777127579632,-73.85528111522737,"{'latitude': '40.74777127579632', 'longitude': '-73.85528111522737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813749,2023-09-14T18:07:01.000,2023-09-20T10:38:22.000,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Sidewalk,11233,425 BAINBRIDGE STREET,BAINBRIDGE STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,BAINBRIDGE STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-15T05:18:58.000,03 BROOKLYN,3015050073,BROOKLYN,1006587,187870,PHONE,Unspecified,BROOKLYN,40.68230833427505,-73.91946404193904,"{'latitude': '40.68230833427505', 'longitude': '-73.91946404193904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58816402,2023-09-14T18:07:00.000,2023-09-14T19:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,10467,,,,,GUN HILL ROAD,WEBSTER AVENUE,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-14T19:30:00.000,07 BRONX,,BRONX,1019758,259418,UNKNOWN,Unspecified,BRONX,40.87864531280041,-73.87159798076605,"{'latitude': '40.87864531280041', 'longitude': '-73.87159798076605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58810565,2023-09-14T18:06:44.000,2023-09-14T18:53:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11201,301 GOLD STREET,GOLD STREET,TILLARY STREET,JOHNSON STREET,TILLARY STREET,JOHNSON STREET,ADDRESS,BROOKLYN,GOLD STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T18:54:02.000,02 BROOKLYN,3001340006,BROOKLYN,988901,192647,ONLINE,Unspecified,BROOKLYN,40.69544706314867,-73.98322753703334,"{'latitude': '40.69544706314867', 'longitude': '-73.98322753703334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810810,2023-09-14T18:06:35.000,2023-09-14T18:39:59.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10473,740 BEACH AVENUE,BEACH AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,BEACH AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T18:40:03.000,09 BRONX,2035980017,BRONX,1022009,238046,ONLINE,Unspecified,BRONX,40.819976219579004,-73.86357841506774,"{'latitude': '40.819976219579004', 'longitude': '-73.86357841506774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814649,2023-09-14T18:06:28.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,11222,MCCARREN PARK,MCCARREN PARK,BAYARD STREET,DRIGGS AVENUE,BAYARD STREET,DRIGGS AVENUE,UNRECOGNIZED,BROOKLYN,MCCARREN PARK,In Progress,,,01 BROOKLYN,3026960001,BROOKLYN,997610,201904,ONLINE,Unspecified,BROOKLYN,40.72084647199604,-73.95180272776703,"{'latitude': '40.72084647199604', 'longitude': '-73.95180272776703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58819314,2023-09-14T18:06:28.000,2023-09-15T09:37:22.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Street,11378,55-20 69 STREET,69 STREET,55 AVENUE,CLINTON AVENUE,55 AVENUE,CLINTON AVENUE,ADDRESS,MASPETH,69 STREET,Closed,No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,2023-09-15T09:37:27.000,05 QUEENS,4023980077,QUEENS,1013218,204338,PHONE,Unspecified,QUEENS,40.72748986715959,-73.89548517746907,"{'latitude': '40.72748986715959', 'longitude': '-73.89548517746907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818270,2023-09-14T18:06:20.000,2023-10-03T11:49:04.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10035,51 EAST  126 STREET,EAST  126 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST  126 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-15T12:13:08.000,11 MANHATTAN,1017510029,MANHATTAN,1000928,233021,ONLINE,Unspecified,MANHATTAN,40.80624895602064,-73.9397555758096,"{'latitude': '40.80624895602064', 'longitude': '-73.9397555758096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818138,2023-09-14T18:06:09.000,2023-09-19T15:38:31.000,DOT,Department of Transportation,Street Sign - Damaged,Stop,Street,11358,45-67 195 STREET,195 STREET,45 AVENUE,46 AVENUE,45 AVENUE,46 AVENUE,ADDRESS,FLUSHING,195 STREET,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-19T15:38:36.000,11 QUEENS,4055370125,QUEENS,1043471,214261,MOBILE,Unspecified,QUEENS,40.754575143833435,-73.78624711167566,"{'latitude': '40.754575143833435', 'longitude': '-73.78624711167566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818770,2023-09-14T18:05:58.000,2023-09-14T18:31:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,1644 ANTHONY AVENUE,ANTHONY AVENUE,CLAY AVENUE,EAST  173 STREET,CLAY AVENUE,EAST  173 STREET,ADDRESS,BRONX,ANTHONY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T18:31:13.000,04 BRONX,2028880028,BRONX,1010578,246331,ONLINE,Unspecified,BRONX,40.84275761828386,-73.90484555357605,"{'latitude': '40.84275761828386', 'longitude': '-73.90484555357605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814280,2023-09-14T18:05:50.000,,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11225,315 FENIMORE STREET,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-14T00:00:00.000,09 BROOKLYN,3050390065,BROOKLYN,997574,179227,PHONE,Unspecified,BROOKLYN,40.6586033916211,-73.95197745000581,"{'latitude': '40.6586033916211', 'longitude': '-73.95197745000581', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58816660,2023-09-14T18:05:30.000,2023-09-15T09:52:12.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10469,3219 GRACE AVENUE,GRACE AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-15T00:00:00.000,12 BRONX,2047570027,BRONX,1029096,258384,PHONE,Unspecified,BRONX,40.87576479845281,-73.83783742488761,"{'latitude': '40.87576479845281', 'longitude': '-73.83783742488761', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818443,2023-09-14T18:05:00.000,2023-09-15T10:15:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11377,,,,,47 AVENUE,61 STREET,INTERSECTION,QUEENS,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-15T10:15:00.000,02 QUEENS,,QUEENS,1011090,208848,ONLINE,Unspecified,QUEENS,40.73987541299102,-73.90314487698045,"{'latitude': '40.73987541299102', 'longitude': '-73.90314487698045', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58811611,2023-09-14T18:05:00.000,2023-09-26T18:00:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11355,130-38 60 AVENUE,60 AVENUE,COLLEGE POINT BLVD,LAWRENCE ST,,,ADDRESS,FLUSHING,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T18:00:00.000,07 QUEENS,4063560019,QUEENS,1029841,210426,PHONE,Unspecified,QUEENS,40.74412983803224,-73.83546924033233,"{'latitude': '40.74412983803224', 'longitude': '-73.83546924033233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58817288,2023-09-14T18:05:00.000,2023-09-15T09:50:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11411,114-103 227 STREET,227 STREET,114 DR,115 AVE,,,ADDRESS,CAMBRIA HEIGHTS,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-15T09:50:00.000,13 QUEENS,4112710067,QUEENS,1058789,193935,PHONE,Unspecified,QUEENS,40.69866962146054,-73.73118361591374,"{'latitude': '40.69866962146054', 'longitude': '-73.73118361591374', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58818666,2023-09-14T18:04:59.000,2023-09-14T18:54:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11102,18-08 ASTORIA PARK SOUTH,ASTORIA PARK SOUTH,18 STREET,21 STREET,18 STREET,21 STREET,ADDRESS,ASTORIA,ASTORIA PARK SOUTH,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T18:54:16.000,01 QUEENS,4008880023,QUEENS,1004816,221846,PHONE,Unspecified,QUEENS,40.77556840519524,-73.92574553056821,"{'latitude': '40.77556840519524', 'longitude': '-73.92574553056821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58812264,2023-09-14T18:04:42.000,2023-09-15T10:34:54.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11378,55-20 69 STREET,69 STREET,55 AVENUE,CLINTON AVENUE,55 AVENUE,CLINTON AVENUE,ADDRESS,MASPETH,69 STREET,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-15T10:34:58.000,05 QUEENS,4023980077,QUEENS,1013218,204338,PHONE,Unspecified,QUEENS,40.72748986715959,-73.89548517746907,"{'latitude': '40.72748986715959', 'longitude': '-73.89548517746907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813347,2023-09-14T18:04:34.000,2023-09-14T18:15:27.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11216,393 NOSTRAND AVENUE,NOSTRAND AVENUE,MADISON STREET,PUTNAM AVENUE,MADISON STREET,PUTNAM AVENUE,ADDRESS,BROOKLYN,NOSTRAND AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T18:15:31.000,03 BROOKLYN,3018230004,BROOKLYN,998020,188592,ONLINE,Unspecified,BROOKLYN,40.684307532550434,-73.95035083971493,"{'latitude': '40.684307532550434', 'longitude': '-73.95035083971493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814570,2023-09-14T18:04:30.000,2023-09-15T09:19:05.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10466,1764 BUSSING AVENUE,BUSSING AVENUE,BOYD AVENUE,GUNTHER AVENUE,BOYD AVENUE,GUNTHER AVENUE,ADDRESS,BRONX,BUSSING AVENUE,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-15T09:19:09.000,12 BRONX,2050040008,BRONX,1025700,264958,ONLINE,Unspecified,BRONX,40.893824946266484,-73.85007660837343,"{'latitude': '40.893824946266484', 'longitude': '-73.85007660837343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813984,2023-09-14T18:04:25.000,2023-09-14T18:21:59.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11435,144-02 91 AVENUE,91 AVENUE,144 PLACE,146 STREET,144 PLACE,146 STREET,ADDRESS,JAMAICA,91 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T18:22:03.000,12 QUEENS,4099860001,QUEENS,1036935,194663,PHONE,Unspecified,QUEENS,40.70082489977527,-73.80999157574709,"{'latitude': '40.70082489977527', 'longitude': '-73.80999157574709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815158,2023-09-14T18:04:08.000,2023-09-14T18:18:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11235,1620 JEROME AVENUE,JEROME AVENUE,,EAST   17 STREET,,EAST   17 STREET,ADDRESS,BROOKLYN,JEROME AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T18:18:41.000,15 BROOKLYN,3074620067,BROOKLYN,997413,153201,MOBILE,Unspecified,BROOKLYN,40.587167716787825,-73.9526084774684,"{'latitude': '40.587167716787825', 'longitude': '-73.9526084774684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815773,2023-09-14T18:04:01.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Street/Curbside,11691,SANDY ROAD,SANDY ROAD,SANDY ROAD,BEACH   29 STREET,SANDY ROAD,BEACH   29 STREET,INTERSECTION,,,In Progress,,,14 QUEENS,,QUEENS,1050475,155264,PHONE,Unspecified,QUEENS,40.59259260334434,-73.76154658699235,"{'latitude': '40.59259260334434', 'longitude': '-73.76154658699235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818674,2023-09-14T18:03:59.000,2023-09-14T18:53:41.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11417,109-35 CENTREVILLE STREET,CENTREVILLE STREET,ROSITA ROAD,103 STREET,ROSITA ROAD,103 STREET,ADDRESS,OZONE PARK,CENTREVILLE STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T18:53:47.000,10 QUEENS,,QUEENS,1030081,186256,ONLINE,Unspecified,QUEENS,40.67778781163813,-73.83476765148218,"{'latitude': '40.67778781163813', 'longitude': '-73.83476765148218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58811343,2023-09-14T18:03:54.000,,DPR,Department of Parks and Recreation,Wood Pile Remaining,Remove Debris,Street,11229,2425 KINGS HIGHWAY,KINGS HIGHWAY,EAST   24 STREET,BEDFORD AVENUE,EAST   24 STREET,BEDFORD AVENUE,ADDRESS,BROOKLYN,KINGS HIGHWAY,In Progress,,,14 BROOKLYN,3067710013,BROOKLYN,998216,162451,PHONE,Unspecified,BROOKLYN,40.61255585965689,-73.94969826593278,"{'latitude': '40.61255585965689', 'longitude': '-73.94969826593278', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810540,2023-09-14T18:03:48.000,2023-10-19T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11226,782 ROGERS AVENUE,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-10-20T06:45:45.000,17 BROOKLYN,3050870056,BROOKLYN,997400,176775,UNKNOWN,Unspecified,BROOKLYN,40.6518734490871,-73.95260936431222,"{'latitude': '40.6518734490871', 'longitude': '-73.95260936431222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-28T11:14:21.000,,,,,
58817079,2023-09-14T18:03:39.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,11106,21-34 BROADWAY,BROADWAY,21 STREET,23 STREET,21 STREET,23 STREET,ADDRESS,ASTORIA,BROADWAY,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-15T04:33:08.000,01 QUEENS,4005550029,QUEENS,1003233,218028,MOBILE,Unspecified,QUEENS,40.765092534361536,-73.93147180513743,"{'latitude': '40.765092534361536', 'longitude': '-73.93147180513743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
