unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,vehicle_type
58814578,2023-09-14T14:05:23.000,2023-09-14T14:05:23.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11414,102-01 163 ROAD,163 ROAD,DEAD END,104 STREET,DEAD END,104 STREET,ADDRESS,HOWARD BEACH,BURLINGAME COURT,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-14T14:05:23.000,10 QUEENS,4142461216,QUEENS,1031855,177293,PHONE,Unspecified,QUEENS,40.653177051470344,-73.82843523750257,"{'latitude': '40.653177051470344', 'longitude': '-73.82843523750257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58818791,2023-09-14T14:05:16.000,2023-09-14T14:23:08.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10022,685 5 AVENUE,5 AVENUE,5 AVENUE,MADISON AVENUE,5 AVENUE,MADISON AVENUE,ADDRESS,NEW YORK,5 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T14:23:12.000,05 MANHATTAN,1012897501,MANHATTAN,991150,216465,MOBILE,Unspecified,MANHATTAN,40.76082018984857,-73.97509275810364,"{'latitude': '40.76082018984857', 'longitude': '-73.97509275810364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58818625,2023-09-14T14:05:08.000,2023-11-14T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11379,62-02 69 PLACE,69 PLACE,,,,,ADDRESS,MIDDLE VILLAGE,,Closed,The Department of Buildings has made an attempt execute an access warrant at this property and was denied access. Another attempt will be made.,2023-11-14T00:00:00.000,05 QUEENS,4029510021,QUEENS,1015283,200928,UNKNOWN,Unspecified,QUEENS,40.7181232461564,-73.88805051138496,"{'latitude': '40.7181232461564', 'longitude': '-73.88805051138496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58812786,2023-09-14T14:05:07.000,2023-09-18T00:00:00.000,DOB,Department of Buildings,Investigations and Discipline (IAD),Investigative Inspection,,10303,2581 RICHMOND TERRACE,RICHMOND TERRACE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Buildings reviewed this complaint and referred it to the Department of Consumer Affairs for further action.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5011070036,STATEN ISLAND,943503,171611,UNKNOWN,Unspecified,STATEN ISLAND,40.63761542084714,-74.14681478691973,"{'latitude': '40.63761542084714', 'longitude': '-74.14681478691973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817292,2023-09-14T14:05:00.000,2023-09-15T09:49:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11217,355 DOUGLASS STREET,DOUGLASS STREET,4 AVE,5 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-15T09:49:00.000,06 BROOKLYN,3009430075,BROOKLYN,989488,186682,ONLINE,Unspecified,BROOKLYN,40.679074178115826,-73.9811153317744,"{'latitude': '40.679074178115826', 'longitude': '-73.9811153317744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58810501,2023-09-14T14:05:00.000,2023-09-21T10:10:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10463,2711 HENRY HUDSON PARKWAY,HENRY HUDSON PARKWAY,W 227 ST,HENRY HUDSON PY SB EN W 232 ST,,,ADDRESS,BRONX,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-21T10:10:00.000,08 BRONX,2057470590,BRONX,1007154,260512,PHONE,Unspecified,BRONX,40.881689710520504,-73.91717207665349,"{'latitude': '40.881689710520504', 'longitude': '-73.91717207665349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813702,2023-09-14T14:04:55.000,2023-09-14T15:14:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11201,4 METROTECH,METROTECH,DUFFIELD STREET,GOLD STREET,DUFFIELD STREET,GOLD STREET,ADDRESS,BROOKLYN,METROTECH CENTER,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T15:14:41.000,02 BROOKLYN,3020590001,BROOKLYN,988773,191993,PHONE,Unspecified,BROOKLYN,40.69365205109836,-73.98368957049944,"{'latitude': '40.69365205109836', 'longitude': '-73.98368957049944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815145,2023-09-14T14:04:50.000,2023-09-14T17:35:05.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11223,WEST    3 STREET,WEST    3 STREET,BOUCK COURT,WEST    3 STREET,BOUCK COURT,WEST    3 STREET,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T17:35:10.000,15 BROOKLYN,,BROOKLYN,991820,153818,MOBILE,Unspecified,BROOKLYN,40.58886779962262,-73.97274459112386,"{'latitude': '40.58886779962262', 'longitude': '-73.97274459112386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813139,2023-09-14T14:04:45.000,2023-09-18T20:11:59.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58810977,2023-09-14T14:04:45.000,2023-09-18T20:11:57.000,HPD,Department of Housing Preservation and Development,PLUMBING,STEAM PIPE/RISER,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813252,2023-09-14T14:04:45.000,2023-09-18T20:11:58.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58812050,2023-09-14T14:04:45.000,2023-09-18T20:11:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58818832,2023-09-14T14:04:45.000,2023-09-18T20:11:58.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815434,2023-09-14T14:04:45.000,2023-09-18T20:11:59.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817737,2023-09-14T14:04:45.000,2023-09-18T20:11:58.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817791,2023-09-14T14:04:45.000,2023-09-18T20:11:58.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58812038,2023-09-14T14:04:45.000,2023-09-18T20:11:58.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813128,2023-09-14T14:04:44.000,2023-09-18T20:11:57.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10457,265 EAST  181 STREET,EAST  181 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,05 BRONX,2031490153,BRONX,1011945,250506,ONLINE,Unspecified,BRONX,40.85421257200531,-73.89988771228349,"{'latitude': '40.85421257200531', 'longitude': '-73.89988771228349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817857,2023-09-14T14:04:38.000,2023-09-17T08:05:47.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11419,115-11 LIBERTY AVENUE,LIBERTY AVENUE,,,,,ADDRESS,SOUTH RICHMOND HILL,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-17T00:00:00.000,10 QUEENS,4095200028,QUEENS,1032079,189169,PHONE,Unspecified,QUEENS,40.68577274883427,-73.82754369838847,"{'latitude': '40.68577274883427', 'longitude': '-73.82754369838847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58816525,2023-09-14T14:04:38.000,2023-09-17T08:05:47.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11419,115-11 LIBERTY AVENUE,LIBERTY AVENUE,,,,,ADDRESS,SOUTH RICHMOND HILL,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-17T00:00:00.000,10 QUEENS,4095200028,QUEENS,1032079,189169,PHONE,Unspecified,QUEENS,40.68577274883427,-73.82754369838847,"{'latitude': '40.68577274883427', 'longitude': '-73.82754369838847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815541,2023-09-14T14:04:38.000,2023-09-17T08:05:47.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11419,115-11 LIBERTY AVENUE,LIBERTY AVENUE,,,,,ADDRESS,SOUTH RICHMOND HILL,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-17T00:00:00.000,10 QUEENS,4095200028,QUEENS,1032079,189169,PHONE,Unspecified,QUEENS,40.68577274883427,-73.82754369838847,"{'latitude': '40.68577274883427', 'longitude': '-73.82754369838847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815676,2023-09-14T14:04:14.000,2023-09-15T14:53:10.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11372,37-34 79 STREET,79 STREET,37 AVENUE,ROOSEVELT AVENUE,37 AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,79 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-15T14:53:15.000,03 QUEENS,4012890023,QUEENS,1015546,212218,UNKNOWN,Unspecified,QUEENS,40.74911056645394,-73.88704924147812,"{'latitude': '40.74911056645394', 'longitude': '-73.88704924147812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58812303,2023-09-14T14:04:07.000,2023-09-26T12:02:02.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,10028,SECOND AVENUE,SECOND AVENUE,SECOND AVENUE,EAST   84 STREET,SECOND AVENUE,EAST   84 STREET,INTERSECTION,,,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-09-26T12:01:59.000,08 MANHATTAN,,MANHATTAN,997349,222203,PHONE,Unspecified,MANHATTAN,40.77656249549855,-73.95270476776597,"{'latitude': '40.77656249549855', 'longitude': '-73.95270476776597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"SECOND AVENUE AND EAST   84 STREET, MANHATTAN, NY, 10028",,,,,,
58815152,2023-09-14T14:03:46.000,2023-09-14T15:20:41.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11423,91 ROAD,91 ROAD,91 ROAD,197 STREET,91 ROAD,197 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T15:20:46.000,12 QUEENS,,QUEENS,1050039,199548,PHONE,Unspecified,QUEENS,40.71414530144967,-73.76268448563705,"{'latitude': '40.71414530144967', 'longitude': '-73.76268448563705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58812798,2023-09-14T14:03:44.000,2023-09-14T15:04:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,84 STREET,84 STREET,84 STREET,FORT HAMILTON PARKWAY,84 STREET,FORT HAMILTON PARKWAY,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T15:04:23.000,10 BROOKLYN,,BROOKLYN,977871,165681,PHONE,Unspecified,BROOKLYN,40.62143024991837,-74.02297847700227,"{'latitude': '40.62143024991837', 'longitude': '-74.02297847700227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815944,2023-09-14T14:03:40.000,2023-09-15T10:07:46.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11417,104-05 LIBERTY AVENUE,LIBERTY AVENUE,104 STREET,105 STREET,104 STREET,105 STREET,ADDRESS,OZONE PARK,LIBERTY AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T22:45:12.000,10 QUEENS,4095080048,QUEENS,1029505,187815,MOBILE,Unspecified,QUEENS,40.68206986911416,-73.83683380296984,"{'latitude': '40.68206986911416', 'longitude': '-73.83683380296984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58816266,2023-09-14T14:03:38.000,2023-09-14T14:24:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11205,45 CLINTON AVENUE,CLINTON AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,CLINTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T14:24:42.000,02 BROOKLYN,3018730001,BROOKLYN,992714,193055,MOBILE,Unspecified,BROOKLYN,40.696564102973184,-73.96947656266303,"{'latitude': '40.696564102973184', 'longitude': '-73.96947656266303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813585,2023-09-14T14:03:15.000,2023-11-09T12:40:57.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10032,870 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  153 STREET,WEST  154 STREET,WEST  153 STREET,WEST  154 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-09T12:40:59.000,09 MANHATTAN,1020690048,MANHATTAN,1000342,241546,ONLINE,Unspecified,MANHATTAN,40.829648766864956,-73.94185188825256,"{'latitude': '40.829648766864956', 'longitude': '-73.94185188825256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"870 ST NICHOLAS AVENUE, MANHATTAN (NEW YORK), NY, 10032",,,,,,
58821056,2023-09-14T14:03:05.000,,DOT,Department of Transportation,Street Condition,Wear & Tear,,11422,148-50 236 STREET,236 STREET,148 DRIVE,BENTLEY ROAD,,,ADDRESS,ROSEDALE,,Pending,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-15T13:00:00.000,13 QUEENS,4137350001,QUEENS,1054423,177550,UNKNOWN,Unspecified,QUEENS,40.65373237861717,-73.74709960465076,"{'latitude': '40.65373237861717', 'longitude': '-73.74709960465076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
