unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58893447,2023-09-22T19:02:25.000,2023-09-22T19:51:02.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10034,210 SHERMAN AVENUE,SHERMAN AVENUE,WEST  204 STREET,WEST  207 STREET,WEST  204 STREET,WEST  207 STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:51:06.000,12 MANHATTAN,1022260029,MANHATTAN,1006135,254606,MOBILE,Unspecified,MANHATTAN,40.86548214822022,-73.92087638455081,"{'latitude': '40.86548214822022', 'longitude': '-73.92087638455081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58896468,2023-09-22T19:02:17.000,2023-09-22T19:39:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11101,29-01 39 AVENUE,39 AVENUE,29 STREET,30 STREET,29 STREET,30 STREET,ADDRESS,LONG ISLAND CITY,39 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:39:38.000,01 QUEENS,4003840001,QUEENS,1002440,213792,MOBILE,Unspecified,QUEENS,40.75346746930535,-73.9343459770957,"{'latitude': '40.75346746930535', 'longitude': '-73.9343459770957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894158,2023-09-22T19:02:08.000,2023-09-23T05:14:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11361,212-17 41 AVENUE,41 AVENUE,212 STREET,213 STREET,212 STREET,213 STREET,ADDRESS,BAYSIDE,41 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T05:14:48.000,11 QUEENS,4062360036,QUEENS,1047235,217502,MOBILE,Unspecified,QUEENS,40.76344481834354,-73.77263098669903,"{'latitude': '40.76344481834354', 'longitude': '-73.77263098669903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58898930,2023-09-22T19:01:36.000,2023-09-22T19:25:03.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,104-21 48 AVENUE,48 AVENUE,104 STREET,108 STREET,104 STREET,108 STREET,ADDRESS,CORONA,48 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:25:08.000,04 QUEENS,4019910079,QUEENS,1023384,210806,MOBILE,Unspecified,QUEENS,40.74520377249032,-73.85876928464565,"{'latitude': '40.74520377249032', 'longitude': '-73.85876928464565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897102,2023-09-22T19:01:08.000,2023-09-22T19:45:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11209,125 72 STREET,72 STREET,NARROWS AVENUE,COLONIAL ROAD,NARROWS AVENUE,COLONIAL ROAD,ADDRESS,BROOKLYN,72 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T19:46:01.000,10 BROOKLYN,3058880042,BROOKLYN,975207,170576,MOBILE,Unspecified,BROOKLYN,40.63486367482523,-74.03258131351447,"{'latitude': '40.63486367482523', 'longitude': '-74.03258131351447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901293,2023-09-22T19:01:04.000,2023-09-23T14:23:00.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11205,541 LAFAYETTE AVENUE,LAFAYETTE AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,LAFAYETTE AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T12:23:27.000,03 BROOKLYN,3017837505,BROOKLYN,997287,190555,ONLINE,Unspecified,BROOKLYN,40.689696626903654,-73.95298994818204,"{'latitude': '40.689696626903654', 'longitude': '-73.95298994818204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900598,2023-09-22T19:00:46.000,2023-09-22T19:20:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,EAST  105 STREET,EAST  105 STREET,EAST  105 STREET,PARK AVENUE,EAST  105 STREET,PARK AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:21:03.000,11 MANHATTAN,,MANHATTAN,998542,227921,ONLINE,Unspecified,MANHATTAN,40.79225503120243,-73.94838515961276,"{'latitude': '40.79225503120243', 'longitude': '-73.94838515961276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894910,2023-09-22T19:00:40.000,2023-09-22T19:35:28.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2928 WEST   35 STREET,WEST   35 STREET,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,ADDRESS,BROOKLYN,WEST   35 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:35:35.000,13 BROOKLYN,,BROOKLYN,984093,148480,MOBILE,Unspecified,BROOKLYN,40.57421927665552,-74.00056514672193,"{'latitude': '40.57421927665552', 'longitude': '-74.00056514672193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893657,2023-09-22T19:00:40.000,2023-09-22T22:12:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237,24 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,SCOTT AVENUE,STARR STREET,SCOTT AVENUE,STARR STREET,ADDRESS,BROOKLYN,ST NICHOLAS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T22:12:19.000,04 BROOKLYN,3031890020,BROOKLYN,1005983,197062,MOBILE,Unspecified,BROOKLYN,40.707539735988995,-73.92161210274924,"{'latitude': '40.707539735988995', 'longitude': '-73.92161210274924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899003,2023-09-22T19:00:30.000,2023-09-22T19:39:46.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,11101,29-01 39 AVENUE,39 AVENUE,29 STREET,30 STREET,29 STREET,30 STREET,ADDRESS,LONG ISLAND CITY,39 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:39:51.000,01 QUEENS,4003840001,QUEENS,1002440,213792,MOBILE,Unspecified,QUEENS,40.75346746930535,-73.9343459770957,"{'latitude': '40.75346746930535', 'longitude': '-73.9343459770957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897811,2023-09-22T19:00:25.000,2023-09-22T19:52:25.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,840 WEST  187 STREET,WEST  187 STREET,CABRINI BOULEVARD,CHITTENDEN AVENUE,CABRINI BOULEVARD,CHITTENDEN AVENUE,ADDRESS,NEW YORK,WEST  187 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:52:29.000,12 MANHATTAN,,MANHATTAN,1001356,251039,ONLINE,Unspecified,MANHATTAN,40.85570236370038,-73.93816360633774,"{'latitude': '40.85570236370038', 'longitude': '-73.93816360633774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894708,2023-09-22T19:00:13.000,2023-09-22T19:37:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10018,114 WEST   40 STREET,WEST   40 STREET,AVENUE OF THE AMERICAS,BROADWAY,AVENUE OF THE AMERICAS,BROADWAY,ADDRESS,NEW YORK,WEST   40 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T19:37:50.000,05 MANHATTAN,1008150020,MANHATTAN,988171,213936,MOBILE,Unspecified,MANHATTAN,40.75388055347829,-73.98584766370517,"{'latitude': '40.75388055347829', 'longitude': '-73.98584766370517', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901834,2023-09-22T19:00:00.000,2023-09-22T19:35:17.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10460,930 EAST  173 STREET,EAST  173 STREET,SOUTHERN BOULEVARD,HOE AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,ADDRESS,BRONX,EAST  173 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:35:20.000,03 BRONX,2029820023,BRONX,1015172,243702,PHONE,Unspecified,BRONX,40.835526891502994,-73.88825409342327,"{'latitude': '40.835526891502994', 'longitude': '-73.88825409342327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893556,2023-09-22T18:59:48.000,2023-09-22T19:25:53.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10452,1265 GERARD AVENUE,GERARD AVENUE,EAST  167 STREET,EAST  168 STREET,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-22T19:25:58.000,04 BRONX,2024890054,BRONX,1006494,244079,PHONE,Unspecified,BRONX,40.836587768244534,-73.91961337374968,"{'latitude': '40.836587768244534', 'longitude': '-73.91961337374968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892440,2023-09-22T18:59:44.000,2023-11-06T07:58:47.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11233,62A HULL STREET,HULL STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,16 BROOKLYN,3015370061,BROOKLYN,1008009,186715,ONLINE,Unspecified,BROOKLYN,40.67913442036018,-73.91434110238404,"{'latitude': '40.67913442036018', 'longitude': '-73.91434110238404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892448,2023-09-22T18:59:44.000,2023-11-06T07:58:47.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11233,62A HULL STREET,HULL STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,16 BROOKLYN,3015370061,BROOKLYN,1008009,186715,ONLINE,Unspecified,BROOKLYN,40.67913442036018,-73.91434110238404,"{'latitude': '40.67913442036018', 'longitude': '-73.91434110238404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899462,2023-09-22T18:59:44.000,2023-11-06T07:58:47.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,11233,62A HULL STREET,HULL STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,16 BROOKLYN,3015370061,BROOKLYN,1008009,186715,ONLINE,Unspecified,BROOKLYN,40.67913442036018,-73.91434110238404,"{'latitude': '40.67913442036018', 'longitude': '-73.91434110238404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58898757,2023-09-22T18:59:39.000,2023-09-22T20:26:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1514 WEST    8 STREET,WEST    8 STREET,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,WEST    8 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T20:26:37.000,11 BROOKLYN,3065980012,BROOKLYN,989241,161486,MOBILE,Unspecified,BROOKLYN,40.609916733944615,-73.98202448676501,"{'latitude': '40.609916733944615', 'longitude': '-73.98202448676501', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58902030,2023-09-22T18:59:20.000,2023-09-22T19:19:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,626 RIVERSIDE DRIVE,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,RIVERSIDE DRIVE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:19:53.000,09 MANHATTAN,1020870078,MANHATTAN,996862,239357,MOBILE,Unspecified,MANHATTAN,40.823646241340434,-73.95443090907575,"{'latitude': '40.823646241340434', 'longitude': '-73.95443090907575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900098,2023-09-22T18:59:00.000,2023-09-25T18:14:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10007,105 DUANE STREET,DUANE STREET,BROADWAY,TRIMBLE PL,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T18:14:00.000,01 MANHATTAN,1001510001,MANHATTAN,982569,199967,ONLINE,Unspecified,MANHATTAN,40.715539800779354,-74.00606385928269,"{'latitude': '40.715539800779354', 'longitude': '-74.00606385928269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58893182,2023-09-22T18:59:00.000,2023-09-22T20:45:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11229,2216 EAST   28 STREET,EAST   28 STREET,AVENUE V,AVENUE W,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-22T20:45:00.000,15 BROOKLYN,3073850113,BROOKLYN,999995,156954,PHONE,Unspecified,BROOKLYN,40.59746473655575,-73.94330360790457,"{'latitude': '40.59746473655575', 'longitude': '-73.94330360790457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893126,2023-09-22T18:59:00.000,2023-10-17T21:45:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor, Sweet From Unknown Source (AZ1)",,11233,62A HULL STREET,HULL STREET,SARATOGA AVE,THOMAS S BOYLAND ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-17T21:45:00.000,16 BROOKLYN,3015370061,BROOKLYN,1008009,186715,ONLINE,Unspecified,BROOKLYN,40.67913442036018,-73.91434110238404,"{'latitude': '40.67913442036018', 'longitude': '-73.91434110238404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58898286,2023-09-22T18:58:59.000,2023-09-23T03:38:15.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11432,167 STREET,167 STREET,167 STREET,HILLSIDE AVENUE,167 STREET,HILLSIDE AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T03:38:18.000,08 QUEENS,,QUEENS,1040913,197925,PHONE,Unspecified,QUEENS,40.70975371909159,-73.79561752237835,"{'latitude': '40.70975371909159', 'longitude': '-73.79561752237835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900544,2023-09-22T18:58:58.000,2023-09-22T19:29:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,2114 ALBEMARLE ROAD,ALBEMARLE ROAD,EAST   21 STREET,FLATBUSH AVENUE,EAST   21 STREET,FLATBUSH AVENUE,ADDRESS,BROOKLYN,ALBEMARLE ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:29:33.000,14 BROOKLYN,3051250006,BROOKLYN,995665,175149,MOBILE,Unspecified,BROOKLYN,40.64741283883138,-73.9588647959135,"{'latitude': '40.64741283883138', 'longitude': '-73.9588647959135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58895064,2023-09-22T18:58:54.000,2023-09-22T19:58:51.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10462,768 VAN NEST AVENUE,VAN NEST AVENUE,HOLLAND AVENUE,WALLACE AVENUE,HOLLAND AVENUE,WALLACE AVENUE,ADDRESS,BRONX,VAN NEST AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:58:54.000,11 BRONX,2040390008,BRONX,1022109,246895,ONLINE,Unspecified,BRONX,40.84426372289572,-73.86316717921036,"{'latitude': '40.84426372289572', 'longitude': '-73.86316717921036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899649,2023-09-22T18:58:50.000,2023-09-25T07:46:50.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10025,246 WEST  106 STREET,WEST  106 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,DUKE ELLINGTON BOULEVARD,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-22T18:58:50.000,07 MANHATTAN,1018770049,MANHATTAN,993336,231123,MOBILE,Unspecified,MANHATTAN,40.80105053699144,-73.96718203259579,"{'latitude': '40.80105053699144', 'longitude': '-73.96718203259579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901997,2023-09-22T18:58:50.000,2023-09-22T19:14:16.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,610 WEST  141 STREET,WEST  141 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  141 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:14:20.000,09 MANHATTAN,1020880038,MANHATTAN,997302,239524,MOBILE,Unspecified,MANHATTAN,40.82410396969219,-73.95284079702623,"{'latitude': '40.82410396969219', 'longitude': '-73.95284079702623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
